_id	mes	equipamento	faixa	data	hora	minutos_intervalo	qtd_0a10km	qtd_11a20km	qtd_21a30km	qtd_31a40km	qtd_41a50km	qtd_51a60km	qtd_61a70km	qtd_71a80km	qtd_81a90km	qtd_91a100km	qtd_acimade100km
1	8	FC004REC	1	2025-08-01T00:00:00	0	0-15	0	1	0	3	2	0	0	0	0	0	0
2	8	FC004REC	1	2025-08-01T00:00:00	0	16-30	0	0	0	3	1	0	0	0	0	0	0
3	8	FC004REC	1	2025-08-01T00:00:00	0	31-45	0	0	0	0	4	2	0	0	0	0	0
4	8	FC004REC	1	2025-08-01T00:00:00	0	46-59	0	1	0	1	1	0	0	0	0	0	0
5	8	FC004REC	1	2025-08-01T00:00:00	1	0-15	0	1	0	0	0	0	0	0	0	0	0
6	8	FC004REC	1	2025-08-01T00:00:00	1	16-30	0	1	1	2	0	0	0	0	0	0	0
7	8	FC004REC	1	2025-08-01T00:00:00	1	31-45	0	1	1	1	0	0	0	0	0	0	0
8	8	FC004REC	1	2025-08-01T00:00:00	1	46-59	0	0	0	2	4	1	0	0	0	0	0
9	8	FC004REC	1	2025-08-01T00:00:00	2	0-15	0	0	1	0	0	0	0	0	0	0	0
10	8	FC004REC	1	2025-08-01T00:00:00	2	16-30	0	0	1	1	0	0	0	0	0	0	0
11	8	FC004REC	1	2025-08-01T00:00:00	2	31-45	0	1	0	1	0	0	0	0	0	0	0
12	8	FC004REC	1	2025-08-01T00:00:00	2	46-59	0	0	1	0	0	0	0	0	0	0	0
13	8	FC004REC	1	2025-08-01T00:00:00	3	0-15	0	1	0	0	1	0	0	0	0	0	0
14	8	FC004REC	1	2025-08-01T00:00:00	3	16-30	0	0	1	0	0	0	0	0	0	0	0
15	8	FC004REC	1	2025-08-01T00:00:00	3	46-59	0	0	1	0	0	0	0	0	0	0	0
16	8	FC004REC	1	2025-08-01T00:00:00	4	16-30	0	2	1	0	0	0	0	0	0	0	0
17	8	FC004REC	1	2025-08-01T00:00:00	4	31-45	0	1	0	0	0	0	0	0	0	0	0
18	8	FC004REC	1	2025-08-01T00:00:00	4	46-59	2	1	1	0	0	2	0	0	0	0	0
19	8	FC004REC	1	2025-08-01T00:00:00	5	0-15	2	6	3	2	0	0	0	0	0	0	0
20	8	FC004REC	1	2025-08-01T00:00:00	5	16-30	0	10	1	2	0	2	0	0	0	0	0
21	8	FC004REC	1	2025-08-01T00:00:00	5	31-45	2	10	5	1	2	0	0	0	0	0	0
22	8	FC004REC	1	2025-08-01T00:00:00	5	46-59	2	14	7	4	1	0	0	0	0	0	0
23	8	FC004REC	1	2025-08-01T00:00:00	6	0-15	2	7	4	13	13	2	0	0	0	0	0
24	8	FC004REC	1	2025-08-01T00:00:00	6	16-30	0	10	3	20	17	5	0	0	0	0	0
25	8	FC004REC	1	2025-08-01T00:00:00	6	31-45	0	13	9	17	15	2	0	0	0	0	0
26	8	FC004REC	1	2025-08-01T00:00:00	6	46-59	4	6	5	42	29	2	0	0	0	0	0
27	8	FC004REC	1	2025-08-01T00:00:00	7	0-15	1	8	6	25	38	4	0	0	0	0	0
