",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Jd. São Paulo,Tejipió,2,10,7,3,6,5,7,3,2,4,7,10,5,6,77,"4,3%"
,Jd. São Paulo,Ibura,22,27,19,11,16,12,19,24,9,22,17,31,30,9,268,"14,8%"
,Jd. São Paulo,Estância,8,7,6,6,5,2,7,6,6,6,11,9,13,12,104,"5,8%"
,Estância,Jd. São Paulo,6,8,6,6,4,7,5,8,12,10,5,10,4,14,105,"5,8%"
,Estância,Tejipió,21,31,9,7,11,6,19,11,17,14,32,48,44,22,292,"16,2%"
,Estância,Ibura,3,4,4,2,5,5,4,4,0,5,7,5,6,7,61,"3,4%"
,Ibura,Estância,5,4,4,5,2,3,1,8,4,5,2,0,4,17,64,"3,5%"
,Ibura,Jd. São Paulo,29,41,10,11,8,10,12,18,11,9,15,30,23,24,251,"13,9%"
,Ibura,Tejipió,7,10,2,2,4,2,3,5,2,7,16,20,10,7,97,"5,4%"
,Tejipió,Ibura,14,16,10,7,2,6,3,6,7,3,9,21,6,8,118,"6,5%"
,Tejipió,Estância,47,44,24,15,19,12,21,8,11,12,29,31,12,16,301,"16,6%"
,Tejipió,Jd. São Paulo,5,3,4,2,4,7,8,6,5,2,4,11,3,6,70,"3,9%"
,,TOTAL,169,205,105,77,86,77,109,107,86,99,154,226,160,148,1808,
,,Percentual,"9,35%","11,34%","5,81%","4,26%","4,76%","4,26%","6,03%","5,92%","4,76%","5,48%","8,52%","12,50%","8,85%","8,19%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,8,16,10,3,8,5,6,11,3,3,4,18,2,5,102,"5,6%"
,,Crianças e adolescentes,3,8,2,0,0,0,3,6,4,7,0,6,4,11,54,"3,0%"
,,Capacete,10,11,10,1,6,1,3,4,4,0,10,16,8,15,99,"5,5%"
,,Carona criança,1,3,0,2,0,1,4,6,3,1,5,3,2,1,32,"1,8%"
,,Carona mulher,1,3,1,0,2,2,3,0,1,0,0,1,1,1,16,"0,9%"
,,Carona homem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Cargueira tradicional,9,11,14,6,15,13,10,8,8,10,14,,9,7,134,"7,4%"
,,Adaptada a carga,17,14,14,8,7,8,12,8,10,5,15,,12,9,139,"7,7%"
,,Serviço,0,0,1,2,8,7,5,3,1,0,6,,1,1,35,"1,9%"
,,Serviço APP,1,3,6,4,7,7,21,18,6,8,11,,14,25,131,"7,2%"
,,Contramão,5,5,4,5,7,7,4,6,3,4,8,6,8,5,77,"4,3%"
,,Contramão para conversão,3,3,1,1,3,1,4,1,0,2,0,3,3,2,27,"1,5%"
,,Calçada,12,16,14,12,6,9,10,17,13,15,11,16,17,13,181,"10,0%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,2,4,4,3,,,1,6,2,1,2,2,6,4,37,"2,0%"
,,Triciclo,,,,,,,,,,,,,,,0,"0,0%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,,5,,,,,1,,,1,1,4,1,6,19,"1,1%"
,,Motorizada,1,2,,,,1,3,1,1,2,1,,,1,13,"0,7%"
,,Skate e outros patináveis,,,,,,,,,,,,1,,,1,"0,1%"
,,Ciclomotor,4,3,,2,,,,1,4,,,,3,,17,"0,9%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" - Corte de caminho pela calçada do posto ou da farmácia",12,13,12,6,3,6,2,7,5,12,10,20,13,12,133,"7,4%"
,,Caronas,,,,,,,,,,,,,,,48,"2,7%"
,,Cargueiras,,,,,,,,,,,,,,,273,"15,1%"
,,Serviço,,,,,,,,,,,,,,,166,"9,2%"
,,Contramão,,,,,,,,,,,,,,,104,"5,8%"
,,,,,,,,,,,,,,,,,0,"0,0%"
,,"OBS1: no horário das 10 às 11 choveu fraco, com sol e das 11 às 12h choveu mais forte.",,,,,,,,,,,,,,,,
,,"OBS 2: no horário das 17 às 18h não houve registro de cargueira, cargueira adaptada, serviço e app, talvez pelo motivo do contador quanlitativo da hora ser inexperiente na contagem.",,,,,,,,,,,,,,,,
