",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Jaguaribe,Biquinha,1,7,14,14,16,15,15,4,13,14,14,22,14,8,171,"10,5%"
,Jaguaribe,Forte Orange,22,30,36,21,26,22,14,19,22,20,20,22,17,15,306,"18,8%"
,Jaguaribe,Mar,3,5,6,4,2,1,2,0,3,3,1,2,0,0,32,"2,0%"
,Mar,Jaguaribe,1,9,11,4,6,8,2,2,2,2,5,2,2,0,56,"3,4%"
,Mar,Biquinha,2,3,6,7,5,9,6,2,3,5,5,4,4,0,61,"3,7%"
,Mar,Forte Orange,3,4,6,5,9,14,2,3,4,3,2,2,1,0,58,"3,6%"
,Forte Orange,Mar,3,9,6,7,6,6,3,2,2,4,4,2,0,0,54,"3,3%"
,Forte Orange,Jaguaribe,17,32,37,29,29,15,24,17,22,17,24,43,24,15,345,"21,2%"
,Forte Orange,Biquinha,4,4,6,10,1,15,13,9,12,18,14,31,19,9,165,"10,1%"
,Biquinha,Forte Orange,11,15,16,13,16,9,13,3,8,4,21,15,11,5,160,"9,8%"
,Biquinha,Mar,7,5,10,11,2,10,2,0,5,3,6,1,1,0,63,"3,9%"
,Biquinha,Jaguaribe,7,4,22,18,10,13,7,7,10,12,19,16,11,4,160,"9,8%"
,,TOTAL,81,127,176,143,128,137,103,68,106,105,135,162,104,56,1631,
,,Percentual,"4,97%","7,79%","10,79%","8,77%","7,85%","8,40%","6,32%","4,17%","6,50%","6,44%","8,28%","9,93%","6,38%","3,43%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,10,21,39,35,28,34,17,11,22,19,16,18,12,7,289,"17,7%"
,,Crianças e adolescentes,4,15,4,8,14,9,16,8,8,8,13,20,15,8,150,"9,2%"
,,Capacete,0,1,0,1,2,1,0,0,0,0,0,0,0,0,5,"0,3%"
,,Carona criança,4,3,1,2,3,5,5,2,3,1,1,0,0,0,30,"1,8%"
,,Carona mulher,1,2,1,0,1,0,0,0,1,1,2,0,2,0,11,"0,7%"
,,Carona homem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Cargueira tradicional,6,15,5,12,12,12,5,2,9,8,14,12,8,2,122,"7,5%"
,,Adaptada a carga,16,27,45,37,20,20,17,11,15,15,16,15,3,4,261,"16,0%"
,,Serviço,0,0,0,2,1,0,2,1,0,0,1,1,1,0,9,"0,6%"
,,Serviço APP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Contramão,6,1,5,1,3,2,7,1,7,6,6,7,3,3,58,"3,6%"
,,Contramão para conversão,1,1,0,0,1,0,2,3,4,1,2,7,9,1,32,"2,0%"
,,Calçada,3,11,6,0,12,7,13,2,7,7,15,8,8,7,106,"6,5%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,2,,8,12,15,10,8,5,4,12,8,8,1,1,94,"5,8%"
,,Triciclo,,,1,2,,,,,,,1,1,,,5,"0,3%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,,2,,3,4,4,,,,,,,,,13,"0,8%"
,,Motorizada,,,,,2,1,,,,2,,1,,1,7,"0,4%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,,,,,,,,,,,1,,,,1,"0,1%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,ciclofaixa Jaguaribe - Forte Orange,4,7,2,6,11,6,2,4,6,4,3,4,,1,60,"3,7%"
,,Caronas,5,5,2,2,4,5,5,2,4,2,3,0,2,0,41,"2,5%"
,,Cargueiras,22,42,50,49,32,32,22,13,24,23,30,27,11,6,383,"23,5%"
,,Serviço,0,0,0,2,1,0,2,1,0,0,1,1,1,0,9,"0,6%"
,,Contramão,7,2,5,1,4,2,9,4,11,7,8,14,12,4,90,"5,5%"
,,,,,,,,,,,,,,,,,0,"0,0%"
