",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Pte. dos Carvalhos,Linha do trem ,8,11,15,21,21,24,20,15,19,15,52,20,18,6,265,"10,9%"
,Pte. dos Carvalhos,Charneca,9,8,12,14,20,14,15,13,17,20,23,27,12,11,215,"8,9%"
,Pte. dos Carvalhos,Malaquias,12,7,10,19,24,18,26,25,20,20,17,15,20,8,241,"10,0%"
,Malaquias,Pte. dos Carvalhos,19,30,20,15,21,19,6,18,17,23,22,21,21,11,263,"10,9%"
,Malaquias,Linha do trem ,30,37,16,19,20,35,15,21,25,30,39,72,30,36,425,"17,6%"
,Malaquias,Charneca,2,6,11,9,5,7,6,12,12,8,6,14,10,4,112,"4,6%"
,Charneca,Malaquias,2,2,1,4,0,3,6,5,5,6,7,13,10,4,68,"2,8%"
,Charneca,Pte. dos Carvalhos,5,7,3,3,9,6,14,14,13,23,7,17,15,4,140,"5,8%"
,Charneca,Linha do trem ,0,0,0,2,0,4,0,0,0,0,1,3,2,1,13,"0,5%"
,Linha do trem ,Charneca,0,0,0,3,1,1,0,0,4,1,1,3,2,1,17,"0,7%"
,Linha do trem ,Malaquias,58,43,18,13,11,18,22,12,15,14,24,21,18,8,295,"12,2%"
,Linha do trem ,Pte. dos Carvalhos,34,75,27,32,14,28,34,22,9,23,25,11,20,13,367,"15,2%"
,,TOTAL,179,226,133,154,146,177,164,157,156,183,224,237,178,107,2421,
,,Percentual,"7,39%","9,33%","5,49%","6,36%","6,03%","7,31%","6,77%","6,48%","6,44%","7,56%","9,25%","9,79%","7,35%","4,42%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,15,18,15,9,23,14,23,19,12,18,31,26,16,12,251,"10,4%"
,,Crianças e adolescentes,8,39,4,8,11,23,49,19,6,24,40,13,16,11,271,"11,2%"
,,Capacete,0,3,0,0,1,3,2,1,2,0,3,4,1,0,20,"0,8%"
,,Carona criança,3,10,1,0,1,3,11,5,1,3,9,2,2,5,56,"2,3%"
,,Carona mulher,7,1,1,4,3,1,3,4,3,5,2,5,4,2,45,"1,9%"
,,Carona homem,0,2,0,0,0,1,0,0,3,0,0,1,1,2,10,"0,4%"
,,Cargueira tradicional,18,9,10,23,20,20,18,19,10,18,18,21,8,3,215,"8,9%"
,,Adaptada a carga,19,20,12,15,14,18,15,11,13,16,23,11,8,4,199,"8,2%"
,,Serviço,2,4,2,3,5,6,1,3,1,3,1,3,1,0,35,"1,4%"
,,Serviço APP,0,0,0,0,1,2,4,4,6,7,4,2,3,0,33,"1,4%"
,,Contramão,29,30,19,23,29,16,28,16,29,11,20,14,18,3,285,"11,8%"
,,Contramão para conversão,12,47,5,3,3,0,14,12,0,2,5,1,1,0,105,"4,3%"
,,Calçada,7,13,9,12,7,10,10,11,5,11,10,11,9,8,133,"5,5%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,4,5,8,10,12,12,18,13,12,16,12,11,7,6,146,"6,0%"
,,Triciclo,1,2,,,,,1,,,,,,1,,5,"0,2%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,4,3,,5,3,5,3,,,,,,,,23,"1,0%"
,,Motorizada,,,,,,,,1,2,6,2,1,1,1,14,"0,6%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,,1,,,,,,,,,,,,,1,"0,0%"
,,Cadeirante,,,,1,1,,,,,,,,,,2,"0,1%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" ",,,,,,,,,,,,,,,0,"0,0%"
,,Caronas,10,13,2,4,4,5,14,9,7,8,11,8,7,9,111,"4,6%"
,,Cargueiras,37,29,22,38,34,38,33,30,23,34,41,32,16,7,414,"17,1%"
,,Serviço,2,4,2,3,6,8,5,7,7,10,5,5,4,0,68,"2,8%"
,,Contramão,41,77,24,26,32,16,42,28,29,13,25,15,19,3,390,"16,1%"
,,,,,,,,,,,,,,,,,0,"0,0%"
