",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Maranguape II,Olinda,0,1,3,4,0,4,0,2,4,2,4,4,2,0,30,"3,0%"
,Maranguape II,Orla,2,5,0,1,1,0,1,1,1,3,0,1,1,0,17,"1,7%"
,Maranguape II,Maria Farinha,1,1,2,3,4,2,1,0,2,0,0,2,2,7,27,"2,7%"
,Maria Farinha,Maranguape II,2,5,5,1,1,5,1,1,2,1,3,7,7,6,47,"4,6%"
,Maria Farinha,Olinda,16,13,16,9,8,12,12,11,10,21,28,23,23,23,225,"22,2%"
,Maria Farinha,Orla,14,11,7,3,6,5,5,1,2,12,13,9,5,3,96,"9,5%"
,Orla,Maria Farinha,16,8,13,3,7,7,4,2,4,8,8,31,28,7,146,"14,4%"
,Orla,Maranguape II,3,4,5,3,7,6,3,5,2,4,13,30,10,2,97,"9,6%"
,Orla,Olinda,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,"0,4%"
,Olinda,Orla,1,0,0,1,1,0,0,1,0,0,1,0,0,0,5,"0,5%"
,Olinda,Maria Farinha,20,19,13,20,10,14,10,12,16,18,22,38,15,13,240,"23,7%"
,Olinda,Maranguape II,4,2,3,3,4,2,4,5,6,7,11,12,6,11,80,"7,9%"
,,TOTAL,79,69,67,51,49,59,41,41,49,76,103,157,101,72,1014,
,,Percentual,"7,79%","6,80%","6,61%","5,03%","4,83%","5,82%","4,04%","4,04%","4,83%","7,50%","10,16%","15,48%","9,96%","7,10%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,8,11,11,3,7,9,7,4,6,9,8,17,17,8,125,"12,3%"
,,Crianças e adolescentes,0,1,0,1,1,0,2,0,2,7,1,7,0,0,22,"2,2%"
,,Capacete,5,4,6,5,4,1,3,1,0,5,5,6,10,13,68,"6,7%"
,,Carona criança,0,1,1,0,1,2,2,0,4,4,0,6,1,0,22,"2,2%"
,,Carona mulher,0,0,0,2,0,0,1,0,0,1,0,0,1,1,6,"0,6%"
,,Carona homem,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"0,1%"
,,Cargueira tradicional,5,3,3,5,3,6,7,3,0,5,4,13,3,0,60,"5,9%"
,,Adaptada a carga,7,5,4,6,8,3,4,3,3,4,6,9,5,4,71,"7,0%"
,,Serviço,0,0,1,0,3,1,2,0,0,1,0,3,0,0,11,"1,1%"
,,Serviço APP,0,0,1,0,1,9,2,6,13,8,8,9,14,10,81,"8,0%"
,,Contramão,19,20,11,9,11,9,6,6,2,5,5,5,3,6,117,"11,5%"
,,Contramão para conversão,1,0,0,1,2,5,10,6,10,10,11,4,2,4,66,"6,5%"
,,Calçada,1,6,6,2,3,2,1,1,6,9,7,11,5,2,62,"6,1%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,1,2,2,,1,3,2,1,3,4,3,5,4,1,32,"3,2%"
,,Triciclo,,,,1,1,,,,,,,,,,2,"0,2%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,,3,,3,2,,1,,,,,,,,9,"0,9%"
,,Motorizada,,,,,,,,,1,,,,4,3,8,"0,8%"
,,Skate e outros patináveis,,,,,,1,,,,,,,,,1,"0,1%"
,,Ciclomotor,,,,,,,,2,,1,,,,,3,"0,3%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" ",,,,,,,,,,,,,,,0,"0,0%"
,,Caronas,0,1,1,2,1,2,3,0,5,5,0,6,2,1,29,"2,9%"
,,Cargueiras,12,8,7,11,11,9,11,6,3,9,10,22,8,4,131,"12,9%"
,,Serviço,0,0,2,0,4,10,4,6,13,9,8,12,14,10,92,"9,1%"
,,Contramão,20,20,11,10,13,14,16,12,12,15,16,9,5,10,183,"18,0%"
,,,,,,,,,,,,,,,,,0,"0,0%"
