",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Viana,Recife,1,1,0,0,0,0,0,0,0,2,1,1,3,0,9,"0,9%"
,Viana,Timbi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"0,1%"
,Viana,São Lourenço,0,1,0,0,0,0,1,1,0,0,1,0,0,0,4,"0,4%"
,São Lourenço ,Viana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"0,1%"
,São Lourenço ,Recife,62,53,40,38,21,24,29,33,22,38,35,51,32,27,505,"49,7%"
,São Lourenço ,Timbi,2,0,0,2,0,1,0,0,1,1,0,1,1,0,9,"0,9%"
,Timbi,São Lourenço,1,0,0,0,1,0,0,0,0,1,1,1,4,0,9,"0,9%"
,Timbi,Viana,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"0,1%"
,Timbi,Recife,0,1,1,3,0,0,1,0,0,0,4,0,0,1,11,"1,1%"
,Recife,Timbi,0,0,0,2,0,0,2,0,1,0,1,1,0,0,7,"0,7%"
,Recife,São Lourenço,24,29,21,28,27,25,24,19,24,24,51,78,48,34,456,"44,8%"
,Recife,Viana,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,"0,4%"
,,TOTAL,90,85,62,74,49,50,59,53,49,68,95,133,88,62,1017,
,,Percentual,"8,85%","8,36%","6,10%","7,28%","4,82%","4,92%","5,80%","5,21%","4,82%","6,69%","9,34%","13,08%","8,65%","6,10%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,0,0,2,1,0,0,4,1,1,6,2,2,3,3,25,"2,5%"
,,Crianças e adolescentes,2,3,3,1,2,2,3,1,1,1,8,8,2,12,49,"4,8%"
,,Capacete,9,6,5,7,0,2,2,2,2,5,11,9,7,4,71,"7,0%"
,,Carona criança,1,2,0,1,1,1,1,1,0,1,0,1,1,1,12,"1,2%"
,,Carona mulher,0,2,2,0,0,0,0,0,0,0,1,1,1,0,7,"0,7%"
,,Carona homem,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,"0,2%"
,,Cargueira tradicional,3,5,6,8,6,2,5,3,4,2,3,4,5,2,58,"5,7%"
,,Adaptada a carga,13,5,3,4,3,2,5,6,3,7,10,17,8,2,88,"8,7%"
,,Serviço,1,1,0,1,0,0,1,0,2,0,1,1,0,0,8,"0,8%"
,,Serviço APP,0,0,0,1,2,10,13,11,7,11,4,8,16,7,90,"8,8%"
,,Contramão,7,3,3,6,3,8,5,2,4,3,11,10,6,3,74,"7,3%"
,,Contramão para conversão,0,0,0,0,0,0,1,0,1,2,0,1,1,0,6,"0,6%"
,,Calçada,7,8,12,18,13,20,14,14,18,16,28,33,16,16,233,"22,9%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,,1,1,3,,,2,1,1,,1,1,3,,14,"1,4%"
,,Triciclo,,,,,,,,,,1,,,,,1,"0,1%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,2,1,,,3,,,1,1,1,1,1,1,,12,"1,2%"
,,Motorizada,,,,,,,,,3,1,,,2,1,7,"0,7%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,1,,,,,1,1,,,,,2,,,5,"0,5%"
,,Cadeirante,,,,,,,,,,,,,1,,1,"0,1%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" PDC",,,1,,,,,,,,,,,,1,"0,1%"
,,Caronas,1,5,2,1,1,1,1,1,0,1,1,3,2,1,21,"2,1%"
,,Cargueiras,16,10,9,12,9,4,10,9,7,9,13,21,13,4,146,"14,4%"
,,Serviço,1,1,0,2,2,10,14,11,9,11,5,9,16,7,98,"9,6%"
,,Contramão,7,3,3,6,3,8,6,2,5,5,11,11,7,3,80,"7,9%"
,,Bike som,,,,,,,,,,,1,,,,1,"0,1%"
,,Colete refletivo,,1,,1,,,,,,,,,,,2,"0,2%"
