",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Curado,Estância,7,2,4,4,8,10,8,14,6,10,15,31,18,8,145,"4,8%"
,Curado,Ilha do Retiro,32,52,22,21,19,16,25,20,21,13,20,36,17,10,324,"10,8%"
,Curado,Cordeiro,15,18,7,22,17,13,20,15,23,13,26,14,19,12,234,"7,8%"
,Cordeiro,Curado,19,9,7,12,15,16,16,16,14,11,19,37,19,15,225,"7,5%"
,Cordeiro,Estância,44,65,31,25,27,30,11,28,40,37,36,80,53,40,547,"18,2%"
,Cordeiro,Ilha do Retiro,11,25,14,13,9,32,7,14,11,6,6,15,6,5,174,"5,8%"
,Ilha do Retiro,Cordeiro,4,5,5,3,11,11,7,8,4,11,16,15,8,4,112,"3,7%"
,Ilha do Retiro,Curado,11,21,22,10,23,30,14,31,10,18,29,41,37,33,330,"11,0%"
,Ilha do Retiro,Estância,4,6,5,12,8,3,5,4,6,5,8,13,14,12,105,"3,5%"
,Estância,Ilha do Retiro,16,10,9,7,10,1,9,8,3,4,7,15,5,13,117,"3,9%"
,Estância,Cordeiro,69,62,48,18,20,27,19,21,31,28,37,77,53,39,549,"18,3%"
,Estância,Curado,3,2,12,9,5,9,10,9,6,17,19,16,12,12,141,"4,7%"
,,TOTAL,235,277,186,156,172,198,151,188,175,173,238,390,261,203,3003,
,,Percentual,"7,83%","9,22%","6,19%","5,19%","5,73%","6,59%","5,03%","6,26%","5,83%","5,76%","7,93%","12,99%","8,69%","6,76%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,45,45,42,32,25,31,15,20,17,17,44,44,32,19,428,"14,3%"
,,Crianças e adolescentes,1,6,6,1,9,0,0,2,3,6,8,19,2,6,69,"2,3%"
,,Capacete,19,18,6,2,5,2,2,3,0,5,4,16,16,8,106,"3,5%"
,,Carona criança,2,0,3,4,5,3,5,8,2,3,11,7,6,3,62,"2,1%"
,,Carona mulher,4,0,2,3,0,2,2,2,1,0,2,4,7,4,33,"1,1%"
,,Carona homem,0,0,0,0,1,0,0,0,0,2,0,1,0,0,4,"0,1%"
,,Cargueira tradicional,8,18,16,25,20,19,18,28,16,17,12,25,28,12,262,"8,7%"
,,Adaptada a carga,21,17,27,35,16,20,5,13,8,13,21,28,21,11,256,"8,5%"
,,Serviço,0,2,1,5,2,10,12,9,5,1,6,4,1,4,62,"2,1%"
,,Serviço APP,1,2,3,6,8,15,9,15,7,4,16,9,10,28,133,"4,4%"
,,Contramão,11,15,14,25,12,6,18,26,17,9,17,51,36,47,304,"10,1%"
,,Contramão para conversão,23,22,19,12,3,15,15,6,5,11,3,3,2,3,142,"4,7%"
,,Calçada,53,84,42,22,55,36,43,45,44,48,27,63,51,40,653,"21,7%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,6,41,8,10,11,,,,,3,,1,,,80,"2,7%"
,,Triciclo,,1,,,,,,,1,,2,1,2,1,8,"0,3%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,4,6,3,1,1,1,,2,3,,,,3,2,26,"0,9%"
,,Motorizada,,,1,,,,,,,1,,2,,2,6,"0,2%"
,,Skate e outros patináveis,,1,,,,,,,,,,,,,1,"0,0%"
,,Ciclomotor,,4,,1,,1,4,2,,1,4,2,,,19,"0,6%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" - Emplacada",,,,,,1,,,,,1,,,,2,"0,1%"
,,Caronas,6,0,5,7,6,5,7,10,3,5,13,12,13,7,99,"3,3%"
,,Cargueiras,29,35,43,60,36,39,23,41,24,30,33,53,49,23,518,"17,2%"
,,Serviço,1,4,4,11,10,25,21,24,12,5,22,13,11,32,195,"6,5%"
,,Contramão,34,37,33,37,15,21,33,32,22,20,20,54,38,50,446,"14,9%"
,,,,,,,,,,,,,,,,,0,"0,0%"
