",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Rua sem saída,Tiúma (indo),0,0,0,0,0,0,0,1,0,0,1,0,1,2,5,"0,4%"
,Rua sem saída,Tiúma (vindo),0,0,0,0,0,1,1,0,2,1,0,0,0,0,5,"0,4%"
,Rua sem saída,Recife,0,0,0,0,0,2,1,0,0,0,2,3,0,2,10,"0,8%"
,Recife ,Rua sem saída,0,0,0,0,0,1,2,0,1,1,0,1,0,0,6,"0,5%"
,Recife ,Tiúma (indo),20,28,18,20,13,17,23,20,27,11,30,41,32,26,326,"26,2%"
,Recife ,Tiúma (vindo),15,28,24,19,21,22,15,11,15,13,26,25,16,11,261,"21,0%"
,Tiúma (vindo),Recife,31,29,28,29,26,36,28,22,30,26,40,60,34,35,454,"36,5%"
,Tiúma (vindo),Rua sem saída,0,0,0,0,0,1,1,0,2,0,0,4,0,1,9,"0,7%"
,Tiúma (vindo),Tiúma (indo),1,0,1,1,0,1,0,0,0,1,1,0,0,2,8,"0,6%"
,Tiúma (indo),Tiúma (vindo),0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,"0,2%"
,Tiúma (indo),Recife,10,15,9,5,15,7,5,14,7,5,15,19,17,14,157,"12,6%"
,Tiúma (indo),Rua sem saída,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,TOTAL,77,100,80,74,75,89,76,68,84,59,115,154,100,93,1244,
,,Percentual,"6,19%","8,04%","6,43%","5,95%","6,03%","7,15%","6,11%","5,47%","6,75%","4,74%","9,24%","12,38%","8,04%","7,48%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,1,3,2,4,5,1,1,3,3,2,7,7,2,5,46,"3,7%"
,,Crianças e adolescentes,2,4,2,2,2,6,3,3,2,3,7,10,4,4,54,"4,3%"
,,Capacete,0,1,5,2,0,1,1,0,0,3,2,1,3,3,22,"1,8%"
,,Carona criança,0,1,1,2,5,0,5,2,1,4,1,3,1,1,27,"2,2%"
,,Carona mulher,0,0,0,0,0,1,0,1,1,0,2,0,2,0,7,"0,6%"
,,Carona homem,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,"0,2%"
,,Cargueira tradicional,4,8,8,5,3,6,5,7,10,6,7,3,5,3,80,"6,4%"
,,Adaptada a carga,6,10,11,13,10,9,5,10,18,9,11,8,7,3,130,"10,5%"
,,Serviço,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,"0,2%"
,,Serviço APP,0,0,1,0,0,1,3,3,1,4,1,0,2,1,17,"1,4%"
,,Contramão,32,48,30,34,40,36,32,28,34,33,64,70,51,36,568,"45,7%"
,,Contramão para conversão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Calçada,0,2,2,1,3,5,7,6,6,5,5,9,5,9,65,"5,2%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,3,2,4,1,6,3,1,5,,3,7,7,3,2,47,"3,8%"
,,Triciclo,,,,1,1,,,,,,,,,,2,"0,2%"
,,Carroça,,,,,,,,,,2,,,,,2,"0,2%"
,,Elétrica,,,,1,,,,,,,,1,1,1,4,"0,3%"
,,Motorizada,,1,1,1,,1,1,3,,,,2,,1,11,"0,9%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,,,,,,3,,,,,,1,,,4,"0,3%"
,,Cadeirante,,,,,,1,1,,,,,,,,2,"0,2%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" ",,,,,,,,,,,,,,,0,"0,0%"
,,Caronas,0,1,1,4,5,1,5,3,2,4,3,3,3,1,36,"2,9%"
,,Cargueiras,10,18,19,18,13,15,10,17,28,15,18,11,12,6,210,"16,9%"
,,Serviço,0,1,1,1,1,1,3,3,1,4,1,0,2,1,20,"1,6%"
,,Contramão,32,48,30,34,40,36,32,28,34,33,64,70,51,36,568,"45,7%"
,,Bicicleta tipo Monark,,,,4,17,,,,,,9,7,1,1,39,"3,1%"
