,Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,AV NORTE,TREZE DE MAIO,1,0,1,1,0,0,0,0,1,0,1,3,1,0,9,"0,5%"
,AV NORTE,CINEMA SÃO LUIZ,4,15,2,2,2,1,4,1,3,3,10,2,2,4,55,"2,9%"
,AV NORTE,RECIFE ANTIGO,44,92,64,47,39,16,9,22,16,21,23,10,7,16,426,"22,4%"
,RECIFE ANTIGO,AV NORTE,30,13,16,20,30,48,30,24,36,48,82,148,66,41,632,"33,2%"
,RECIFE ANTIGO,TREZE DE MAIO,1,3,1,6,1,2,8,5,0,2,6,6,4,0,45,"2,4%"
,RECIFE ANTIGO,CINEMA SÃO LUIZ,1,0,0,1,1,2,3,3,2,0,1,6,1,1,22,"1,2%"
,CINEMA SÃO LUIZ,RECIFE ANTIGO,10,4,7,4,3,2,1,5,6,6,2,1,0,1,52,"2,7%"
,CINEMA SÃO LUIZ,AV NORTE,13,17,16,12,26,22,23,18,25,28,37,56,39,25,357,"18,8%"
,CINEMA SÃO LUIZ,TREZE DE MAIO,1,3,1,1,0,2,3,1,2,2,2,1,0,3,22,"1,2%"
,TREZE DE MAIO,CINEMA SÃO LUIZ,3,1,4,6,1,3,7,2,1,3,4,1,2,0,38,"2,0%"
,TREZE DE MAIO,RECIFE ANTIGO,16,29,23,26,22,19,18,17,13,10,15,8,4,4,224,"11,8%"
,TREZE DE MAIO,AV NORTE,0,0,0,1,0,2,0,4,1,1,5,2,2,1,19,"1,0%"
,,TOTAL,124,177,135,127,125,119,106,102,106,124,188,244,128,96,1901,
,,Percentual,"6,52%","9,31%","7,10%","6,68%","6,58%","6,26%","5,58%","5,37%","5,58%","6,52%","9,89%","12,84%","6,73%","5,05%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,5,7,15,8,5,12,10,8,8,11,20,23,10,6,148,"7,8%"
,,Crianças e adolescentes,0,2,0,6,1,1,0,0,5,6,0,1,0,6,28,"1,5%"
,,Capacete,29,21,17,7,2,6,10,6,20,4,13,35,18,16,204,"10,7%"
,,Caronas,1,5,2,0,2,4,2,3,3,2,3,3,4,4,38,"2,0%"
,,Cargueiras,17,19,17,23,23,21,21,9,10,13,13,16,13,10,225,"11,8%"
,,Serviço,0,0,1,3,1,0,7,5,2,1,2,1,0,1,24,"1,3%"
,,Contramão,28,32,20,11,1,14,14,16,8,13,11,18,8,2,196,"10,3%"
,,Calçada,30,94,71,49,38,11,15,27,22,18,27,39,18,22,481,"25,3%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Carona criança,0,4,1,0,0,0,0,1,1,1,0,2,2,1,13,"0,7%"
,,Carona mulher,1,1,1,0,1,3,1,1,1,1,2,1,2,3,19,"1,0%"
,,Carona homem,0,0,0,0,1,1,1,1,1,0,1,0,0,0,6,"0,3%"
,,Cargueira tradicional,17,19,17,23,23,21,21,9,10,13,13,16,13,10,225,"11,8%"
,,Adaptada a carga,9,7,7,15,13,13,5,2,3,6,9,15,4,6,114,"6,0%"
,,Serviço,0,0,1,3,1,0,7,5,2,1,2,1,0,1,24,"1,3%"
,,Serviço APP,0,1,2,3,12,11,13,23,15,2,2,2,2,2,90,"4,7%"
,,Contramão,28,32,20,11,1,14,14,16,8,13,11,18,8,2,196,"10,3%"
,,Contramão para conversão,7,2,3,4,0,4,4,4,6,2,7,7,0,1,51,"2,7%"
,,Bike PE,11,16,14,9,7,9,12,9,6,12,16,28,29,9,187,"9,8%"
,,Empurrando,10,12,21,14,4,4,11,4,7,3,8,8,1,1,108,"5,7%"
,,Triciclo,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,"0,1%"
,,Carroça,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"0,1%"
,,Elétrica,0,1,2,0,0,0,0,0,0,2,0,0,0,0,5,"0,3%"
,,Motorizada,0,5,0,0,0,0,0,0,0,1,2,4,2,0,14,"0,7%"
,,Skate e outros patináveis,0,0,1,0,3,2,0,0,0,0,1,0,2,2,11,"0,6%"
,,Cadeirante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Handbike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Grupos de Pedal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,0,1,0,3,2,1,3,2,3,0,0,0,5,1,21,"1,1%"
,,Ciclofaixa,21,30,20,20,23,26,25,22,24,29,41,50,35,29,395,"20,8%"
,,"""Outros""",1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,"0,1%"
