",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Rosarinho,Jaqueira,4,3,5,1,5,6,3,6,4,6,9,11,9,6,78,"2,6%"
,Rosarinho,Torre,6,9,4,6,5,5,9,10,7,6,4,8,6,5,90,"3,0%"
,Rosarinho,Graças,6,7,10,3,13,15,30,25,15,21,12,10,11,20,198,"6,6%"
,Graças,Rosarinho,0,0,0,1,5,2,9,11,7,1,6,1,4,6,53,"1,8%"
,Graças,Jaqueira,28,36,29,35,32,60,74,92,75,55,124,163,145,98,1046,"35,1%"
,Graças,Torre,2,1,2,0,2,6,9,4,5,3,4,4,2,7,51,"1,7%"
,Torre,Graças,1,0,3,1,4,4,8,4,8,2,0,2,1,0,38,"1,3%"
,Torre,Rosarinho,0,1,1,0,0,1,1,4,1,4,3,2,3,3,24,"0,8%"
,Torre,Jaqueira,4,11,2,2,3,6,3,5,1,9,11,12,7,4,80,"2,7%"
,Jaqueira,Torre,8,19,10,3,6,4,8,3,4,3,7,10,6,9,100,"3,4%"
,Jaqueira,Graças,132,130,94,52,56,95,77,77,58,72,75,85,77,84,1164,"39,1%"
,Jaqueira,Rosarinho,0,8,3,1,4,4,10,3,1,8,1,5,3,6,57,"1,9%"
,,TOTAL,191,225,163,105,135,208,241,244,186,190,256,313,274,248,2979,
,,Percentual,"6,41%","7,55%","5,47%","3,52%","4,53%","6,98%","8,09%","8,19%","6,24%","6,38%","8,59%","10,51%","9,20%","8,32%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,14,31,4,16,18,17,21,16,17,14,28,31,24,16,267,"9,0%"
,,Crianças e adolescentes,11,2,0,0,1,1,2,12,2,0,2,2,0,0,35,"1,2%"
,,Capacete,45,62,42,27,20,16,26,15,21,11,38,41,38,9,411,"13,8%"
,,Carona criança,5,18,0,0,0,1,3,3,1,2,4,7,3,0,47,"1,6%"
,,Carona mulher,1,0,0,0,0,0,0,0,0,0,0,2,0,1,4,"0,1%"
,,Carona homem,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"0,0%"
,,Cargueira tradicional,1,4,7,10,11,14,9,5,9,13,10,7,3,2,105,"3,5%"
,,Adaptada a carga,12,16,7,8,1,9,8,21,4,21,12,13,17,5,154,"5,2%"
,,Serviço,0,1,1,3,5,9,3,3,8,11,0,1,2,0,47,"1,6%"
,,Serviço APP,0,9,23,18,62,102,145,137,97,81,71,84,102,130,1061,"35,6%"
,,Contramão,0,10,7,1,2,3,4,2,1,4,5,2,8,11,60,"2,0%"
,,Contramão para conversão,4,0,0,0,6,6,9,7,5,10,6,11,2,0,66,"2,2%"
,,Calçada,6,4,13,4,13,20,29,33,19,22,11,19,13,14,220,"7,4%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,13,17,8,6,13,10,19,9,11,9,38,38,27,25,243,"8,2%"
,,Empurrando,1,3,1,,3,2,,,,1,4,4,3,2,24,"0,8%"
,,Triciclo,,,,,,2,,,2,,,,,,4,"0,1%"
,,Carroça,,,,,,,,1,1,,,,,,2,"0,1%"
,,Elétrica,1,,4,5,2,3,5,3,3,1,3,3,2,1,36,"1,2%"
,,Motorizada,,,1,,,4,5,4,2,,3,3,2,,24,"0,8%"
,,Skate e outros patináveis,1,5,1,2,,,,2,,,2,2,2,1,18,"0,6%"
,,Ciclomotor,5,1,7,4,1,4,7,5,6,1,6,6,6,5,64,"2,1%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" - fora da ciclofaixa da rua do futuro",2,3,1,1,,,5,4,1,3,16,16,6,6,64,"2,1%"
,,Caronas,6,18,0,0,0,1,3,3,1,2,5,9,3,1,52,"1,7%"
,,Cargueiras,13,20,14,18,12,23,17,26,13,34,22,20,20,7,259,"8,7%"
,,Serviço,0,10,24,21,67,111,148,140,105,92,71,85,104,130,1108,"37,2%"
,,Contramão,4,10,7,1,8,9,13,9,6,14,11,13,10,11,126,"4,2%"
,,,,,,,,,,,,,,,,,0,"0,0%"
