",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Usina Salgado,Ipojuca,19,20,9,8,13,21,13,20,16,13,12,19,9,14,206,"8,5%"
,Usina Salgado,Rua do Colégio,37,40,29,22,28,29,27,36,23,22,36,39,23,16,407,"16,8%"
,Usina Salgado,Porto de Galinhas,14,9,3,3,2,1,5,1,3,2,6,2,1,0,52,"2,2%"
,Porto de Galinhas,Usina Salgado,5,6,4,1,5,4,1,3,2,4,10,9,7,3,64,"2,6%"
,Porto de Galinhas,Ipojuca,17,17,9,7,11,16,11,15,13,17,30,60,25,14,262,"10,8%"
,Porto de Galinhas,Rua do Colégio,2,3,2,1,1,3,0,0,3,11,2,10,5,3,46,"1,9%"
,Rua do Colégio,Porto de Galinhas,3,2,3,3,5,1,1,2,4,5,4,10,3,3,49,"2,0%"
,Rua do Colégio,Usina Salgado,17,30,15,25,27,43,19,33,22,21,49,54,35,16,406,"16,8%"
,Rua do Colégio,Ipojuca,9,15,10,12,10,19,10,12,32,51,29,32,21,34,296,"12,3%"
,Ipojuca,Rua do Colégio,12,58,18,19,22,10,9,18,19,20,28,31,22,8,294,"12,2%"
,Ipojuca,Porto de Galinhas,37,29,16,8,12,12,6,8,4,8,12,21,7,5,185,"7,7%"
,Ipojuca,Usina Salgado,13,17,11,6,7,15,13,16,11,9,9,10,9,3,149,"6,2%"
,,TOTAL,185,246,129,115,143,174,115,164,152,183,227,297,167,119,2416,
,,Percentual,"7,66%","10,18%","5,34%","4,76%","5,92%","7,20%","4,76%","6,79%","6,29%","7,57%","9,40%","12,29%","6,91%","4,93%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,28,39,35,27,27,39,21,52,29,35,50,40,33,21,476,"19,7%"
,,Crianças e adolescentes,16,55,4,3,16,14,21,7,22,23,8,19,7,4,219,"9,1%"
,,Capacete,2,1,2,2,0,2,1,1,0,0,0,1,0,9,21,"0,9%"
,,Carona criança,12,11,2,4,5,17,10,9,4,9,16,17,8,2,126,"5,2%"
,,Carona mulher,2,2,1,0,1,0,4,3,3,2,3,4,3,1,29,"1,2%"
,,Carona homem,0,0,0,0,2,1,1,0,0,0,0,0,1,0,5,"0,2%"
,,Cargueira tradicional,6,4,1,4,7,5,4,7,5,10,12,5,1,5,76,"3,1%"
,,Adaptada a carga,9,22,11,15,15,23,11,7,6,13,18,24,5,4,183,"7,6%"
,,Serviço,2,0,0,0,3,0,0,1,1,3,3,0,0,0,13,"0,5%"
,,Serviço APP,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,"0,1%"
,,Contramão,34,19,21,18,20,27,22,13,6,15,18,42,11,24,290,"12,0%"
,,Contramão para conversão,4,10,0,2,0,0,0,5,8,3,0,0,3,0,35,"1,4%"
,,Calçada,14,42,10,19,10,18,8,13,21,27,27,26,28,25,288,"11,9%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,2,4,2,2,1,1,1,2,6,6,2,10,7,1,47,"1,9%"
,,Triciclo,,4,1,,,,,,,,,,,,5,"0,2%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,2,4,3,4,1,1,4,,,,,,,,19,"0,8%"
,,Motorizada,,,,,,1,,2,1,4,4,3,1,,16,"0,7%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,,,,,,,1,,,,,,,,1,"0,0%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,Uso da ciclovia existente,52,31,26,20,23,28,14,24,19,35,25,52,33,9,391,"16,2%"
,,Caronas,14,13,3,4,8,18,15,12,7,11,19,21,12,3,160,"6,6%"
,,Cargueiras,15,26,12,19,22,28,15,14,11,23,30,29,6,9,259,"10,7%"
,,Serviço,2,0,0,0,3,0,1,1,2,3,3,0,0,0,15,"0,6%"
,,Contramão,38,29,21,20,20,27,22,18,14,18,18,42,14,24,325,"13,5%"
,,,,,,,,,,,,,,,,,0,"0,0%"
