Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
Rosarinho,Jaqueira,1,1,1,4,5,0,2,1,1,0,0,7,4,3,30,"3,5%"
Rosarinho,Torre,,,,,,,,,,,,,,,0,"0,0%"
Rosarinho,Graças,8,14,11,7,11,2,11,1,12,2,11,19,10,5,124,"14,5%"
Graças,Rosarinho,1,3,4,1,0,3,3,2,1,1,2,8,7,2,38,"4,5%"
Graças,Jaqueira,10,7,6,9,5,4,12,3,10,4,12,34,27,19,162,"19,0%"
Graças,Torre,,,,,,,,,,,,,,,0,"0,0%"
Torre,Graças,,,,,,,,,,,,,,,0,"0,0%"
Torre ,Rosarinho,,,,,,,,,,,,,,,0,"0,0%"
Torre,Jaqueira,,,,,,,,,,,,,,,0,"0,0%"
Jaqueira,Torre,,,,,,,,,,,,,,,0,"0,0%"
Jaqueira,Graças,73,70,43,20,14,26,24,19,27,20,13,44,34,27,454,"53,2%"
Jaqueira,Rosarinho,3,5,4,2,1,4,3,4,1,2,1,11,1,3,45,"5,3%"
,TOTAL,96,100,69,43,36,39,55,30,52,29,39,123,83,59,853,
,Percentual,"11,25%","11,72%","8,09%","5,04%","4,22%","4,57%","6,45%","3,52%","6,10%","3,40%","4,57%","14,42%","9,73%","6,92%","100,00%",
,,,,,,,,,,,,,,,,,
,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Mulher,5,12,8,8,1,4,1,5,8,1,2,5,10,5,75,"8,8%"
,Crianças e adolescentes,5,0,0,0,0,0,11,8,4,6,1,0,0,4,39,"4,6%"
,Capacete,11,15,13,9,5,8,8,3,5,4,5,4,3,19,112,"13,1%"
,Carona criança,1,2,2,0,0,0,0,0,0,0,0,0,4,0,9,"1,1%"
,Carona mulher,1,1,1,0,0,0,0,0,0,0,0,1,0,0,4,"0,5%"
,Carona homem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Cargueira tradicional,3,1,3,4,0,0,0,0,0,0,0,0,1,0,12,"1,4%"
,Adaptada a carga,4,2,6,2,0,0,0,0,0,0,0,0,1,0,15,"1,8%"
,Serviço,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,"1,4%"
,Serviço APP,0,0,4,0,0,0,0,0,0,0,0,19,10,0,33,"3,9%"
,Contramão,10,9,7,13,0,0,0,0,0,0,0,10,22,0,71,"8,3%"
,Contramão para conversão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Calçada,43,60,44,18,0,0,0,0,0,0,0,51,33,0,249,"29,2%"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,Empurrando,,,,,,,,,,,,,,,0,"0,0%"
,Triciclo,,,,,,,,,,,,,,,0,"0,0%"
,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,Elétrica,,,,,,,,,,,,,,,0,"0,0%"
,Motorizada,,,,,,,,,,,,,,,0,"0,0%"
,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,Ciclomotor,,,,,,,,,,,,,,,0,"0,0%"
,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,"""Outros"" - Emplacada",,,,,,,,,,,,,,,0,"0,0%"
,Caronas,2,3,3,0,0,0,0,0,0,0,0,1,4,0,13,"1,5%"
,Cargueiras,7,3,9,6,0,0,0,0,0,0,0,0,2,0,27,"3,2%"
,Serviço,0,0,4,0,0,0,0,0,0,0,0,31,10,0,45,"5,3%"
,Contramão,10,9,7,13,0,0,0,0,0,0,0,10,22,0,71,"8,3%"
,,,,,,,,,,,,,,,,0,"0,0%"
