",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Caixa D'Água,Campo Grande,32,38,32,34,31,36,15,26,15,31,27,55,34,35,441,"11,1%"
,Caixa D'Água,Peixinhos,66,60,44,43,32,38,48,36,39,45,37,39,30,47,604,"15,2%"
,Caixa D'Água,Jd. Brasil,5,13,8,0,7,4,11,10,6,10,10,14,13,6,117,"2,9%"
,Jd. Brasil ,Caixa D'Água,7,14,5,6,7,17,8,8,13,6,9,15,10,11,136,"3,4%"
,Jd. Brasil ,Campo Grande,39,46,41,28,34,25,27,36,20,21,35,57,41,28,478,"12,0%"
,Jd. Brasil ,Peixinhos,11,18,17,15,19,6,16,13,13,12,8,17,15,16,196,"4,9%"
,Peixinhos,Jd. Brasil,10,20,14,21,22,14,19,14,21,20,41,35,26,18,295,"7,4%"
,Peixinhos,Caixa D'Água,26,35,34,41,32,35,42,31,32,51,65,108,66,29,627,"15,8%"
,Peixinhos,Campo Grande,5,9,9,18,13,13,21,12,16,14,24,29,15,13,211,"5,3%"
,Campo Grande,Peixinhos,4,3,11,11,7,18,7,9,7,10,18,19,9,4,137,"3,5%"
,Campo Grande,Jd. Brasil,14,33,29,18,20,32,21,23,22,16,35,62,30,24,379,"9,6%"
,Campo Grande,Caixa D'Água,20,25,15,20,27,17,20,15,17,22,34,54,29,32,347,"8,7%"
,,TOTAL,239,314,259,255,251,255,255,233,221,258,343,504,318,263,3968,
,,Percentual,"6,02%","7,91%","6,53%","6,43%","6,33%","6,43%","6,43%","5,87%","5,57%","6,50%","8,64%","12,70%","8,01%","6,63%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,14,28,19,15,7,20,22,38,16,29,30,40,21,12,311,"7,8%"
,,Crianças e adolescentes,0,9,0,0,0,2,9,25,6,2,2,22,6,8,91,"2,3%"
,,Capacete,5,5,7,3,4,4,3,3,4,4,7,12,4,5,70,"1,8%"
,,Carona criança,5,15,2,3,2,10,10,17,3,10,11,16,1,8,113,"2,8%"
,,Carona mulher,3,6,2,3,1,3,5,3,4,3,3,4,1,7,48,"1,2%"
,,Carona homem,0,1,0,0,0,2,0,4,0,0,3,0,1,2,13,"0,3%"
,,Cargueira tradicional,25,29,41,56,70,65,48,31,42,46,37,45,35,25,595,"15,0%"
,,Adaptada a carga,11,12,29,34,29,30,16,16,28,23,41,40,17,7,333,"8,4%"
,,Serviço,1,1,0,3,4,9,7,0,2,5,6,1,0,0,39,"1,0%"
,,Serviço APP,1,2,3,2,7,20,12,18,18,9,3,8,12,10,125,"3,2%"
,,Contramão,12,29,25,29,27,43,40,32,33,30,29,62,18,22,431,"10,9%"
,,Contramão para conversão,8,22,9,3,4,30,37,29,24,27,15,35,22,26,291,"7,3%"
,,Calçada,8,18,13,12,8,20,25,6,15,12,22,28,10,12,209,"5,3%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,,,,20,9,18,10,8,15,10,16,11,10,2,129,"3,3%"
,,Triciclo,1,,,2,,1,1,1,,,1,,,,7,"0,2%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,3,3,8,3,6,1,,2,,1,4,2,2,1,36,"0,9%"
,,Motorizada,,,,,,4,,,3,,1,1,,,9,"0,2%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,1,4,4,2,,3,1,4,2,,,,,,21,"0,5%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,1,,,,1,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" atalho",,,,,,,4,6,14,7,8,15,7,6,67,"1,7%"
,,Caronas,8,22,4,6,3,15,15,24,7,13,17,20,3,17,174,"4,4%"
,,Cargueiras,36,41,70,90,99,95,64,47,70,69,78,85,52,32,928,"23,4%"
,,Serviço,2,3,3,5,11,29,19,18,20,14,9,9,12,10,164,"4,1%"
,,Contramão,20,51,34,32,31,73,77,61,57,57,44,97,40,48,722,"18,2%"
,,,,,,,,,,,,,,,,,0,"0,0%"
