",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Centro,Lagoa do Araçá,0,0,0,0,0,4,11,1,0,2,2,4,1,1,26,"1,5%"
,Centro,Jaboatão,44,55,39,13,12,19,19,10,20,20,23,46,35,18,373,"21,8%"
,Centro,Boa Viagem,1,1,1,1,2,4,1,2,1,2,0,3,5,3,27,"1,6%"
,Boa Viagem,Centro,3,3,3,3,4,2,2,3,3,2,0,3,1,1,33,"1,9%"
,Boa Viagem,Lagoa do Araçá,5,22,6,4,7,20,4,21,11,2,6,11,11,8,138,"8,1%"
,Boa Viagem,Jaboatão,7,17,4,1,8,13,7,16,3,10,11,20,4,11,132,"7,7%"
,Jaboatão,Boa Viagem,2,11,3,4,17,16,8,20,4,4,6,12,4,10,121,"7,1%"
,Jaboatão,Centro,38,37,37,23,18,17,18,17,15,23,62,80,36,31,452,"26,5%"
,Jaboatão,Lagoa do Araçá,5,12,11,4,6,9,4,9,3,5,6,13,5,11,103,"6,0%"
,Lagoa do Araçá,Jaboatão,6,17,8,5,4,8,6,10,5,7,4,13,10,6,109,"6,4%"
,Lagoa do Araçá,Boa Viagem,1,19,4,5,4,22,13,19,8,1,12,12,12,18,150,"8,8%"
,Lagoa do Araçá,Centro,1,12,5,0,1,3,5,10,0,0,1,1,3,2,44,"2,6%"
,,TOTAL,113,206,121,63,83,137,98,138,73,78,133,218,127,120,1708,
,,Percentual,"6,62%","12,06%","7,08%","3,69%","4,86%","8,02%","5,74%","8,08%","4,27%","4,57%","7,79%","12,76%","7,44%","7,03%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,3,31,13,5,6,20,9,38,8,15,20,23,9,11,211,"12,4%"
,,Crianças e adolescentes,1,7,1,1,1,4,3,15,5,9,5,3,0,0,55,"3,2%"
,,Capacete,5,8,1,0,5,0,2,1,1,5,5,12,4,2,51,"3,0%"
,,Caronas,1,27,3,3,1,28,6,30,1,5,21,26,3,6,161,"9,4%"
,,Cargueiras,23,56,27,20,24,35,26,35,21,15,27,34,22,23,388,"22,7%"
,,Serviço,0,4,5,3,12,17,12,3,6,9,5,3,0,5,84,"4,9%"
,,Contramão,14,41,12,7,11,43,31,40,18,23,13,33,18,14,318,"18,6%"
,,Calçada,21,60,15,17,24,51,40,56,29,44,36,62,39,50,544,"31,9%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Carona criança,0,27,0,2,1,26,6,29,1,4,17,22,3,4,142,"8,3%"
,,Carona mulher,1,0,3,0,0,2,0,1,0,1,3,2,0,2,15,"0,9%"
,,Carona homem,0,0,0,1,0,0,0,0,0,0,1,2,0,0,4,"0,2%"
,,Cargueira tradicional,11,29,9,11,15,23,14,26,14,12,15,17,6,18,220,"12,9%"
,,Adaptada a carga,12,27,18,9,9,12,12,9,7,3,12,17,16,5,168,"9,8%"
,,Serviço,0,3,5,0,6,4,6,3,6,6,4,3,0,1,47,"2,8%"
,,Serviço APP,0,1,0,3,6,13,6,0,0,3,1,0,0,4,37,"2,2%"
,,Contramão,12,39,12,7,10,36,27,40,17,20,13,21,13,14,281,"16,5%"
,,Contramão para conversão,2,2,0,0,1,7,4,0,1,3,0,12,5,0,37,"2,2%"
,,Bike PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Empurrando,1,0,1,5,2,4,0,7,3,5,2,2,1,2,35,"2,0%"
,,Triciclo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Carroça,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"0,1%"
,,Elétrica,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,"0,2%"
,,Motorizada,1,0,0,3,0,0,1,0,0,2,0,0,1,1,9,"0,5%"
,,Skate e outros patináveis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Cadeirante,0,0,0,0,1,0,0,2,0,1,0,0,0,0,4,"0,2%"
,,Handbike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Grupos de Pedal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Faixa Azul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Máscara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
