,Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,OLINDA,DERBY,3,3,1,1,1,5,5,1,5,0,4,13,7,1,50,"2,5%"
,OLINDA,BOA VIAGEM,4,2,2,2,1,4,1,3,1,0,1,2,0,2,25,"1,2%"
,OLINDA,BOA VISTA,0,0,1,0,0,3,3,0,7,1,5,2,2,1,25,"1,2%"
,BOA VISTA,OLINDA,0,1,1,0,2,3,1,5,3,1,5,2,2,0,26,"1,3%"
,BOA VISTA,DERBY,7,9,7,26,4,31,0,30,33,38,74,124,61,30,474,"23,5%"
,BOA VISTA,BOA VIAGEM,0,1,1,0,1,1,0,1,0,4,4,0,0,3,16,"0,8%"
,BOA VIAGEM,BOA VISTA,1,5,2,3,2,2,1,3,2,2,3,3,5,3,37,"1,8%"
,BOA VIAGEM,OLINDA,30,41,21,18,15,13,29,19,19,39,59,90,62,28,483,"24,0%"
,BOA VIAGEM,DERBY,3,1,2,2,6,6,4,3,1,2,16,10,12,6,74,"3,7%"
,DERBY,BOA VIAGEM,0,0,1,0,1,0,1,0,0,0,1,0,0,2,6,"0,3%"
,DERBY,BOA VISTA,59,87,58,42,38,29,40,24,23,42,21,23,31,34,551,"27,4%"
,DERBY,OLINDA,19,24,23,10,14,15,11,18,7,16,16,42,28,3,246,"12,2%"
,,TOTAL,126,174,120,104,85,112,96,107,101,145,209,311,210,113,2013,
,,Percentual,"6,26%","8,64%","5,96%","5,17%","4,22%","5,56%","4,77%","5,32%","5,02%","7,20%","10,38%","15,45%","10,43%","5,61%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,5,12,17,3,8,7,12,5,9,10,26,19,12,11,156,"7,7%"
,,Crianças e adolescentes,0,0,0,0,0,0,3,2,0,0,2,5,0,2,14,"0,7%"
,,Capacete,14,27,16,10,9,4,7,5,8,6,21,29,20,14,190,"9,4%"
,,Caronas,2,5,1,1,0,2,3,3,0,2,3,11,1,1,35,"1,7%"
,,Cargueiras,8,9,10,9,15,10,7,2,10,8,14,3,7,2,114,"5,7%"
,,Serviço,1,1,0,12,1,2,0,26,3,4,8,2,1,0,61,"3,0%"
,,Contramão,12,5,4,0,4,4,10,6,1,2,9,38,8,9,112,"5,6%"
,,Calçada,20,20,12,4,4,5,5,4,7,15,18,38,12,6,170,"8,4%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Carona criança,1,4,0,1,0,2,2,2,0,1,1,3,0,1,18,"0,9%"
,,Carona mulher,1,1,1,0,0,0,1,1,0,1,2,0,1,0,9,"0,4%"
,,Carona homem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Cargueira tradicional,8,9,10,9,15,10,7,2,10,8,14,11,7,2,122,"6,1%"
,,Adaptada a carga,8,7,6,8,9,7,4,5,10,6,13,18,5,8,114,"5,7%"
,,Serviço,1,1,0,0,1,2,0,0,3,4,8,2,1,0,23,"1,1%"
,,Serviço APP,0,0,2,12,15,35,45,26,24,26,26,26,17,15,269,"13,4%"
,,Contramão,12,5,4,0,4,4,10,6,1,2,9,38,8,2,105,"5,2%"
,,Contramão para conversão,10,5,0,0,0,4,0,0,4,3,22,16,10,7,81,"4,0%"
,,Bike PE,4,9,16,9,5,7,14,7,5,16,27,38,20,20,197,"9,8%"
,,Empurrando,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4,"0,2%"
,,Triciclo,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,"0,1%"
,,Carroça,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Elétrica,3,0,1,2,1,1,2,2,1,0,0,0,0,0,13,"0,6%"
,,Motorizada,0,0,3,0,0,0,2,0,0,7,2,2,3,1,20,"1,0%"
,,Skate e outros patináveis,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,"0,1%"
,,Cadeirante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Handbike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Grupos de Pedal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,0,0,0,1,1,2,0,0,0,0,0,0,0,0,4,"0,2%"
,,Ciclovia,39,45,40,17,27,21,31,26,12,34,81,113,65,27,578,"28,7%"
,,Contraciclo,2,4,2,1,1,4,1,4,0,1,1,5,0,4,30,"1,5%"
,,"""outros""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
