,Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,OLINDA,DERBY,5,7,4,11,3,0,2,5,4,9,6,10,13,6,85,"4,0%"
,OLINDA,BOA VIAGEM,72,120,27,34,18,20,17,27,20,25,39,48,30,30,527,"24,9%"
,OLINDA,BOA VISTA,2,0,1,1,4,0,3,11,9,11,5,5,2,0,54,"2,6%"
,BOA VISTA,OLINDA,2,0,1,3,1,1,0,0,8,4,6,2,0,1,29,"1,4%"
,BOA VISTA,DERBY,8,10,5,19,31,26,22,27,26,40,63,128,72,38,515,"24,3%"
,BOA VISTA,BOA VIAGEM,1,0,1,2,0,2,0,5,8,4,9,1,3,1,37,"1,7%"
,BOA VIAGEM,BOA VISTA,3,2,1,2,6,1,0,3,2,4,9,10,0,3,46,"2,2%"
,BOA VIAGEM,OLINDA,13,7,13,1,3,4,8,8,5,8,8,24,7,4,113,"5,3%"
,BOA VIAGEM,DERBY,0,0,0,2,1,1,1,0,2,1,2,2,1,1,14,"0,7%"
,DERBY,BOA VIAGEM,0,3,1,1,3,0,5,4,4,5,2,3,2,1,34,"1,6%"
,DERBY,BOA VISTA,78,105,76,38,43,35,46,21,22,31,22,36,43,39,635,"30,0%"
,DERBY,OLINDA,2,2,2,2,1,2,0,3,3,1,2,3,3,2,28,"1,3%"
,,TOTAL,186,256,132,116,114,92,104,114,113,143,173,272,176,126,2117,
,,Percentual,"8,79%","12,09%","6,24%","5,48%","5,38%","4,35%","4,91%","5,38%","5,34%","6,75%","8,17%","12,85%","8,31%","5,95%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,7,15,24,4,2,6,8,10,9,12,13,12,19,8,149,"7,0%"
,,Crianças e adolescentes,0,4,0,0,0,0,0,1,0,0,0,4,0,0,9,"0,4%"
,,Capacete,15,24,16,10,10,6,5,9,8,6,12,29,13,17,180,"8,5%"
,,Caronas,0,0,0,0,0,1,2,4,0,1,3,6,0,1,18,"0,9%"
,,Cargueiras,8,12,12,18,16,4,9,3,15,13,11,9,10,6,146,"6,9%"
,,Serviço,0,0,3,8,4,1,2,1,19,3,0,2,2,1,46,"2,2%"
,,Contramão,20,13,12,2,2,2,3,7,1,10,8,14,19,7,120,"5,7%"
,,Calçada,10,5,12,11,2,2,7,19,18,27,9,8,8,8,146,"6,9%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Carona criança,0,0,0,0,0,1,0,2,0,0,1,5,0,0,9,"0,4%"
,,Carona mulher,0,0,0,0,0,0,2,1,0,1,2,0,0,0,6,"0,3%"
,,Carona homem,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,"0,1%"
,,Cargueira tradicional,8,12,12,18,16,4,9,3,15,13,11,9,10,6,146,"6,9%"
,,Adaptada a carga,0,12,9,8,8,3,4,3,6,3,0,7,8,6,77,"3,6%"
,,Serviço,0,0,3,8,4,1,2,1,19,3,0,2,2,1,46,"2,2%"
,,Serviço APP,0,0,0,5,7,19,31,26,0,25,0,21,18,23,175,"8,3%"
,,Contramão,20,13,12,2,2,2,3,7,1,10,8,14,19,7,120,"5,7%"
,,Contramão para conversão,3,0,0,0,0,2,1,4,0,2,11,15,10,4,52,"2,5%"
,,Bike PE,6,15,14,10,3,2,6,15,6,21,9,29,25,22,183,"8,6%"
,,Empurrando,0,0,0,0,0,0,0,1,0,3,0,3,2,0,9,"0,4%"
,,Triciclo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Carroça,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Elétrica,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,"0,1%"
,,Motorizada,0,0,3,3,0,0,0,0,2,4,3,0,5,0,20,"0,9%"
,,Skate e outros patináveis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"0,0%"
,,Cadeirante,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"0,0%"
,,Handbike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Grupos de Pedal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,"0,3%"
,,Ciclovia,85,114,38,38,11,6,7,22,26,27,25,44,35,33,511,"24,1%"
,,Contraciclo,6,18,11,3,1,0,1,7,0,10,8,18,7,8,98,"4,6%"
,,"""Outros""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
