",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Cajueiro,Igarassu,0,0,1,2,4,4,1,2,2,5,8,2,4,4,39,"2,6%"
,Cajueiro,Cidade Criança ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Cajueiro,Itamaracá,21,40,27,25,12,20,22,23,20,20,36,29,22,32,349,"23,0%"
,Itamaracá,Cajueiro,14,26,15,14,27,37,27,29,25,26,37,43,17,27,364,"24,0%"
,Itamaracá,Igarassu,21,14,19,23,20,27,19,29,20,20,33,36,33,27,341,"22,5%"
,Itamaracá,Cidade Criança ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Cidade Criança,Itamaracá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Cidade Criança,Cajueiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Cidade Criança,Igarassu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Igarassu,Cidade Criança ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Igarassu,Itamaracá,17,13,20,34,25,27,27,32,16,25,32,47,28,32,375,"24,7%"
,Igarassu,Cajueiro,2,2,2,1,1,7,3,7,0,5,7,4,5,2,48,"3,2%"
,,TOTAL,75,95,84,99,89,122,99,122,83,101,153,161,109,124,1516,
,,Percentual,"4,95%","6,27%","5,54%","6,53%","5,87%","8,05%","6,53%","8,05%","5,47%","6,66%","10,09%","10,62%","7,19%","8,18%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,9,19,14,12,8,10,14,25,17,17,18,10,7,12,192,"12,7%"
,,Crianças e adolescentes,0,12,4,12,4,17,16,16,21,12,21,18,10,22,185,"12,2%"
,,Capacete,3,1,0,0,0,0,0,1,0,2,6,4,0,0,17,"1,1%"
,,Carona criança,0,6,0,0,1,6,2,4,2,2,3,8,1,3,38,"2,5%"
,,Carona mulher,0,0,0,0,0,0,0,1,1,0,1,0,0,3,6,"0,4%"
,,Carona homem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Cargueira tradicional,2,4,6,10,11,7,1,9,2,5,7,6,4,1,75,"4,9%"
,,Adaptada a carga,8,10,4,7,7,18,5,9,6,8,17,4,10,3,116,"7,7%"
,,Serviço,0,0,2,4,5,3,1,3,0,3,1,5,0,0,27,"1,8%"
,,Serviço APP,0,0,0,0,0,0,6,6,1,0,1,2,4,9,29,"1,9%"
,,Contramão,25,19,36,18,29,31,24,26,18,28,26,26,23,24,353,"23,3%"
,,Contramão para conversão,5,2,3,0,0,5,4,2,0,3,6,3,2,2,37,"2,4%"
,,Calçada,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,"0,1%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,2,2,5,5,7,11,5,9,10,4,4,2,3,1,70,"4,6%"
,,Triciclo,,,,,,,,,,,,,,,0,"0,0%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,,,,,,,,1,1,,,,,2,4,"0,3%"
,,Motorizada,,,,1,,,,,,,,3,,1,5,"0,3%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,3,,,1,1,,,,,,,,,,5,"0,3%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,Atalho pela Rua M.,1,1,2,1,1,8,5,8,,4,7,4,4,3,49,"3,2%"
,,Caronas,0,6,0,0,1,6,2,5,3,2,4,8,1,6,44,"2,9%"
,,Cargueiras,10,14,10,17,18,25,6,18,8,13,24,10,14,4,191,"12,6%"
,,Serviço,0,0,2,4,5,3,7,9,1,3,2,7,4,9,56,"3,7%"
,,Contramão,30,21,39,18,29,36,28,28,18,31,32,29,25,26,390,"25,7%"
,,,,,,,,,,,,,,,,,0,"0,0%"
