",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Abreu e Lima,Joaquim Nabuco,5,3,0,6,9,12,10,9,7,17,10,12,6,8,114,"7,2%"
,Abreu e Lima,Itapissuma,12,5,7,10,9,14,13,5,12,15,11,16,11,10,150,"9,5%"
,Abreu e Lima,Santo Inácio,4,4,6,9,4,7,5,1,8,3,6,3,3,3,66,"4,2%"
,Santo Inácio,Abreu e Lima,9,4,4,7,6,2,5,4,3,8,2,7,4,2,67,"4,3%"
,Santo Inácio,Joaquim Nabuco,4,6,12,12,10,11,10,6,3,12,12,17,8,14,137,"8,7%"
,Santo Inácio,Itapissuma,3,4,5,10,13,21,9,17,3,7,13,10,10,2,127,"8,1%"
,Itapissuma,Santo Inácio,3,11,9,11,12,11,19,14,3,9,7,5,3,2,119,"7,6%"
,Itapissuma,Abreu e Lima,12,12,3,5,5,6,8,15,6,10,7,8,5,5,107,"6,8%"
,Itapissuma,Joaquim Nabuco,19,12,9,12,12,19,18,12,14,16,11,29,15,7,205,"13,0%"
,Joaquim Nabuco,Itapissuma,27,20,11,17,23,24,26,18,7,12,12,30,14,7,248,"15,7%"
,Joaquim Nabuco,Santo Inácio,7,6,12,18,17,18,14,19,8,17,13,10,8,7,174,"11,0%"
,Joaquim Nabuco,Abreu e Lima,10,6,2,2,2,5,2,4,4,4,4,5,5,6,61,"3,9%"
,,TOTAL,115,93,80,119,122,150,139,124,78,130,108,152,92,73,1575,
,,Percentual,"7,30%","5,90%","5,08%","7,56%","7,75%","9,52%","8,83%","7,87%","4,95%","8,25%","6,86%","9,65%","5,84%","4,63%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,8,12,9,17,13,23,16,18,4,13,6,9,1,3,152,"9,7%"
,,Crianças e adolescentes,1,7,0,5,2,3,13,10,12,4,2,24,8,5,96,"6,1%"
,,Capacete,0,2,0,2,1,1,0,0,1,2,0,1,0,5,15,"1,0%"
,,Carona criança,2,3,0,0,3,9,7,1,3,2,3,5,3,3,44,"2,8%"
,,Carona mulher,1,2,1,1,1,1,0,1,1,3,2,1,2,0,17,"1,1%"
,,Carona homem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Cargueira tradicional,11,9,12,12,4,10,6,3,2,11,8,7,1,2,98,"6,2%"
,,Adaptada a carga,13,17,14,23,21,0,21,12,4,24,20,11,12,8,200,"12,7%"
,,Serviço,0,0,1,3,0,0,0,0,0,1,2,2,0,0,9,"0,6%"
,,Serviço APP,0,1,0,0,0,0,4,4,0,2,2,1,1,0,15,"1,0%"
,,Contramão,10,1,1,5,15,0,18,5,10,20,13,29,24,12,163,"10,3%"
,,Contramão para conversão,12,9,6,18,11,0,10,2,3,17,10,13,11,9,131,"8,3%"
,,Calçada,0,3,0,0,1,0,1,0,2,0,5,5,3,2,22,"1,4%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,5,13,13,30,27,19,20,18,4,22,12,9,7,2,201,"12,8%"
,,Triciclo,,,,,,,,,,,,,,,0,"0,0%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,,1,1,,1,,,,,,,,,,3,"0,2%"
,,Motorizada,,1,,,,,,,,,,1,,,2,"0,1%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,,,,,,,2,,,,,,,,2,"0,1%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,Usando guarda chuva,10,20,11,1,,,,,,,13,6,4,,65,"4,1%"
,,Caronas,3,5,1,1,4,10,7,2,4,5,5,6,5,3,61,"3,9%"
,,Cargueiras,24,26,26,35,25,10,27,15,6,35,28,18,13,10,298,"18,9%"
,,Serviço,0,1,1,3,0,0,4,4,0,3,4,3,1,0,24,"1,5%"
,,Contramão,22,10,7,23,26,0,28,7,13,37,23,42,35,21,294,"18,7%"
,,,,,,,,,,,,,,,,,0,"0,0%"
