",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Rosarinho,Jaqueira,0,0,0,0,,,,,,,,4,3,,7,"1,6%"
,Rosarinho,Torre,21,5,1,1,,,,,,,,21,31,,80,"17,9%"
,Rosarinho,Graças,1,2,0,0,,,,,,,,6,7,,16,"3,6%"
,Graças,Rosarinho,0,1,0,1,,,,,,,,3,5,,10,"2,2%"
,Graças,Jaqueira,15,26,26,16,,,,,,,,53,54,,190,"42,4%"
,Graças,Torre,3,1,3,0,,,,,,,,7,9,,23,"5,1%"
,Torre,Graças,0,0,1,0,,,,,,,,5,3,,9,"2,0%"
,Torre ,Rosarinho,1,20,12,16,,,,,,,,5,9,,63,"14,1%"
,Torre,Jaqueira,1,7,3,2,,,,,,,,6,4,,23,"5,1%"
,Jaqueira,Torre,0,2,4,0,,,,,,,,1,2,,9,"2,0%"
,Jaqueira,Graças,3,4,1,1,,,,,,,,2,2,,13,"2,9%"
,Jaqueira,Rosarinho,0,1,1,2,,,,,,,,1,0,,5,"1,1%"
,,TOTAL,45,69,52,39,0,0,0,0,0,0,0,114,129,0,448,
,,Percentual,"10,04%","15,40%","11,61%","8,71%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","25,45%","28,79%","0,00%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,3,7,6,2,,,,,,,,3,5,,26,"5,8%"
,,Crianças e adolescentes,1,4,0,0,,,,,,,,0,0,,5,"1,1%"
,,Capacete,7,6,5,6,,,,,,,,8,7,,39,"8,7%"
,,Carona criança,0,3,1,0,,,,,,,,2,0,,6,"1,3%"
,,Carona mulher,0,0,0,0,,,,,,,,0,1,,1,"0,2%"
,,Carona homem,0,0,0,0,,,,,,,,0,0,,0,"0,0%"
,,Cargueira tradicional,1,4,4,4,,,,,,,,2,3,,18,"4,0%"
,,Adaptada a carga,7,3,1,0,,,,,,,,1,2,,14,"3,1%"
,,Serviço,0,0,0,1,,,,,,,,0,1,,2,"0,4%"
,,Serviço APP,0,2,8,8,,,,,,,,37,55,,110,"24,6%"
,,Contramão,4,8,7,3,,,,,,,,13,10,,45,"10,0%"
,,Contramão para conversão,0,0,0,0,,,,,,,,1,1,,2,"0,4%"
,,Calçada,6,30,7,3,,,,,,,,27,34,,107,"23,9%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,1,,,,,,,,,,,6,9,,16,"3,6%"
,,Empurrando,1,,1,1,,,,,,,,,4,,7,"1,6%"
,,Triciclo,,,,,,,,,,,,,,,0,"0,0%"
,,Carroça,,,,,,,,,,,,,1,,1,"0,2%"
,,Elétrica,,4,1,1,,,,,,,,4,2,,12,"2,7%"
,,Motorizada,,,,,,,,,,,,,1,,1,"0,2%"
,,Skate e outros patináveis,,,1,1,,,,,,,,,,,2,"0,4%"
,,Ciclomotor,,,,,,,,,,,,,2,,2,"0,4%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" - adaptada à elétrica",,,1,,,,,,,,,,,,1,"0,2%"
,,Caronas,0,3,1,0,0,0,0,0,0,0,0,2,1,0,7,"1,6%"
,,Cargueiras,8,7,5,4,0,0,0,0,0,0,0,3,5,0,32,"7,1%"
,,Serviço,0,2,8,9,0,0,0,0,0,0,0,37,56,0,112,"25,0%"
,,Contramão,4,8,7,3,0,0,0,0,0,0,0,14,11,0,47,"10,5%"
,,Corredor *,18,,,2,,,,,,,,1,,,21,"4,7%"
,,Treino *,3,,,,,,,,,,,,,,,
