",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Centro,Bonança,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Centro,Alto da Liberdade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Centro,Jaboatão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Jaboatão,Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Jaboatão,Bonança,9,7,9,11,3,7,12,0,9,18,11,8,3,7,114,"19,5%"
,Jaboatão,Alto da Liberdade,4,7,6,11,8,15,13,7,7,12,17,18,8,1,134,"22,9%"
,Alto da Liberdade,Jaboatão,19,25,11,8,8,6,7,9,13,10,8,8,1,1,134,"22,9%"
,Alto da Liberdade,Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Alto da Liberdade,Bonança,2,9,3,4,2,1,5,5,4,3,3,1,0,1,43,"7,3%"
,Bonança,Alto da Liberdade,2,2,6,3,3,3,3,2,1,6,14,9,1,0,55,"9,4%"
,Bonança,Jaboatão,5,19,8,9,7,8,4,8,1,15,13,4,1,4,106,"18,1%"
,Bonança,Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,TOTAL,41,69,43,46,31,40,44,31,35,64,66,48,14,14,586,
,,Percentual,"7,00%","11,77%","7,34%","7,85%","5,29%","6,83%","7,51%","5,29%","5,97%","10,92%","11,26%","8,19%","2,39%","2,39%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,1,2,2,2,2,2,1,0,0,0,0,2,0,0,14,"2,4%"
,,Crianças e adolescentes,5,17,3,6,3,4,11,5,10,31,13,2,2,5,117,"20,0%"
,,Capacete,1,2,1,0,4,0,0,0,1,0,4,1,0,0,14,"2,4%"
,,Carona criança,1,2,0,0,1,0,2,1,1,2,1,0,1,0,12,"2,0%"
,,Carona mulher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Carona homem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Cargueira tradicional,2,4,2,1,2,0,1,1,0,0,1,3,0,0,17,"2,9%"
,,Adaptada a carga,2,3,3,3,4,2,4,4,1,0,4,3,0,0,33,"5,6%"
,,Serviço,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Serviço APP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Contramão,0,0,2,2,1,3,0,0,1,0,1,0,0,0,10,"1,7%"
,,Contramão para conversão,0,3,2,0,1,1,0,0,2,0,2,0,1,1,13,"2,2%"
,,Calçada,5,9,10,9,5,12,5,8,14,16,16,9,5,1,124,"21,2%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,1,,1,2,1,3,4,,1,3,4,4,,,24,"4,1%"
,,Triciclo,,,,,,,,,,,,,,,0,"0,0%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,,,,,,,,,,,,,,,0,"0,0%"
,,Motorizada,,,,,,,,,,,,,,,0,"0,0%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,1,,1,,,,,,,,,,,,2,"0,3%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,"""Outros"" ",,,,,,,,,,,,,,,0,"0,0%"
,,Caronas,1,2,0,0,1,0,2,1,1,2,1,0,1,0,12,"2,0%"
,,Cargueiras,4,7,5,4,6,2,5,5,1,0,5,6,0,0,50,"8,5%"
,,Serviço,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Contramão,0,3,4,2,2,4,0,0,3,0,3,0,1,1,23,"3,9%"
,,"PS: VINDO DO CENTRO NÃO TEM ACESSO, POR ISSO OS VALORES ZERADOS",,,,,,,,,,,,,,,0,"0,0%"
