",",Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Igarassu,Caetés Velho,8,3,4,1,3,5,2,9,10,4,7,7,11,2,76,"7,7%"
,Igarassu,Paulista,40,20,17,3,13,5,14,15,10,19,16,27,9,9,217,"21,9%"
,Igarassu,Fosfato,2,2,1,0,1,2,1,3,1,3,5,4,5,0,30,"3,0%"
,Fosfato,Igarassu,0,0,0,0,2,3,2,2,2,2,3,1,6,1,24,"2,4%"
,Fosfato,Caetés Velho,4,5,4,5,7,11,9,5,10,4,15,4,4,3,90,"9,1%"
,Fosfato,Paulista,0,2,0,1,7,5,2,5,3,10,4,5,1,1,46,"4,7%"
,Paulista,Fosfato,2,0,0,1,4,3,1,1,5,4,2,5,1,1,30,"3,0%"
,Paulista,Igarassu,17,16,7,2,7,8,5,11,11,15,20,51,20,7,197,"19,9%"
,Paulista,Caetés Velho,1,2,1,1,5,3,3,1,2,4,6,12,0,3,44,"4,4%"
,Caetés Velho,Paulista,1,6,1,5,5,4,1,5,7,8,5,9,2,2,61,"6,2%"
,Caetés Velho,Fosfato,6,10,2,3,7,8,9,4,6,8,15,8,7,2,95,"9,6%"
,Caetés Velho,Igarassu,11,5,6,2,3,2,4,6,8,5,6,14,2,5,79,"8,0%"
,,TOTAL,92,71,43,24,64,59,53,67,75,86,104,147,68,36,989,
,,Percentual,"9,30%","7,18%","4,35%","2,43%","6,47%","5,97%","5,36%","6,77%","7,58%","8,70%","10,52%","14,86%","6,88%","3,64%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,1,6,4,1,5,2,1,5,3,4,6,7,2,2,49,"5,0%"
,,Crianças e adolescentes,3,2,1,0,3,2,10,6,9,14,15,14,4,6,89,"9,0%"
,,Capacete,4,4,3,0,1,1,1,2,1,1,6,11,3,2,40,"4,0%"
,,Carona criança,2,0,0,0,0,0,0,0,4,1,2,0,1,0,10,"1,0%"
,,Carona mulher,1,0,1,1,0,3,1,1,0,1,2,0,0,1,12,"1,2%"
,,Carona homem,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,"0,2%"
,,Cargueira tradicional,7,2,1,1,4,3,1,6,5,3,2,4,0,1,40,"4,0%"
,,Adaptada a carga,15,12,2,1,4,3,2,1,6,5,4,13,5,1,74,"7,5%"
,,Serviço,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"0,1%"
,,Serviço APP,1,0,0,0,0,0,2,0,3,6,1,2,2,3,20,"2,0%"
,,Contramão,20,12,2,3,14,9,5,6,11,13,20,18,8,9,150,"15,2%"
,,Contramão para conversão,3,0,0,0,1,0,1,0,1,2,3,2,1,1,15,"1,5%"
,,Calçada,4,9,6,2,6,9,9,13,12,17,17,18,13,3,138,"14,0%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Bike PE,,,,,,,,,,,,,,,0,"0,0%"
,,Empurrando,4,6,4,,6,3,5,12,5,9,19,8,13,2,96,"9,7%"
,,Triciclo,,,,,,,,,,,,,,,0,"0,0%"
,,Carroça,,,,,,,,,,,,,,,0,"0,0%"
,,Elétrica,,4,,1,4,1,2,2,1,1,1,1,,,18,"1,8%"
,,Motorizada,1,,,,,,,,,,,,,,1,"0,1%"
,,Skate e outros patináveis,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,,,,,,,1,1,,,,,,,2,"0,2%"
,,Cadeirante,,,,,,,,,,,,,,,0,"0,0%"
,,Handbike,,,,,,,,,,,,,,,0,"0,0%"
,,Grupos de Pedal,,,,,,,,,,,,,,,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Máscara,,,,,,,,,,,,,,,0,"0,0%"
,,Calçada compartilhada,25,14,14,4,11,12,10,19,24,14,14,24,21,3,209,"21,1%"
,,Caronas,3,0,1,1,0,3,1,1,4,4,4,0,1,1,24,"2,4%"
,,Cargueiras,22,14,3,2,8,6,3,7,11,8,6,17,5,2,114,"11,5%"
,,Serviço,1,0,0,0,0,1,2,0,3,6,1,2,2,3,21,"2,1%"
,,Contramão,23,12,2,3,15,9,6,6,12,15,23,20,9,10,165,"16,7%"
,,,,,,,,,,,,,,,,,0,"0,0%"
