,Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
,ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Alfredo Fernandes,Casa Forte,1,1,0,0,2,2,2,3,6,4,1,2,2,6,32,"1,9%"
,Alfredo Fernandes,Vintém,13,16,15,6,12,22,9,14,17,12,32,31,13,16,228,"13,4%"
,Alfredo Fernandes,Parnamirim,1,4,2,1,2,1,4,4,6,4,7,8,11,7,62,"3,7%"
,Parnamirim,Alfredo Fernandes,1,8,2,2,1,6,3,8,8,6,6,16,9,5,81,"4,8%"
,Parnamirim,Casa Forte,27,21,14,12,3,16,23,13,13,9,27,15,13,12,218,"12,8%"
,Parnamirim,Vintém,10,9,6,11,11,11,18,17,17,11,33,8,28,12,202,"11,9%"
,Vintém,Parnamirim,9,18,15,10,6,14,17,12,18,12,9,21,20,7,188,"11,1%"
,Vintém,Alfredo Fernandes,13,14,3,8,7,13,7,13,13,8,19,25,10,5,158,"9,3%"
,Vintém,Casa Forte,4,7,5,1,6,3,10,2,5,5,5,8,4,4,69,"4,1%"
,Casa Forte,Vintém,8,4,5,4,9,10,15,15,14,9,19,10,17,12,151,"8,9%"
,Casa Forte,Parnamirim,13,26,6,13,11,14,17,13,16,12,41,41,25,13,261,"15,4%"
,Casa Forte,Alfredo Fernandes,1,1,4,0,2,4,5,3,3,3,4,4,8,6,48,"2,8%"
,,TOTAL,101,129,77,68,72,116,130,117,136,95,203,189,160,105,1698,
,,Percentual,"5,95%","7,60%","4,53%","4,00%","4,24%","6,83%","7,66%","6,89%","8,01%","5,59%","11,96%","11,13%","9,42%","6,18%","100,00%",
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos padrões,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Mulher,9,18,11,12,4,12,9,10,13,10,24,17,8,9,166,"9,8%"
,,Crianças e adolescentes,1,2,0,0,0,0,2,7,0,1,10,4,2,0,29,"1,7%"
,,Capacete,6,5,5,3,0,5,6,1,6,1,6,7,6,8,65,"3,8%"
,,Caronas,3,14,1,0,0,12,3,7,3,2,9,12,3,5,74,"4,4%"
,,Cargueiras,3,11,10,9,8,12,11,7,11,8,16,9,2,2,119,"7,0%"
,,Serviço,1,0,10,6,6,5,3,2,1,2,10,4,4,0,54,"3,2%"
,,Contramão,5,2,0,1,1,4,4,3,0,3,18,35,14,14,104,"6,1%"
,,Calçada,2,5,6,5,6,5,15,8,10,5,22,13,20,37,159,"9,4%"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dados qualitativos das observações,,,,,,,,,,,,,,,,
,,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,,Carona criança,0,11,0,0,0,10,2,7,2,2,8,8,2,1,53,"3,1%"
,,Carona mulher,3,3,1,0,0,2,1,0,0,0,0,1,1,3,15,"0,9%"
,,Carona homem,0,0,0,0,0,0,0,0,1,0,1,3,0,1,6,"0,4%"
,,Cargueira tradicional,3,11,10,9,8,12,11,7,11,8,16,9,2,2,119,"7,0%"
,,Adaptada a carga,7,4,6,7,7,8,9,4,3,3,8,10,5,4,85,"5,0%"
,,Serviço,0,0,10,6,6,5,3,2,1,2,10,4,4,0,53,"3,1%"
,,Serviço APP,1,6,6,9,26,43,69,53,60,40,73,59,65,95,605,"35,6%"
,,Contramão,5,2,0,1,1,4,4,3,0,3,18,35,14,14,104,"6,1%"
,,Contramão para conversão,1,0,13,17,14,15,14,10,0,0,10,4,32,12,142,"8,4%"
,,Bike PE,1,1,1,3,4,13,16,18,12,5,15,12,14,26,141,"8,3%"
,,Empurrando,1,2,0,0,1,1,3,1,0,1,2,10,6,3,31,"1,8%"
,,Triciclo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Carroça,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Elétrica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"0,1%"
,,Motorizada,1,0,0,3,0,1,0,4,1,0,0,2,5,5,22,"1,3%"
,,Skate e outros patináveis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"0,1%"
,,Cadeirante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Handbike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Grupos de Pedal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,,Faixa Azul,,,,,,,,,,,,,,,0,"0,0%"
,,Ciclomotor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"0,1%"
,,"Ciclofaixa (""agua fria"")",,,,,,,,,,,,,,,0,"0,0%"
,,"Ciclofaixa (""encruzilhada"")",,,,,,,,,,,,,,,0,"0,0%"
,,,,,,,,,,,,,,,,,,
,,"""Outros""",6,0,0,1,0,0,1,0,0,0,0,1,0,2,11,"0,6%"
