raw_description,canonical_description,frequency
"AVENIDA CAXANGA, SOB  AO SEMAFORO N.533","AVENIDA CAXANGA, SOB  AO SEMAFORO N.533",1
Abandonar na via objetos ou substncias.,Abandonar na via objetos ou substâncias.,27
Abandonar na via objetos ou substâncias.,Abandonar na via objetos ou substâncias.,51
Atirar do veculo objetos ou substncias.,Atirar do veículo objetos ou substâncias.,519
Atirar do veculo ou abandonar na via pblica objetos ou substncias.,Atirar do veículo ou abandonar na via pública objetos ou substâncias.,12
Atirar do veículo objetos ou substâncias.,Atirar do veículo objetos ou substâncias.,728
Atirar do veículo ou abandonar na via pública objetos ou substâncias.,Atirar do veículo ou abandonar na via pública objetos ou substâncias.,21
Avanar o sinal de parada obrigatria.,Avançar o sinal de parada obrigatória.,2444
Avanar o sinal vermelho do semforo - fiscalizao eletrnica.,Avançar o sinal vermelho do semáforo. (fiscalização eletrônica).,87048
Avanar o sinal vermelho do semforo ou de parada obrigatria.,Avançar o sinal vermelho do semáforo ou de parada obrigatória.,24954
Avanar o sinal vermelho do semforo.,Avançar o sinal vermelho do semáforo. (fiscalização eletrônica).,96447
Avançar o sinal de parada obrigatória.,Avançar o sinal de parada obrigatória.,5573
Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,Avançar o sinal vermelho do semáforo. (fiscalização eletrônica).,328576
Avançar o sinal vermelho do semáforo ou de parada obrigatória.,Avançar o sinal vermelho do semáforo ou de parada obrigatória.,50349
"Avançar o sinal vermelho do semáforo, exceto onde houver sinalização que permita a livre conversão à","Avançar o sinal vermelho do semáforo, exceto onde houver sinalização que permita a livre conversão à direita.",42115
Avançar o sinal vermelho do semáforo.,Avançar o sinal vermelho do semáforo. (fiscalização eletrônica).,123318
Bloquear a via com veculo.,Bloquear a via com veículo.,93
Bloquear a via com veículo.,Bloquear a via com veículo.,558
Condutor que se recusar a submeter a qualquer dos procedimentos previstos no artigo 277 do CTB,Condutor que se recusar a submeter a qualquer dos procedimentos previstos no artigo 277 do CTB,25
Conduzir animais nas partes externas do veculo.,Conduzir animais nas partes externas do veículo.,42
Conduzir animais nas partes externas do veículo.,Conduzir pessoas nas partes externas do veículo.,36
Conduzir carga nas partes externas do veculo.,Conduzir carga nas partes externas do veículo.,16
Conduzir carga nas partes externas do veículo.,Conduzir carga nas partes externas do veículo.,44
Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda.,Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda.,5
Conduzir ciclo sem segurar o guidom com ambas as mos.,Conduzir ciclo sem segurar o guidom com ambas as mãos.,5
Conduzir ciclo sem segurar o guidom com ambas as mãos.,Conduzir ciclo sem segurar o guidom com ambas as mãos.,18
Conduzir ciclo transportando carga incompatível com suas especificações.,Conduzir ciclo transportando carga incompatível com suas especificações.,7
Conduzir ciclo transportando crianas sem condies de cuidar de sua prpria segurana.,Conduzir ciclo transportando crianças sem condições de cuidar de sua própria segurança.,3
Conduzir ciclo transportando crianças sem condições de cuidar de sua própria segurança.,Conduzir ciclo transportando crianças sem condições de cuidar de sua própria segurança.,18
Conduzir ciclo transportando passageiro fora da garupa ou do assento especial a ele destinado.,Conduzir ciclo transportando passageiro fora da garupa ou do assento especial a ele destinado.,19
Conduzir ciclomotor em vias de trânsito rápido.,Conduzir ciclomotor em vias de trânsito rápido.,1
"Conduzir com inscrições, adesivos, legendas e símbolos de caráter publicitário pintados no pára-brisa e em toda a extensão da parte traseira do veículo.","Conduzir o veículo com inscrições, adesivos, legendas e símbolos de caráter publicitário afixados no pára-brisa e em toda a extensão da parte traseira do veículo.",8
Conduzir motoc/moton/transportando carga em desacordo c/  2 do artigo 139 - a CTB,Conduzir motoc/moton/transportando carga em desacordo c/  2 do artigo 139 - a CTB,5
Conduzir motoc/moton/transportando carga em desacordo c/ § 2º do artigo 139 - a CTB,"Conduzir motocicleta, motoneta ou ciclomotor transportando carga em desacordo com o § 2º do art. 139-A do CTB.",5
"Conduzir motocicleta, motoneta e ciclomotor com capacete de segurana sem viseira ou culos de proteo.","Conduzir motocicleta, motoneta e ciclomotor com capacete de segurança sem viseira ou óculos de proteção.",655
"Conduzir motocicleta, motoneta e ciclomotor com capacete de segurança sem viseira ou óculos de proteção.","Conduzir motocicleta, motoneta e ciclomotor com capacete de segurança sem viseira ou óculos de proteção.",15858
"Conduzir motocicleta, motoneta e ciclomotor com faris apagados.","Conduzir motocicleta, motoneta e ciclomotor com faróis apagados.",981
"Conduzir motocicleta, motoneta e ciclomotor com faróis apagados.","Conduzir motocicleta, motoneta e ciclomotor com faróis apagados.",1971
"Conduzir motocicleta, motoneta e ciclomotor rebocando outro veculo.","Conduzir motocicleta, motoneta e ciclomotor rebocando outro veículo.",5
"Conduzir motocicleta, motoneta e ciclomotor rebocando outro veículo.","Conduzir motocicleta, motoneta e ciclomotor rebocando outro veículo.",31
