violation_code,law_code,description,description_corrected
5010,"Art. 162, Inc. I","Dirigir veculo sem possuir Carteira Nacional de Habilitao, Permisso para Dirigir ou Autorizao","Dirigir sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor."
5010,"Art. 162, Inc. I","Dirigir veículo sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização","Dirigir sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor."
5029,"Art. 162, Inc. II","Dirigir veculo com Carteira Nacional de Habilitao, Permisso para Dirigir ou Autorizao para Con","Dirigir com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor cassada ou com suspensão do direito de dirigir."
5029,"Art. 162, Inc. II","Dirigir veículo com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Con","Dirigir com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor cassada ou com suspensão do direito de dirigir."
5037,"Art. 162, Inc. III",Dirigir veculo com Carteira Nacional de Habilitao de categoria diferente da do veculo.,Dirigir com Carteira Nacional de Habilitação de categoria diferente da do veículo.
5037,"Art. 162, Inc. III",Dirigir veculo com Permisso para Dirigir de categoria diferente da do veculo.,Dirigir com Permissão para Dirigir de categoria diferente da do veículo.
5037,"Art. 162, Inc. III",Dirigir veículo com Carteira Nacional de Habilitação de categoria diferente da do veículo.,Dirigir com Carteira Nacional de Habilitação de categoria diferente da do veículo.
5037,"Art. 162, Inc. III",Dirigir veículo com Permissão para Dirigir de categoria diferente da do veículo.,Dirigir com Permissão para Dirigir de categoria diferente da do veículo.
5045,"Art. 162, Inc. V",Dirigir veculo com validade da CNH/PPD vencida h mais de trinta dias.,Dirigir com Carteira Nacional de Habilitação ou Permissão para Dirigir vencida há mais de 30 (trinta) dias.
5045,"Art. 162, Inc. V",Dirigir veículo com validade da CNH/PPD vencida há mais de trinta dias.,Dirigir com Carteira Nacional de Habilitação ou Permissão para Dirigir vencida há mais de 30 (trinta) dias.
5053,"Art. 162, Inc. VI",Dirigir veculo sem usar lentes corretoras de viso.,Dirigir sem usar lentes corretoras de visão.
5053,"Art. 162, Inc. VI",Dirigir veículo sem usar lentes corretoras de visão.,Dirigir sem usar lentes corretoras de visão.
5061,"Art. 163, c/c Art. 162, Inc. I","Entregar veculo a pessoa sem possuir Carteira Nacional de Habilitao, Permisso para Dirigir ou Au","Entregar a direção do veículo a pessoa sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor."
5061,"Art. 163, c/c Art. 162, Inc. I","Entregar veículo a pessoa sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Au","Entregar a direção do veículo a pessoa sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor."
5070,"Art. 163, c/c Art. 162, Inc. II","Entregar veculo a pessoa com Carteira Nacional de Habilitao, Permisso para Dirigir ou Autoriza","Entregar a direção do veículo a pessoa com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor cassada ou com suspensão do direito de dirigir."
5070,"Art. 163, c/c Art. 162, Inc. II","Entregar veículo a pessoa com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorizaçã","Entregar a direção do veículo a pessoa com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor cassada ou com suspensão do direito de dirigir."
5088,"Art. 163, c/c Art. 162, Inc. III",Entregar veculo a pessoa com Carteira Nacional de Habilitao de categoria diferente da do veculo,Entregar a direção do veículo a pessoa com Carteira Nacional de Habilitação de categoria diferente da do veículo.
5088,"Art. 163, c/c Art. 162, Inc. III",Entregar veículo a pessoa com Carteira Nacional de Habilitação de categoria diferente da do veículo,Entregar a direção do veículo a pessoa com Carteira Nacional de Habilitação de categoria diferente da do veículo.
5096,"Art. 163, c/c Art. 162, Inc. V",Entregar veculo a pessoa com CNH/PPD vencida h mais de trinta dias.,Entregar a direção do veículo a pessoa com Carteira Nacional de Habilitação ou Permissão para Dirigir vencida há mais de 30 (trinta) dias.
