our_code,cttu_code,law_code,description,category,total
,"7455","Art. 218; Inc. I","Transitar em velocidade superior mxima permitida para o local em at 20% (vinte por cento).","Segurança viária",456493
,"7455","Art. 218; Inc. I","Transitar em velocidade superior à máxima permitida para o local em até 20% (vinte por cento).","Segurança viária",259565
,"5550","Art. 181; Inc. XVIII","Estacionar o veculo em locais e horrios proibidos especificamente pela sinalizao (Placa - Proibi","Estacionamento/uso da via",162893
,"5541","Art. 181; Inc. XVII","Estacionar o veculo em desacordo com as condies regulamentadas - estacionamento rotativo.","Estacionamento/uso da via",142274
,"7633","Art. 252; nico","Dirigir o veculo segurando o telefone celular.","Segurança viária",122111
,"5541","Art. 181; Inc. XVII","Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.","Estacionamento/uso da via",100279
,"7587","Art. 184; Inc. III","Transitar na faixa ou via exclusiva regulam. p/ transp. públ. coletivo passag.","Transporte coletivo",94955
,"5452","Art. 181; Inc. VIII","Estacionar o veculo no passeio.","Pedestres",69744
,"6050","Art. 208","Avanar o sinal vermelho do semforo.","Segurança viária",68615
,"7463","Art. 218; Inc. II","Transitar em velocidade superior mxima permitida para o local em mais de 20% (vinte por cento) at","Segurança viária",55634
,"5550","Art. 181; Inc. XVIII","Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (Placa - Proibi","Estacionamento/uso da via",50638
,"7633","Art. 252; §único","Dirigir o veículo segurando o telefone celular.","Segurança viária",46322
,"7633","Art. 252; nico","Dirigir o veculo manuseando o telefone celular.","Segurança viária",42185
,"5746","Art. 187; Inc. I","Transitar em locais e horários não permitidos pela regulamentação estabelecida pela autoridade.","Fluidez do trânsito",39871
,"6050","Art. 208","Avançar o sinal vermelho do semáforo - fiscalização eletrônica.","Segurança viária",37609
,"6050","Art. 208","Avanar o sinal vermelho do semforo - fiscalizao eletrnica.","Segurança viária",37161
,"7587","Art. 184; Inc. III","Transitar na faixa ou via exclusiva regulam. p/ transp. pbl. coletivo passag.","Transporte coletivo",34860
,"7340","Art. 252; Inc. IV","Dirigir o veculo usando calado que no se firme nos ps ou que comprometa a utilizao dos pedais.","Segurança viária",30241
,"7463","Art. 218; Inc. II","Transitar em velocidade superior à máxima permitida para o local em mais de 20% (vinte por cento) at","Segurança viária",29886
,"5207","Art. 169","Dirigir sem ateno ou sem os cuidados indispensveis Segurana.","Segurança viária",29632
,"5746","Art. 187; Inc. I","Transitar em locais e horrios no permitidos pela regulamentao estabelecida pela autoridade.","Fluidez do trânsito",29108
,"6041","Art. 207","Executar operao de converso esquerda em locais proibidos pela sinalizao.","Segurança viária",26050
,"5452","Art. 181; Inc. VIII","Estacionar o veículo no passeio.","Pedestres",22835
,"7366","Art. 252; Inc. VI","Dirigir o veculo utilizando-se de telefone celular.","Segurança viária",21401
,"5568","Art. 181; Inc. XIX","Estacionar o veculo em locais e horrios de estacionamento e parada proibidos pela sinalizao (pla","Estacionamento/uso da via",19093
,"5541","Art. 181; Inc. XVII","Estacionar o veculo em desacordo com as condies regulamentadas - ponto ou vaga de txi.","Estacionamento/uso da via",16634
,"6050","Art. 208","Avançar o sinal vermelho do semáforo, exceto onde houver sinalização que permita a livre conversão à","Segurança viária",16042
,"7340","Art. 252; Inc. IV","Dirigir o veículo usando calçado que não se firme nos pés ou que comprometa a utilização dos pedais.","Segurança viária",15929
,"6041","Art. 207","Executar operação de conversão à esquerda em locais proibidos pela sinalização.","Segurança viária",10824
,"5185","Art. 167","Deixar o passageiro de usar o cinto de segurana, conforme o Art. 65, do CTB.","Segurança viária",10442
,"7633","Art. 252; §único","Dirigir o veículo manuseando o telefone celular.","Segurança viária",10405
,"5673","Art. 183","Parar o veículo sobre a faixa de pedestre na mudança de sinal luminos (fiscalização eletrônica).","Pedestres",9506
,"5541","Art. 181; Inc. XVII","Estacionar o veculo em desacordo com as condies regulamentadas - vaga de carga / descarga.","Estacionamento/uso da via",9075
,"5541","Art. 181; Inc. XVII","Estacionar o veículo em desacordo com as condições regulamentadas - ponto ou vaga de táxi.","Estacionamento/uso da via",8739
,"5185","Art. 167","Deixar o condutor de usar o cinto de segurana, conforme o Art. 65, do CTB.","Segurança viária",7941
,"5738","Art. 186; Inc. II","Transitar pela contramo de direo em vias com sinalizao de regulamentao de sentido nico.","Segurança viária",7766
,"5541","Art. 181; Inc. XVII","Estacionar o veculo em desacordo com as condies regulamentadas especificamente pela sinalizao.","Estacionamento/uso da via",7424
,"5487","Art. 181; Inc. XI","Estacionar o veculo ao lado de outro veculo em fila dupla.","Fluidez do trânsito",7303
,"5525","Art. 181; Inc. XV","Estacionar o veculo na contramo de direo.","Estacionamento/uso da via",7116
,"5843","Art. 196","Deixar de indicar com antecedncia, mediante gesto regulamentar de brao ou luz indicadora de dire","Segurança viária",6816
,"5630","Art. 182; Inc. VII","Parar o veculo na rea de cruzamento de vias, prejudicando a circulao de veculos e pedestres.","Fluidez do trânsito",6761
,"5673","Art. 183","Parar o veculo sobre a faixa de pedestre na mudana de sinal luminoso.","Pedestres",6710
,"5568","Art. 181; Inc. XIX","Estacionar o veículo em locais e horários de estacionamento e parada proibidos pela sinalização (pla","Estacionamento/uso da via",5931
,"6041","Art. 207","Executar operao de converso direita em locais proibidos pela sinalizao.","Segurança viária",5898
,"5460","Art. 181; Inc. IX","Estacionar o veculo onde houver guia de calada (meio-fio) rebaixada, destinada entrada ou sada","Estacionamento/uso da via",5539
,"6599","Art. 230; Inc. V","Conduzir o veculo registrado que no esteja devidamente licenciado.","Administrativas/documentais",5345
,"5541","Art. 181; Inc. XVII","Estacionar o veículo em desacordo com as condições regulamentadas especificamente pela sinalização.","Estacionamento/uso da via",5257
,"5851","Art. 197","Deixar de deslocar, com antecedncia, o veculo para a faixa mais direita, quando for manobrar.","Segurança viária",5202
,"7366","Art. 252; Inc. VI","Dirigir o veículo utilizando-se de telefone celular.","Segurança viária",5176
,"6050","Art. 208","Avançar o sinal vermelho do semáforo.","Segurança viária",5135
,"7625","ARt. 181; inc. XX","Estacionar o veculo nas vagas reservadas aos idosos, sem credencial que comprove tal condio.","Pedestres",5059
,"5851","Art. 197","Deixar de deslocar, com antecedncia, o veculo para a faixa mais esquerda, quando for manobrar.","Segurança viária",5014
,"6599","Art. 230; Inc. V","Conduzir o veículo registrado que não esteja devidamente licenciado.","Administrativas/documentais",4795
,"6041","Art. 207","Executar operação de conversão à direita em locais proibidos pela sinalização.","Segurança viária",4757
,"7234","Art. 250; Inc. I; alnea a","Quando o veculo estiver em movimento deixar de manter acesa a luz baixa durante a noite.","Segurança viária",4552
,"7358","Art. 252; Inc. V","Dirigir o veculo com apenas uma das mos, exceto quando permitido pelo CTB.","Segurança viária",4400
,"5380","Art. 181; Inc. I","Estacionar o veculo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transvers","Estacionamento/uso da via",4396
,"5479","Art. 181; Inc. X","Estacionar o veculo impedindo a movimentao de outro veculo.","Estacionamento/uso da via",4180
,"5622","Art. 182; Inc. VI","Parar o veculo sobre faixa destinada a pedestres.","Pedestres",3855
,"7471","Art. 218; Inc. III","Transitar em velocidade superior mxima permitida para o local em mais de 50%.","Segurança viária",3523
,"5487","Art. 181; Inc. XI","Estacionar o veículo ao lado de outro veículo em fila dupla.","Fluidez do trânsito",3490
,"5738","Art. 186; Inc. II","Transitar pela contramão de direção em vias com sinalização de regulamentação de sentido único.","Segurança viária",3460
,"5010","Art. 162; Inc. I","Dirigir veculo sem possuir Carteira Nacional de Habilitao, Permisso para Dirigir ou Autorizao","Administrativas/documentais",3106
,"5630","Art. 182; Inc. VII","Parar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos e pedestres.","Fluidez do trânsito",3015
,"5991","Art. 206; Inc. I","Executar operao de retorno em locais proibidos pela sinalizao.","Segurança viária",2913
,"7625","Art. 181; inc. XX","Estacionar o veculo nas vagas reservadas s pessoas com deficincia, sem credencial que comprove ta","Pedestres",2776
,"5673","Art. 183","Parar o veculo sobre a faixa de pedestre na mudana de sinal luminos (fiscalizao eletrnica).","Pedestres",2736
,"5185","Art. 167","Deixar o condutor de usar o cinto de segurança, conforme o Art. 65, do CTB.","Segurança viária",2724
,"5452","Art. 181; Inc. VIII","Estacionar o veculo sobre ciclovia ou ciclofaixa.","Ciclistas",2658
,"5720","Art. 186; Inc. I","Transitar pela contramo de direo em vias com duplo sentido de circulao.","Segurança viária",2535
,"5185","Art. 167","Deixar o passageiro de usar o cinto de segurança, conforme o Art. 65, do CTB.","Segurança viária",2531
,"5835","Art. 195","Desobedecer s ordens emanadas da autoridade competente de trnsito ou de seus agentes.","Administrativas/documentais",2529
,"5703","Art. 185; Inc. I","Deixar de conservar o veculo na faixa a ele destinada pela sinalizao de regulamentao, exceto em","Fluidez do trânsito",2493
,"7030","Art. 244; Inc. I","Conduzir motocicleta, motoneta e ciclomotor sem usar capacete de segurana.","Segurança viária",2488
,"5452","Art. 181; Inc. VIII","Estacionar o veculo sobre faixa destinada a pedestre.","Pedestres",2438
,"5622","Art. 182; Inc. VI","Parar o veculo no passeio.","Pedestres",2394
,"7684","Art. 244; X","Conduzir motocicleta, motoneta ou ciclomotor com viseira ou óculos de proteção em desacordo com a re","Segurança viária",2257
,"7315","Art. 252; Inc. I","Dirigir o veculo com o brao do lado de fora.","Segurança viária",2252
,"5673","Art. 183","Parar o veículo sobre a faixa de pedestre na mudança de sinal luminoso.","Pedestres",2158
,"5851","Art. 197","Deixar de deslocar, com antecedência, o veículo para a faixa mais à esquerda, quando for manobrar.","Segurança viária",2119
,"5592","Art. 182; Inc. III","Parar o veculo afastado da guia da calada (meio-fio) a mais de um metro.","Estacionamento/uso da via",2080
,"6602","Art. 230; Inc. VI","Conduzir o veculo com qualquer uma das placas sem condies de legibilidade e visibilidade.","Administrativas/documentais",2070
,"5452","Art. 181; Inc. VIII","Estacionar o veículo sobre faixa destinada a pedestre.","Pedestres",2050
,"5509","Art. 181; Inc. XIII","Estacionar veculo onde houver sinalizao horizontal delimitadora de ponto de embarque e desembarqu","Transporte coletivo",2032
,"5410","Art. 181; Inc. IV","Estacionar o veculo em desacordo com as posies estabelecidas no Cdigo de Trnsito Brasileiro.","Estacionamento/uso da via",2001
,"5207","Art. 169","Dirigir sem atenção ou sem os cuidados indispensáveis à Segurança.","Segurança viária",1949
,"5010","Art. 162; Inc. I","Dirigir veículo sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização","Administrativas/documentais",1871
,"5665","Art. 182; Inc. X","Parar o veculo em local e horrio proibidos especificamente pela sinalizao (placa - Proibido Para","Estacionamento/uso da via",1863
,"7048","Art. 244; Inc. II","Conduzir motocicleta, motoneta e ciclomotor transportando passageiro sem o capacete de segurana.","Segurança viária",1847
,"6050","Art. 208","Avanar o sinal de parada obrigatria.","Segurança viária",1834
,"5525","Art. 181; Inc. XV","Estacionar o veículo na contramão de direção.","Estacionamento/uso da via",1781
,"7471","Art. 218; Inc. III","Transitar em velocidade superior à máxima permitida para o local em mais de 50%.","Segurança viária",1774
,"7625","ARt. 181; inc. XX","Estacionar o veículo nas vagas reservadas aos idosos, sem credencial que comprove tal condição.","Pedestres",1747
,"5479","Art. 181; Inc. X","Estacionar o veículo impedindo a movimentação de outro veículo.","Estacionamento/uso da via",1734
,"5460","Art. 181; Inc. IX","Estacionar o veículo onde houver guia de calçada (meio-fio) rebaixada, destinada à entrada ou saída","Estacionamento/uso da via",1728
,"5452","Art. 181; Inc. VIII","Estacionar o veculo nas ilhas ou refgios.","Estacionamento/uso da via",1676
,"5843","Art. 196","Deixar de indicar com antecedência, mediante gesto regulamentar de braço ou luz indicadora de direçã","Segurança viária",1589
,"6602","Art. 230; Inc. VI","Conduzir o veículo com qualquer uma das placas sem condições de legibilidade e visibilidade.","Administrativas/documentais",1564
,"5541","Art. 181; Inc. XVII","Estacionar o veículo em desacordo com as condições regulamentadas - vaga de carga / descarga.","Estacionamento/uso da via",1555
,"6491","Art. 227; Inc. II","Usar buzina prolongada e sucessivamente a qualquer pretexto.","Outras/não classificadas",1495
,"5380","Art. 181; Inc. I","Estacionar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transvers","Estacionamento/uso da via",1478
,"5452","Art. 181; Inc. VIII","Estacionar o veículo sobre ciclovia ou ciclofaixa.","Ciclistas",1430
,"6050","Art. 208","Avançar o sinal de parada obrigatória.","Segurança viária",1423
,"5819","Art. 193","Transitar com veculo em caladas, passeios.","Pedestres",1355
,"5622","Art. 182; Inc. VI","Parar o veículo no passeio.","Pedestres",1290
,"5452","Art. 181; Inc. VIII","Estacionar o veculo ao lado ou sobre marcas de canalizao.","Pedestres",1252
,"5819","Art. 193","Transitar com veculo em canteiros centrais divisores de pista de rolamento.","Pedestres",1251
,"7285","Art. 250; Inc. III","Quando o veculo estiver em movimento deixar de manter a placa traseira iluminada, noite.","Administrativas/documentais",1203
