"nome";"endereco";"latitude";"longitude"
"1";"Estrada Velha de Água Fria x Prof. José dos Anjos";"-8.026904";"-34.898025"
"2";"Av. Dois Rios x Rua Pintor Agenor de Albuquerque";"-8.110502";"-34.937033"
"3";"Av. Norte Miguel Arraes de Alencar - semáforo 043";"-8.038553";"-34.892010"
"4";"Av. Gov. Agamenon Magalhães - rua Leopoldo Lins - sentido Olinda";"-8.048821";"-34.892666"
"5";"Av. Pernambuco (Próximo ao COMPAZ Ibura)";"-8.118650";"-34.946304"
"6";"Av. Vereador Otacílio de Azevedo x rua Nova Descoberta";"-8.0007381";"-34.922188"
"7";"Av. São Paulo - Terminal de Três Carneiros";"-8.1244433";"-34.957322"
"8";"Rua Expedicionário Francisco Vitoriano";"-8.1349571";"-34.9509997"
"9";"Av. Norte Miguel Arraes de Alencar x Av. Prof. José dos Anjos";"-8.026165";"-34.9056661"
"10";"Rua do Acre";"-8.0785956";"-34.9068938"
"11";"Av. Recife - próximo ao semáforo 059";"-8.094263";"-34.9289455"
"12";"Rua Córrego do Bartolomeu x Rua Pe. Oliveira x Rua Córrego do Euclides";"-8.0190682";"-34.9107999"
"13";"Rua Córrego do Euclides x rua Córrego do Ouro";"-8.0168375";"-34.9136694"
"14";"Rua pe. Lemos x Rua Pedro Alain";"-8.0233682";"-34.9184958"
"15";"Estrada do Arraial x Rua Pe. Lemos";"-8.0267959";"-34.9177301"
"16";"Rua Vasco da Gama x Rua Frederico Ozanan (córrego do Botijão)";"-8.014999";"-34.920045"
"17";"Rua Córrego da Areia - em frente a escola municipal Prof. Moacyr de Albuquerque";"-8.0014825";"-34.9252453"
"18";"Rua amélia - próximo ao Nº 327";"-8.045197";"-34.898311"
"19";"Praça da Convenção (Beberibe)";"-8.0028093";"-34.8978965"
"20";"Av. Gov. Agamenon Magalhães x Rua Odorico Mendes";"-8.0391884";"-34.8782911"
"21";"Praça Carlos Pinto - Próximo ao Shopping Tacaruna";"-8.0398646";"-34.8720509"
"22";"Rua Maria Irene x Praça do Jordão";"-8.137086";"-34.9369584"
"23";"Av. Dois Rios - próximo ao semáforo 475";"-8.1152129";"-34.9402063"
"24";"Av. Jean Emile Favre - em frente à FBV";"-8.1077524";"-34.9157401"
"25";"Av. Gal. San Martin (rotatória)";"-8.0707257";"-34.9286789"
"26";"Av. Beberibe - defronte a rua João Uzeda Luna";"-8.0195036";"-34.8944313"
"27";"Av. Caxangá x Rua São Mateus";"-8.0417544";"-34.9365989"
"28";"Av. Dantas Barreto x Av. Nossa Senhora do Carmo";"-8.0660326";"-34.8790238"
"29";"Av. João de Barros x Rua Dr. Carlos Chagas";"-8.0465573";"-34.8898872"
"30";"Av. Conselheiro Rosa e Silva x Rua da Hora";"-8.049034";"-34.896358"
"31";"Entrada Complexo da Macaxeira - próximo ao Terminal";"-8.0095453";"-34.9362528"
"32";"Av. Norte x Rua Cônego Barata";"-8.0296234";"-34.9004992"
"33";"Rua São Miguel x Rua Santos Araújo";"-8.0803312";"-34.9094937"
"34";"Av. Maurício de Nassau x Rua Pereira Coutinho FIlho";"-8.0379205";"-34.9323187"
"35";"Rua Dr. José Mariano x Rua dos Coelhos";"-8.0662630";"-34.8894791"
"36";"Praça da Convenção - Beberibe";"-8.0023089";"-34.8971748"
"37";"Av. Eng. Domingos Ferreira x Rua Antônio Falcão";"-8.1157830";"-34.8955276"
"38";"Av. Rio Branco x Rua Dona Maria César";"-8.0628170";"-34.8724669"
"39";"RUA DO FUTURO x RUA DR. MALAQUIAS";"-8.0387717";"-34.9017792"
"40";"RUA JOAO FERNANDES VIEIRA - EM FRENTE EDF. STUDIO PARK";"-8.0523293";"-34.8925038"
"41";"AV MAURICIO DE NASSAU  x RUA DR. JOÃO LACERDA";"-8.0454880";"-34.9218713"
"42";"Av. Montevideu";"-8.0509299";"-34.8936456"
"43";"Av. General San Martin x Rua Gomes Taborda";"-8.0554624";"-34.9239716"
"44";"Av. Dom Helder Câmara";"-8.1073759";"-34.9297397"
"45";"RUA PROFESSOR JOAO MEDEIROS x RUA PADRE CARAPUCEIRO";"-8.1174801";"-34.9009417"
"46";"AV. GENERAL MAC ARTHUR x AV. SUL GOV. CID SAMPAIO (ESTAÇÃO ANTONIO FALÇÃO)";"-8.1094247";"-34.9092728"
"47";"RUA LONDRINA x RUA SANTOS ARAUJO";"-8.0791900";"-34.9094740"
"48";"RUA JOSE DE ALENCAR x RUA DO GIRIQUITI";"-8.0599569";"-34.8880127"
"49";"RUA FREI CASSIMIRO x RUA TREZE DE MAIO";"-8.0470136";"-34.8798278"
"50";"Rua da Aurora x Rua Velha";"-8.0648238";"-34.8850035"
"51";"Av. Caxangá x Rua General Polidoro";"-8.036926";"-34.94550"
