law_code,canonical_description,category,total_rows
ART. 253-A,"Usar veículo para, deliberadamente, perturbar a circulação na via sem autorização do órgão ou entidade de trânsito com circunscrição sobre ela.",Fluidez do trânsito,1
ART. 253-A,"Usar veículo para, deliberadamente, perturbar circulação na via sem autorização do órgão.",Fluidez do trânsito,3
"ARt. 181, inc. XX","Estacionar o veículo nas vagas reservadas aos idosos, sem credencial que comprove tal condição.",Pedestres,13811
"Art. 162, Inc. I",Dirigir veículo sem possuir CNH ou Permissão para Dirigir.,Administrativas/documentais,3500
"Art. 162, Inc. I","Dirigir veículo sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor",Administrativas/documentais,10626
"Art. 162, Inc. II","Dirigir com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor cassada ou com suspensão do direito de dirigir.",Administrativas/documentais,467
"Art. 162, Inc. II","Dirigir veculo com Carteira Nacional de Habilitao, Permisso para Dirigir ou Autorizao para Conduzir Ciclomotor com suspenso do direito de dirigir.",Administrativas/documentais,6
"Art. 162, Inc. II",Dirigir veiculo com Carteira Nacional de Habilitação ou Permissao para Dirigir cassada ou com suspensão do direito de dirigir.,Administrativas/documentais,20
"Art. 162, Inc. II",Dirigir veículo com CNH ou PPD cassada.,Administrativas/documentais,19
"Art. 162, Inc. II",Dirigir veículo com CNH ou PPD com suspensão do direito de dirigir.,Administrativas/documentais,30
"Art. 162, Inc. III",Dirigir com Carteira Nacional de Habilitação de categoria diferente da do veículo.,Administrativas/documentais,527
"Art. 162, Inc. III",Dirigir com Permissão para Dirigir de categoria diferente da do veículo.,Administrativas/documentais,11
"Art. 162, Inc. III",Dirigir veiculo com C.N.H. ou Permissao para Dirigir de categoria diferente da do veiculo que esteja conduzindo.,Administrativas/documentais,14
"Art. 162, Inc. III",Dirigir veículo com CNH de categoria diferente da do veículo que esteja conduzindo.,Administrativas/documentais,64
"Art. 162, Inc. III",Dirigir veículo com CNH de categoria diferente da do veículo.,Administrativas/documentais,22
"Art. 162, Inc. V",Dirigir com Carteira Nacional de Habilitação ou Permissão para Dirigir vencida há mais de 30 (trinta) dias.,Administrativas/documentais,3579
"Art. 162, Inc. V",Dirigir veículo com validade da CNH vencida há mais de trinta dias.,Administrativas/documentais,1193
"Art. 162, Inc. VI",Dirigir sem usar lentes corretoras de visão.,Segurança viária,331
"Art. 162, Inc. VI","Dirigir veiculo sem usar lentes corretoras de visão, aparelho auxiliar de audição, de prótese física ou as adaptações do veiculo impostas por ocasião da concessão ou da renovação da licenca para conduzir.",Segurança viária,51
"Art. 162, Inc. VI",Dirigir veículo sem adaptações impostas na concessão/renovação da licença para conduzir.,Segurança viária,3
"Art. 162, Inc. VI",Dirigir veículo sem usar aparelho auxiliar de audição.,Segurança viária,6
"Art. 162, Inc. VI",Dirigir veículo sem usar lentes corretoras de visão imposta por ocasião da concessão ou da renovação da licença para conduzir.,Segurança viária,132
"Art. 162, inc. VII",Dirigir veículo sem possuir cursos específicos obrigatórios.,Administrativas/documentais,1
"Art. 163, c/c Art. 162, Inc. I","Entregar a direção do veículo a pessoa sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor.",Administrativas/documentais,214
