id,osm_id,osm_type,coordinates,name,description,amenity,bicycle_parking,capacity,access,covered,fee,supervised,lit,operator,operator_type,building,level,surface,addr_city,addr_street,addr_housenumber,addr_suburb,addr_postcode,opening_hours,payment_none,ref,source,source_date,wikidata,wikipedia,created_at,updated_at
1,relation/7894456,relation,POINT(-51.1999541 -30.0266244),Parque Moinhos de Vento,,bicycle_parking,stands,,yes,,,,,,,,,gravel,,,,,,,,,,,Q6894667,pt:Parque Moinhos de Vento,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
2,relation/8440034,relation,POINT(-51.2406779 -30.0339167),,Paraciclos da Braskem,bicycle_parking,stands,10,customers,yes,no,yes,yes,Usina do Gasômetro,,,,,,,,,,Tu-Fr 09:00-21:00; Sa-Su 10:00-21:00,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
3,relation/12140313,relation,POINT(-68.7460645 -11.0130501),,,bicycle_parking,stands,15,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
4,relation/12140314,relation,POINT(-68.7460231 -11.0127751),,,bicycle_parking,stands,15,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
5,relation/12463578,relation,POINT(-48.1071819 -15.8305624),,,bicycle_parking,stands,100,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
6,way/27625194,way,POINT(-46.7606908 -1.049801),,,bicycle_parking,,,permissive,yes,,,,Universidade Federal do Pará,,,,paving_stones,,,,,,,,,survey,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
7,way/119392588,way,POINT(-49.3102007 -16.7103135),Terminal Bandeiras,Terminal_de_ônibus,bus_station,yes,,,,,,,Redemob Consórcio,,,,,Goiânia,Avenida dos Alpes,,Jardim Europa,,,,,http://www.rmtcgoiania.com.br/terminais,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
8,way/131439919,way,POINT(-43.1312451 -22.904834),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
9,way/138566122,way,POINT(-46.5033496 -23.4859843),Bicicletário Estação USP Leste,,bicycle_parking,building,270,yes,yes,no,yes,,CPTM,,yes,,,,,,,,Mo-Su 04:00-23:59,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
10,way/163500497,way,POINT(-46.6919467 -23.722394),Bicicletário Estação Primavera - Interlagos,,bicycle_parking,building,226,yes,yes,no,yes,,CPTM,,yes,,,,,,,,Mo-Su 04:00-23:59,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
11,way/187031254,way,POINT(-43.2664153 -22.8436858),Fórum Regional da Leopoldina,,courthouse,wall_hoops,12,,no,,,,,,yes,,,Rio de Janeiro,Rua Filomena Nunes,1071,Olaria,21021-380,Mo-Fr 08:00-18:00,,,Bing,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
12,way/187473984,way,POINT(-52.6013107 -27.1387492),,,bicycle_parking,no,,private,,,,,,,,,concrete,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
13,way/202233343,way,POINT(-50.4425921 -21.1802737),,,bicycle_parking,wall_loops,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
14,way/202665256,way,POINT(-46.644756 -23.4828219),Santana Parque Shopping,,bicycle_parking,rack,,,yes,,yes,yes,,,retail,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
15,node/208537789,node,POINT(-43.1760821 -22.9566949),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,survey,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
16,way/241778154,way,POINT(-48.4704045 -27.6028692),,,bicycle_parking,building,,,yes,,,,,,yes,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
17,way/257316920,way,POINT(-46.5818748 -23.6329186),,,bicycle_parking,stands,15,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
18,way/261280236,way,POINT(-48.1911305 -21.8077251),,,bicycle_parking,wall_loops,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
19,way/264549826,way,POINT(-47.9051547 -22.0224229),,,bicycle_parking,shed,,,yes,,,,,,roof,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
20,way/264549835,way,POINT(-47.9051608 -22.0223775),,,bicycle_parking,shed,,,yes,,,,,,roof,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
21,way/264985281,way,POINT(-48.8545196 -26.2527033),,,bicycle_parking,stands,15,,,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
22,way/264985283,way,POINT(-48.8545232 -26.2526247),,,bicycle_parking,stands,18,,,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
23,way/264985285,way,POINT(-48.8546738 -26.2535313),,,bicycle_parking,stands,21,,,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
24,way/273209192,way,POINT(-41.6181385 -20.1511054),,,bicycle_parking,,20,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
25,way/280517267,way,POINT(-53.7169492 -29.7137967),,,bicycle_parking,stands,40,,no,,,,,,,,paving_stones,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
