type,geometry.type,geometry.coordinates,properties.id,properties.status_type,properties.status_value,properties.length,properties.city_id,properties.osm_id,properties.name,properties.pdc_typology,properties.cycleway_typology
Feature,LineString,"-34.9099,-7.82659,-34.90978,-7.82714,-34.90967,-7.82766,-34.90958,-7.82809,-34.90954,-7.82831,-34.90953,-7.82849",1,pdc_nao_realizado,0.2155060153630435,0.2155060153630435,2606804,way/128412172,Avenida Mário Melo,Ciclovia,none
Feature,LineString,"-34.8954,-7.77329,-34.89526,-7.77331,-34.89509,-7.77334,-34.89487,-7.77336,-34.89462,-7.77336",2,pdc_nao_realizado,0.08644725283308578,0.08644725283308578,2607752,way/147176468,Avenida João Pessoa,Ciclovia,none
Feature,LineString,"-34.90115,-7.78051,-34.90081,-7.77952,-34.90067,-7.77916,-34.9004,-7.77839,-34.90011,-7.77755,-34.9,-7.77724,-34.8996,-7.77612,-34.89959,-7.77608,-34.89948,-7.77575,-34.89946,-7.7757",3,pdc_nao_realizado,0.566735393024224,0.566735393024224,2607752,way/185930103,Rua Frei Serafim,Ciclovia,none
Feature,LineString,"-34.88229,-7.7737,-34.88105,-7.77364,-34.88086,-7.77362",4,pdc_nao_realizado,0.15714248957717458,0.15714248957717458,2607604,way/244966893,PE-035,Ciclovia,none
Feature,LineString,"-34.85858,-7.76461,-34.85845,-7.76473,-34.85833,-7.76484,-34.85817,-7.76497,-34.85772,-7.76531,-34.85753,-7.76545,-34.85741,-7.76556,-34.85734,-7.76563,-34.85727,-7.76572,-34.85717,-7.76588,-34.85705,-7.76609,-34.85693,-7.76626,-34.85679,-7.76641,-34.85665,-7.76655,-34.85653,-7.76663,-34.85608,-7.76689,-34.85575,-7.76706,-34.8554,-7.76725,-34.85501,-7.76744,-34.85471,-7.76756,-34.85436,-7.76769,-34.854,-7.7678,-34.85383,-7.76786,-34.8537,-7.76794,-34.85351,-7.76807,-34.85321,-7.76833,-34.85281,-7.76872,-34.85245,-7.7691,-34.85198,-7.76959,-34.85175,-7.76982,-34.85152,-7.77,-34.85129,-7.77013,-34.85098,-7.7703,-34.85064,-7.77046,-34.85042,-7.77057,-34.85026,-7.77067,-34.85016,-7.77074,-34.8501,-7.77078,-34.84996,-7.77091,-34.84974,-7.7711,-34.84965,-7.77114,-34.84953,-7.77118,-34.84941,-7.77119,-34.84931,-7.7712,-34.84889,-7.77115,-34.84878,-7.77113,-34.84852,-7.77108,-34.84843,-7.77106,-34.84819,-7.77098,-34.84803,-7.7709,-34.84764,-7.77068,-34.8475,-7.7706,-34.84737,-7.77054,-34.84722,-7.77049,-34.84704,-7.77045,-34.84677,-7.77037,-34.84664,-7.77032,-34.84635,-7.77019,-34.84565,-7.76989,-34.84538,-7.76978,-34.8452,-7.76972,-34.84507,-7.76969,-34.84498,-7.76968,-34.8449,-7.76968,-34.84475,-7.7697,-34.8446,-7.76976,-34.84447,-7.76982,-34.84439,-7.76988,-34.84426,-7.76999,-34.84381,-7.77036,-34.84353,-7.77055,-34.84336,-7.77064,-34.84323,-7.7707,-34.84307,-7.77075,-34.84295,-7.77077,-34.8428,-7.77078,-34.84262,-7.77076,-34.84241,-7.77072,-34.84224,-7.77065,-34.84204,-7.77054,-34.84187,-7.77039,-34.84183,-7.77036,-34.84181,-7.77034,-34.84168,-7.77025,-34.84153,-7.77017,-34.84124,-7.77004,-34.84106,-7.76997,-34.84098,-7.76993,-34.8408,-7.76981,-34.84059,-7.76965,-34.84049,-7.76956,-34.84039,-7.76948,-34.84029,-7.76943,-34.84013,-7.76936,-34.83977,-7.76923,-34.83867,-7.7688,-34.8377,-7.76842,-34.83757,-7.76837,-34.83745,-7.76832,-34.83729,-7.76828,-34.83708,-7.76824,-34.83692,-7.76822,-34.83654,-7.7682",5,pdc_nao_realizado,2.824274019587135,2.824274019587135,2607604,way/244966894,Avenida Senador Paulo Pessoa Guerra,Ciclovia,none
Feature,LineString,"-34.91132,-7.81936,-34.91126,-7.81745,-34.91125,-7.81725,-34.91122,-7.81622,-34.91121,-7.81591,-34.91116,-7.81564,-34.91109,-7.81535,-34.91038,-7.81392,-34.91021,-7.81369,-34.91001,-7.81349,-34.90936,-7.8131,-34.90913,-7.81292,-34.90899,-7.81272,-34.90854,-7.81202,-34.90827,-7.81138,-34.90809,-7.81062,-34.90806,-7.81049,-34.90792,-7.80966,-34.90793,-7.80936,-34.90801,-7.80914,-34.90817,-7.80894,-34.9082,-7.8089,-34.90829,-7.80877,-34.9085,-7.80849,-34.90864,-7.80818,-34.90923,-7.80673,-34.90946,-7.80608,-34.90948,-7.806",6,pdc_nao_realizado,1.641220521808166,1.641220521808166,2606804,way/306781401,Avenida Mário Melo,Ciclovia,none
Feature,LineString,"-34.9063,-7.78751,-34.90624,-7.78737,-34.90619,-7.78729,-34.90607,-7.78717,-34.906,-7.78712,-34.90581,-7.78702",7,pdc_nao_realizado,0.07891171465223502,0.07891171465223502,2607752,way/400067614,PE-035,Ciclovia,none
Feature,LineString,"-34.89593,-7.77336,-34.89584,-7.77334,-34.8954,-7.77329",8,pdc_nao_realizado,0.05941230327978588,0.05941230327978588,2607752,way/456679901,,Ciclovia,none
Feature,LineString,"-34.89115,-7.7741,-34.89083,-7.77409,-34.88776,-7.77393,-34.88758,-7.77393",9,pdc_nao_realizado,0.39371974883099736,0.39371974883099736,2607752,way/538766191,Ponte Presidente Vargas,Ciclovia,none
Feature,LineString,"-34.88742,-7.77392,-34.88659,-7.7739,-34.88566,-7.77386,-34.88358,-7.77377,-34.88229,-7.7737",10,pdc_nao_realizado,0.5662072674717903,0.5662072674717903,2607604,way/561829011,PE-035,Ciclovia,none
