id,name,capacity,covered,access,operator,bicycle_parking
1,Parque Moinhos de Vento,,,yes,,stands
2,,10,yes,customers,Usina do Gasômetro,stands
3,,15,,,,stands
4,,15,,,,stands
5,,100,,,,stands
6,,,yes,permissive,Universidade Federal do Pará,
7,Terminal Bandeiras,,,,Redemob Consórcio,yes
8,,,,,,
9,Bicicletário Estação USP Leste,270,yes,yes,CPTM,building
10,Bicicletário Estação Primavera - Interlagos,226,yes,yes,CPTM,building
11,Fórum Regional da Leopoldina,12,no,,,wall_hoops
12,,,,private,,no
13,,,,,,wall_loops
14,Santana Parque Shopping,,yes,,,rack
15,,,,,,
16,,,yes,,,building
17,,15,,,,stands
18,,,,,,wall_loops
19,,,yes,,,shed
20,,,yes,,,shed
21,,15,,,,stands
22,,18,,,,stands
23,,21,,,,stands
24,,20,,,,
25,,40,no,,,stands
26,,6,,,,stands
27,Bicicletaria do João Carlos,,,,,
28,PUC-Rio,200,yes,,,stands
29,Retiro,108,yes,,,stands
30,Bicicletário Terminal Campo Limpo,64,yes,yes,Socicam,shed
31,,5,no,,,
32,,15,no,,,
33,,10,no,,,stands
34,,,,,,
35,,,yes,,,
36,,10,no,,,stands
37,,,yes,,,stands
38,,,,,,
39,,,,,,
40,,3,no,,,stands
41,,3,,,,
42,,6,,,,stands
43,,6,,,,stands
44,,,no,customers,,
45,,,no,,,wall_loops
46,,7,no,,,rack
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,no,,,
60,,,yes,private,,wall_loops
61,,,yes,private,,wall_loops
62,Bicicletário,,,,,
63,Rua Félix Busso Asseburg,,,,,wave
64,,12,no,,,
65,,,no,yes,,ground_slots
66,,,,private,,ground_slots
67,Bicicletário Estação Butantã,149,yes,yes,ViaQuatro,building
68,,30,,,,
69,,10,no,yes,,wall_loops
70,,7,yes,yes,Rede Top Supermercados,wall_loops
71,,3,no,yes,Farmalan,ground_slots
