id,name,city,state,latitude,longitude,metadata.is_rmr,metadata.directions.east,metadata.directions.west,metadata.directions.north,metadata.directions.south,metadata.state_full,metadata.ibge_city_id,created_at,updated_at,counts
47,Av. Rui Barbosa x R. Amélia,Recife,PE,-8.0451100,-34.9020700,true,Espinheiro,Torre,Parnamirim,Centro,Pernambuco,2611606,2026-07-22T00:51:10.421Z,2026-07-22T00:51:10.421Z,"[object Object],[object Object]"
48,Av. Forte do Bom Jesus x R. Miguel Vieira,Recife,PE,-8.0535100,-34.9289200,true,Centro,Abdias,Caxangá,Engenho,Pernambuco,2611606,2026-07-22T00:51:10.527Z,2026-07-22T00:51:10.527Z,"[object Object],[object Object]"
49,Av. Beberibe x Av. Prof. José dos Anjos,Recife,PE,-8.0279300,-34.8929300,true,Campo Grande,Casa Amarela,Água Fria,Encruzilhada,Pernambuco,2611606,2026-07-22T00:51:10.593Z,2026-07-22T00:51:10.593Z,"[object Object],[object Object],[object Object]"
50,R. Padre Lemos x Estrada do Arraial,Recife,PE,-8.0267600,-34.9177300,true,Parnamirim,Monteiro,Vasco da Gama,Casa Forte,Pernambuco,2611606,2026-07-22T00:51:10.651Z,2026-07-22T00:51:10.651Z,"[object Object],[object Object]"
51,Av. Mascarenhas de Moraes x R. Eng. Alves de Souza,Recife,PE,-8.0984500,-34.9101900,true,Boa Viagem,Lagoa do Araçá,Centro,Jaboatão,Pernambuco,2611606,2026-07-22T00:51:10.712Z,2026-07-22T00:51:10.712Z,"[object Object],[object Object],[object Object]"
52,R. Arquiteto Luiz Nunes X R. Eng. Alves de Souza,Recife,PE,-8.0980300,-34.9122400,true,Boa Viagem,Lagoa do Araçá,Centro,Jaboatão,Pernambuco,2611606,2026-07-22T00:51:10.774Z,2026-07-22T00:51:10.774Z,"[object Object],[object Object]"
53,Estrada de Belém x R. Odorico Mendes,Recife,PE,-8.0321600,-34.8813800,true,Olinda,Espinheiro,Arruda,Agamenon,Pernambuco,2611606,2026-07-22T00:51:10.838Z,2026-07-22T00:51:10.838Z,"[object Object],[object Object]"
54,Av. Rui Barbosa x Av. Dr. Malaquias,Recife,PE,-8.0398900,-34.9040100,true,Rosarinho,,Jaqueira,Graças,Pernambuco,2611606,2026-07-22T00:51:10.899Z,2026-07-22T00:51:10.899Z,"[object Object],[object Object],[object Object]"
55,Av. Cons. Rosa e Silva x Av. Dr. Malaquias,Recife,PE,-8.0381200,-34.9005700,true,Rosarinho,Rio Capibaribe,Jaqueira,Graças,Pernambuco,2611606,2026-07-22T00:51:10.958Z,2026-07-22T00:51:10.958Z,"[object Object],[object Object],[object Object]"
56,R. do Futuro x Av. Dr. Malaquias,Recife,PE,-8.0387600,-34.9017600,true,Rosarinho,Rio Capibaribe,Jaqueira,Graças,Pernambuco,2611606,2026-07-22T00:51:11.020Z,2026-07-22T00:51:11.020Z,"[object Object],[object Object],[object Object]"
57,Av. Caxangá x Av. Gal. San Martin,Recife,PE,-8.0504500,-34.9210500,true,Derby,Camaragibe,Santana,Estância,Pernambuco,2611606,2026-07-22T00:51:11.077Z,2026-07-22T00:51:11.077Z,"[object Object],[object Object],[object Object]"
58,Av. Visconde de Suassuna x R. do Hospício,Recife,PE,-8.0550800,-34.8822600,true,Santo Amaro,Boa Vista,Espinheiro,Aurora,Pernambuco,2611606,2026-07-22T00:51:11.137Z,2026-07-22T00:51:11.137Z,"[object Object],[object Object]"
59,R. dos Palmares x R. Treze de Maio,Recife,PE,-8.0526300,-34.8837400,true,Aurora,Espinheiro,Santo Amaro,Boa Vista,Pernambuco,2611606,2026-07-22T00:51:11.193Z,2026-07-22T00:51:11.193Z,"[object Object],[object Object]"
60,Av. Cosme Viana x R. 21 de Abril,Recife,PE,-8.0770100,-34.9091900,true,Afogados,Mustardinha,Bongi,Imbiribeira,Pernambuco,2611606,2026-07-22T00:51:11.254Z,2026-07-22T00:51:11.254Z,"[object Object],[object Object],[object Object]"
61,Av. Gov. Agamenon Magalhães x Praça do Derby - Pista Oeste,Recife,PE,-8.0566400,-34.8980700,true,Boa Vista,Benfica,Olinda,Boa Viagem,Pernambuco,2611606,2026-07-22T00:51:11.317Z,2026-07-22T00:51:11.317Z,"[object Object],[object Object],[object Object]"
62,Av. Gov. Agamenon Magalhães x Praça do Derby - Pista Leste,Recife,PE,-8.0566100,-34.8977200,true,Boa Vista,Benfica,Olinda,Boa Viagem,Pernambuco,2611606,2026-07-22T00:51:11.377Z,2026-07-22T00:51:11.377Z,"[object Object],[object Object],[object Object]"
