street_code,street_name,total_violations,extension_km,violations_per_km,by_year.2007,by_year.2008,by_year.2009,by_year.2010,by_year.2011,by_year.2012,by_year.2013,by_year.2014,by_year.2015,by_year.2016,by_year.2017,by_year.2018,by_year.2019,by_year.2020,by_year.2021,by_year.2022,by_year.2023,by_year.2024,by_year.2025,top_violation.description,top_violation.percentage
1155,Avenida Governador Agamenon Magalhães,644802,21.99,29326.16,15254,20334,17443,12530,14458,16023,18257,20368,39839,39790,41912,47949,50532,37047,36971,91024,59690,48653,16728,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",28
43451,Avenida Marechal Mascarenhas de Moraes,574139,14.75,38924.23,3602,3699,5662,5705,4415,3727,4384,7527,89187,84143,78093,72982,72925,36185,24355,26323,20791,18184,12250,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",54.49
40029,Rua Arquiteto Luiz Nunes,328753,2.02,162352.94,36,54,155,41237,33852,13754,17226,36592,23528,20664,160,25306,25216,26708,22462,20157,9762,4301,7583,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",80.84
175,Avenida Engenheiro Abdias de Carvalho,323345,8.62,37528.4,1836,2504,3171,2643,1725,2061,2994,6364,32932,31849,38213,43758,40366,34292,20951,19155,17899,13657,6975,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",69.22
11738,Avenida Conde da Boa Vista,274512,3.4,80787.37,5186,5797,8504,4459,3019,2855,7401,3061,26073,44363,14961,15362,9283,18890,23108,22904,25143,26865,7278,Transitar em locais e horários não permitidos pela regulamentação estabelecida pela autoridade competente — para todos os tipos de veículos.,75.71
15903,Avenida Caxangá,250157,13.35,18733.97,3844,4004,14034,13255,13057,5743,2568,6257,7494,5199,10067,7611,11761,13910,19639,42811,20566,38833,9504,"Transitar com o veículo na faixa ou via de trânsito exclusivo, regulamentada com circulação destinada aos veículos de transporte público coletivo de passageiros, salvo casos de força maior e com autorização do poder público competente.",37.94
58750,Rua de Santa Rita,226177,0.38,599165.05,1283,1295,1457,1520,1551,1778,5053,20068,30922,16596,6806,36836,24413,10370,18518,23481,15066,6345,2819,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",69.31
56871,Avenida Recife,187442,14.57,12864.73,5863,6501,10457,6245,4280,4510,7970,3342,34829,16746,15789,11904,17321,7439,5090,8090,7313,8359,5394,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",46.41
11720,Avenida Boa Viagem,185388,8.5,21815,10046,7229,17141,10063,4525,4858,5263,5941,19365,13044,13403,13506,13315,12450,13718,7430,5782,5616,2693,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",36.77
19429,Rua Madre de Deus,166533,0.42,392951.48,371,44,21,29,30,48,16,26699,18033,19587,13381,14703,16959,14305,15607,13661,12999,31,9,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",66.36
20184,Avenida Engenheiro Domingos Ferreira,154050,10.09,15266.62,4596,4520,4723,3870,3920,3408,6060,6211,20174,13550,9953,11033,10996,6153,12751,11203,9012,7661,4256,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",49.54
46540,Avenida Norte Miguel Arraes de Alencar,150952,17.67,8544.45,4522,2350,2282,3762,4798,4089,4065,2978,5760,5206,13304,28230,18478,15334,9543,9255,8831,5171,2994,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",18.4
