id,location_id,counting_date,start_time,end_time,total_cyclists,max_hour_cyclists,weather_conditions,notes,created_at,updated_at
154,85,2026-05-07,06:00:00,20:00:00,2416,297,,,2026-07-22T00:51:14.512Z,2026-07-22T00:51:14.512Z
147,81,2026-05-06,06:00:00,20:00:00,2421,237,,,2026-07-22T00:51:14.131Z,2026-07-22T00:51:14.131Z
146,80,2026-04-30,06:00:00,20:00:00,1631,176,,,2026-07-22T00:51:14.076Z,2026-07-22T00:51:14.076Z
160,86,2026-04-29,06:00:00,20:00:00,1516,161,,,2026-07-22T00:51:14.826Z,2026-07-22T00:51:14.826Z
161,87,2026-04-28,06:00:00,20:00:00,1575,152,,,2026-07-22T00:51:14.877Z,2026-07-22T00:51:14.877Z
164,89,2026-04-27,06:00:00,20:00:00,989,147,,,2026-07-22T00:51:15.021Z,2026-07-22T00:51:15.021Z
163,88,2026-04-23,06:00:00,20:00:00,586,69,,,2026-07-22T00:51:14.967Z,2026-07-22T00:51:14.967Z
148,82,2026-04-22,06:00:00,20:00:00,1014,157,,,2026-07-22T00:51:14.183Z,2026-07-22T00:51:14.183Z
151,84,2026-04-16,06:00:00,20:00:00,1244,154,,,2026-07-22T00:51:14.342Z,2026-07-22T00:51:14.342Z
149,83,2026-04-15,06:00:00,20:00:00,1017,133,,,2026-07-22T00:51:14.236Z,2026-07-22T00:51:14.236Z
165,72,2026-04-14,06:00:00,20:00:00,5071,452,,,2026-07-22T00:51:15.073Z,2026-07-22T00:51:15.073Z
156,71,2026-04-09,06:00:00,20:00:00,3968,504,,,2026-07-22T00:51:14.616Z,2026-07-22T00:51:14.616Z
145,79,2026-03-25,06:00:00,20:00:00,1808,226,,,2026-07-22T00:51:14.020Z,2026-07-22T00:51:14.020Z
155,54,2026-03-11,06:00:00,20:00:00,1610,853,,,2026-07-22T00:51:14.569Z,2026-07-22T00:51:14.569Z
162,55,2026-03-11,06:00:00,20:00:00,448,129,,,2026-07-22T00:51:14.933Z,2026-07-22T00:51:14.933Z
153,56,2026-03-11,06:00:00,20:00:00,2979,313,,,2026-07-22T00:51:14.455Z,2026-07-22T00:51:14.455Z
150,63,2026-02-25,06:00:00,20:00:00,3003,390,,,2026-07-22T00:51:14.287Z,2026-07-22T00:51:14.287Z
157,51,2024-06-06,06:00:00,20:00:00,1708,218,,,2026-07-22T00:51:14.667Z,2026-07-22T00:51:14.667Z
152,74,2024-05-23,06:00:00,20:00:00,1901,244,,,2026-07-22T00:51:14.394Z,2026-07-22T00:51:14.394Z
158,62,2024-05-16,06:00:00,20:00:00,2013,311,,,2026-07-22T00:51:14.717Z,2026-07-22T00:51:14.717Z
159,61,2024-05-16,06:00:00,20:00:00,2117,272,,,2026-07-22T00:51:14.769Z,2026-07-22T00:51:14.769Z
166,90,2024-04-11,06:00:00,20:00:00,1698,203,,,2026-07-22T00:51:15.123Z,2026-07-22T00:51:15.123Z
144,49,2023-11-09,06:00:00,20:00:00,3961,566,,,2026-07-22T00:51:13.957Z,2026-07-22T00:51:13.957Z
143,78,2023-10-19,06:00:00,20:00:00,1663,227,,,2026-07-22T00:51:13.903Z,2026-07-22T00:51:13.903Z
142,71,2023-10-03,06:00:00,20:00:00,4911,572,,,2026-07-22T00:51:13.849Z,2026-07-22T00:51:13.849Z
141,57,2023-08-31,06:00:00,20:00:00,4328,556,,,2026-07-22T00:51:13.790Z,2026-07-22T00:51:13.790Z
140,77,2023-08-10,06:00:00,20:00:00,4484,575,,,2026-07-22T00:51:13.733Z,2026-07-22T00:51:13.733Z
139,60,2023-05-11,06:00:00,20:00:00,4433,502,,,2026-07-22T00:51:13.678Z,2026-07-22T00:51:13.678Z
138,69,2023-04-19,06:00:00,20:00:00,3536,388,,,2026-07-22T00:51:13.625Z,2026-07-22T00:51:13.625Z
137,76,2023-03-23,06:00:00,20:00:00,2046,213,,,2026-07-22T00:51:13.572Z,2026-07-22T00:51:13.572Z
136,75,2023-03-02,06:00:00,20:00:00,2527,341,,,2026-07-22T00:51:13.518Z,2026-07-22T00:51:13.518Z
135,74,2023-02-09,06:00:00,13:00:00,936,175,,,2026-07-22T00:51:13.492Z,2026-07-22T00:51:13.492Z
134,73,2022-07-28,06:00:00,20:00:00,2074,281,,,2026-07-22T00:51:13.440Z,2026-07-22T00:51:13.440Z
133,48,2022-04-27,06:00:00,20:00:00,3961,439,,,2026-07-22T00:51:13.387Z,2026-07-22T00:51:13.387Z
132,47,2022-03-30,06:00:00,20:00:00,2629,290,,,2026-07-22T00:51:13.335Z,2026-07-22T00:51:13.335Z
131,64,2021-12-09,06:00:00,20:00:00,2292,312,,,2026-07-22T00:51:13.285Z,2026-07-22T00:51:13.285Z
130,63,2021-11-24,06:00:00,20:00:00,3706,405,,,2026-07-22T00:51:13.209Z,2026-07-22T00:51:13.209Z
129,66,2021-11-10,06:00:00,20:00:00,1441,163,,,2026-07-22T00:51:13.108Z,2026-07-22T00:51:13.108Z
128,72,2021-10-27,06:00:00,20:00:00,7086,741,,,2026-07-22T00:51:13.038Z,2026-07-22T00:51:13.038Z
127,71,2021-10-13,06:00:00,20:00:00,4845,573,,,2026-07-22T00:51:12.980Z,2026-07-22T00:51:12.980Z
126,68,2021-09-23,06:00:00,20:00:00,1825,276,,,2026-07-22T00:51:12.927Z,2026-07-22T00:51:12.927Z
125,67,2021-09-08,06:00:00,20:00:00,2126,244,,,2026-07-22T00:51:12.871Z,2026-07-22T00:51:12.871Z
124,70,2021-08-25,06:00:00,20:00:00,2257,293,,,2026-07-22T00:51:12.814Z,2026-07-22T00:51:12.814Z
123,69,2020-09-23,06:00:00,20:00:00,3890,641,,,2026-07-22T00:51:12.758Z,2026-07-22T00:51:12.758Z
122,63,2019-12-10,06:00:00,20:00:00,2733,312,,,2026-07-22T00:51:12.701Z,2026-07-22T00:51:12.701Z
121,65,2019-12-05,06:00:00,20:00:00,2183,297,,,2026-07-22T00:51:12.640Z,2026-07-22T00:51:12.640Z
120,66,2019-11-28,06:00:00,20:00:00,1199,157,,,2026-07-22T00:51:12.590Z,2026-07-22T00:51:12.590Z
119,50,2019-10-30,06:00:00,20:00:00,3314,491,,,2026-07-22T00:51:12.534Z,2026-07-22T00:51:12.534Z
117,61,2019-09-18,06:00:00,20:00:00,2262,208,,,2026-07-22T00:51:12.429Z,2026-07-22T00:51:12.429Z
118,62,2019-09-18,06:00:00,20:00:00,2077,237,,,2026-07-22T00:51:12.481Z,2026-07-22T00:51:12.481Z
116,57,2019-09-11,06:00:00,20:00:00,3976,490,,,2026-07-22T00:51:12.380Z,2026-07-22T00:51:12.380Z
115,53,2019-08-28,06:00:00,20:00:00,2542,262,,,2026-07-22T00:51:12.327Z,2026-07-22T00:51:12.327Z
114,60,2019-05-22,06:00:00,20:00:00,4305,471,,,2026-07-22T00:51:12.250Z,2026-07-22T00:51:12.250Z
112,54,2019-05-08,06:00:00,20:00:00,796,102,,,2026-07-22T00:51:12.158Z,2026-07-22T00:51:12.158Z
113,55,2019-05-08,06:00:00,20:00:00,1024,117,,,2026-07-22T00:51:12.198Z,2026-07-22T00:51:12.198Z
111,49,2019-04-25,05:00:00,20:00:00,3105,377,,,2026-07-22T00:51:12.103Z,2026-07-22T00:51:12.103Z
109,51,2019-03-27,06:00:00,20:00:00,1403,180,,,2026-07-22T00:51:11.951Z,2026-07-22T00:51:11.951Z
110,52,2019-03-27,06:00:00,20:00:00,2529,316,,,2026-07-22T00:51:12.015Z,2026-07-22T00:51:12.015Z
108,56,2019-03-13,06:00:00,20:00:00,1106,109,,,2026-07-22T00:51:11.893Z,2026-07-22T00:51:11.893Z
107,58,2019-02-20,06:00:00,20:00:00,1532,149,,,2026-07-22T00:51:11.837Z,2026-07-22T00:51:11.837Z
106,59,2019-02-20,06:00:00,20:00:00,1960,223,,,2026-07-22T00:51:11.779Z,2026-07-22T00:51:11.779Z
105,68,2018-09-20,06:00:00,20:00:00,1046,166,,,2026-07-22T00:51:11.727Z,2026-07-22T00:51:11.727Z
104,67,2018-09-12,06:00:00,20:00:00,1300,124,,,2026-07-22T00:51:11.673Z,2026-07-22T00:51:11.673Z
103,66,2017-11-23,06:00:00,20:00:00,1002,110,,,2026-07-22T00:51:11.617Z,2026-07-22T00:51:11.617Z
102,65,2016-12-06,06:00:00,20:00:00,1892,248,,,2026-07-22T00:51:11.557Z,2026-07-22T00:51:11.557Z
101,64,2016-12-06,06:00:00,20:00:00,1694,234,,,2026-07-22T00:51:11.495Z,2026-07-22T00:51:11.495Z
100,63,2016-11-29,06:00:00,20:00:00,2354,291,,,2026-07-22T00:51:11.435Z,2026-07-22T00:51:11.435Z
98,61,2016-09-15,06:00:00,20:00:00,1292,150,,,2026-07-22T00:51:11.319Z,2026-07-22T00:51:11.319Z
99,62,2016-09-15,06:00:00,20:00:00,1188,131,,,2026-07-22T00:51:11.379Z,2026-07-22T00:51:11.379Z
97,60,2016-05-25,06:00:00,20:00:00,3032,360,,,2026-07-22T00:51:11.256Z,2026-07-22T00:51:11.256Z
95,58,2016-02-24,06:00:00,20:00:00,1093,106,,,2026-07-22T00:51:11.140Z,2026-07-22T00:51:11.140Z
96,59,2016-02-24,06:00:00,20:00:00,1371,135,,,2026-07-22T00:51:11.195Z,2026-07-22T00:51:11.195Z
94,57,2015-09-09,06:00:00,20:00:00,3067,373,,,2026-07-22T00:51:11.079Z,2026-07-22T00:51:11.079Z
91,54,2015-03-18,06:00:00,20:00:00,795,115,,,2026-07-22T00:51:10.902Z,2026-07-22T00:51:10.902Z
93,56,2015-03-18,06:00:00,20:00:00,894,83,,,2026-07-22T00:51:11.023Z,2026-07-22T00:51:11.023Z
92,55,2015-03-18,06:00:00,20:00:00,857,103,,,2026-07-22T00:51:10.960Z,2026-07-22T00:51:10.960Z
