id,osm_id,pdc_ref,pdc_typology,name,pdc_stretch,pdc_cities,pdc_notes,notes,pdc_km,created_at,updated_at
1,,NOTPDC,,Não está no PDC-RMR,,,,existing,0,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
2,15980035,CM01,Ciclovia,PE-009,Entre Rua Esperança e Rua Cristovão de Souza Leão,Ipojuca,Ciclovia existente,existing,9.1,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
3,15980034,CM02,Ciclovia,PE-038,Entre Rua Cristovão de Souza Leão e PE-060,Ipojuca,,proposed,8.8,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
4,15997277,CM03,Ciclovia,PE-060,Entre Av. Pres. Getúlio Vargas e limite com Município do Ipojuca,Cabo de Santo Agostinho / Ipojuca,,proposed,19.2,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
5,15999831,CM04,Ciclovia,BR-101 Sul,Entre PE-060 e limite com Município do Jaboatão dos Guararapes,Cabo de Santo Agostinho / Jaboatão dos Guararapes,,proposed,16.5,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
6,16000488,CM05,Ciclovia,Av. Dr. Júlio Maranhão/ Estrada da Batalha,Entre PE-060 e limite com Município do Jaboatão dos Guararapes,Jaboatão dos Guararapes,,proposed,3.4,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
7,16005002,CM06,Ciclovia,Av. Mal. Mascarenhas de Morais,Entre limite com Município do Jabotaão dos Guararapes e Av. Gen. Mac. Artur,Recife / Jaboatão dos Guararapes,,proposed,7.6,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
8,16000461,CM07,Ciclovia,BR-101,Entre Av. Dr. Júlio Maranhão e limite com Município do Recife,Jaboatão dos Guararapes / Paulista / Recife,,proposed,30.2,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
9,16000034,CM08,Ciclovia,Av. Pres. Castelo Branco,Entre limite com Município do Jabotaão dos Guararapes e Av. Gen. Mac. Artur,Jaboatão dos Guararapes,,proposed,3.4,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
10,16000483,CM09,Ciclovia,R. Padre Manoel da Cunha,Entre Av. Armindo Moura e limite com Município do Recife,Jaboatão dos Guararapes,,proposed,0.2,2026-07-02T22:07:45.243Z,2026-07-02T22:07:45.243Z
