tema,servico,endpoint,parametros,arquivo,formato,numero_registros,status,observacao
ciclodados,cyclist-counts,/v1/locations,{},ciclodados/cyclist_locations.csv,CSV,44,completo,
ciclodados,cyclist-counts,/v1/locations,{},ciclodados/cyclist_locations.json,JSON,44,completo,
ciclodados,bicycle-racks,/v1/bicycle-racks/geojson,{},ciclodados/bicycle_racks.json,GeoJSON,5598,completo,GeoJSON com 5598 features
ciclodados,cycling-infra,/v1/ways/all-ways,{},ciclodados/all_ways.csv,CSV,4488,completo,
ciclodados,cycling-infra,/v1/ways/all-ways,{},ciclodados/all_ways.json,GeoJSON,4488,completo,GeoJSON com 4488 features
ciclodados,shared-bike,/v1/stations,{},ciclodados/shared_bike_stations.csv,CSV,69,completo,
ciclodados,shared-bike,/v1/stations,{},ciclodados/shared_bike_stations.json,JSON,69,completo,
ciclodados,cyclist-profile,/v1/cyclist-profiles/survey-locations,{},ciclodados/survey_locations.json,JSON,1,completo,
ciclodados,traffic-tickets,/v1/streets/geojson,{},ciclodados/traffic_tickets_geojson.json,GeoJSON,250,completo,GeoJSON com 250 features
contagens,cyclist-counts,/v1/events,{},contagens/events.csv,CSV,83,completo,
contagens,cyclist-counts,/v1/events,{},contagens/events.json,JSON,83,completo,
contagens,cyclist-counts,/v1/locations,{},contagens/locations.csv,CSV,44,completo,
contagens,cyclist-counts,/v1/locations,{},contagens/locations.json,JSON,44,completo,
contagens,cyclist-counts,/v1/summary,{},contagens/summary.json,JSON,1,completo,
perfil_ciclista,cyclist-profile,/v1/cyclist-profiles,{},perfil_ciclista/profiles.csv,CSV,2245,completo,
perfil_ciclista,cyclist-profile,/v1/cyclist-profiles,{},perfil_ciclista/profiles.json,JSON,2245,completo,
perfil_ciclista,cyclist-profile,/v1/cyclist-profiles/trends,{},perfil_ciclista/trends.json,JSON,1,completo,
perfil_ciclista,cyclist-profile,/v1/cyclist-profiles/summary,{},perfil_ciclista/profiles_summary.json,JSON,1,completo,
perfil_ciclista,cyclist-profile,/v1/filters,{},perfil_ciclista/filters.json,JSON,1,completo,
perfil_ciclista,cyclist-profile,/v1/cyclist-profiles/gender-analysis,{},perfil_ciclista/gender_analysis.json,JSON,1,completo,
perfil_ciclista,cyclist-profile,/v1/cyclist-profiles/safety-analysis,{},perfil_ciclista/safety_analysis.json,JSON,1,completo,
perfil_ciclista,cyclist-profile,/v1/dictionary,{},perfil_ciclista/dictionary.json,JSON,1,completo,
perfil_ciclista,cyclist-profile,/v1/points,{},perfil_ciclista/points.csv,CSV,40,completo,
perfil_ciclista,cyclist-profile,/v1/points,{},perfil_ciclista/points.json,JSON,40,completo,
perfil_ciclista,cyclist-profile,/v1/points.geojson,{},perfil_ciclista/points_geojson.json,GeoJSON,33,completo,GeoJSON com 33 features
execucao_cicloviaria,cycling-infra,/v1/infrastructure/summary,{},execucao_cicloviaria/infra_summary.json,JSON,1,completo,
execucao_cicloviaria,cycling-infra,/v1/ways/summary,{},execucao_cicloviaria/ways_summary.json,JSON,1,completo,
execucao_cicloviaria,cycling-infra,/v1/ways/all-ways,{},execucao_cicloviaria/all_ways.csv,CSV,4488,completo,
execucao_cicloviaria,cycling-infra,/v1/ways/all-ways,{},execucao_cicloviaria/all_ways.json,GeoJSON,4488,completo,GeoJSON com 4488 features
execucao_cicloviaria,cycling-infra,/v1/relations,{},execucao_cicloviaria/relations.csv,CSV,239,completo,
execucao_cicloviaria,cycling-infra,/v1/relations,{},execucao_cicloviaria/relations.json,JSON,239,completo,
execucao_cicloviaria,cycling-infra,/relations/by-city,{},execucao_cicloviaria/relations_by_city.json,JSON,1,completo,
infracoes,traffic-tickets,/v1/overview,{},infracoes/overview.json,JSON,1,completo,
infracoes,traffic-tickets,/v1/law-stats,{"law":"Art. 201"},infracoes/law_stats_art201.json,JSON,1,completo,
infracoes,traffic-tickets,/v1/violation-codes,{},infracoes/violation_codes.json,JSON,1,completo,
infracoes,traffic-tickets,/v1/streets/geojson,{},infracoes/streets_geojson.json,GeoJSON,250,completo,GeoJSON com 250 features
infracoes,traffic-tickets,/v1/street-stats,{"street_code":"119385"},infracoes/street_stats_119385.json,JSON,1,completo,
