id,code,name_concatenated,official_name,short_name,pavement_code,pavement_description
11442,119385,10T DOS PRAZERES,10ª Tavessa dos Prazeres,10Tr dos Prazeres,N,Via Não Pavimentada
9210,83275,10T CORREGO DA BICA,10ª Travessa Córrego da Bica,10ªTr  Córrego da Bica,N,Via Não Pavimentada
9218,83380,11T CORREGO DA BICA,11ª Travessa Córrego da Bica,11Tr Córrego da Bica,N,Via Não Pavimentada
9958,91928,1PR ANAJAS,1ª Paralela Anajás,1ª Pr. Anajás,S,Via Pavimentada
11408,119016,1PR CAMOCIM,1ª Paralela Camocim,1ª Paralela Camocim,N,Via Não Pavimentada
9970,92061,1SB BARAO DE CAMAQUA,1ª Subida Barão de Camaquã,1Sb Barão de Camaqua,S,Via Pavimentada
8911,79839,1SB CORREGO DO LEONCIO,1ª Subida Córrego do Leoncio,1Sb Corrego do Leoncio,S,Via Pavimentada
10164,95800,1SB CORREGO DO MARRECO,1ª Subida Córrego do Marreco,1ª Sb Córrego do Marreco,S,Via Pavimentada
10422,100544,1SB DA BRASILEIRA,1ª Subida da Brasileira,1Sb da Brasileira,S,Via Pavimentada
1040,4626,1SB DA IMBAUBA,1ª Subida da Imbaúba,1Sb da Imbauba,S,Via Pavimentada
8925,79960,1SB DA JOSELIA,1ª Subida da Josélia,1ª Sb. da Josélia,S,Via Pavimentada
8349,73156,1SB DO CORREGO DA LOURA,1ª Subida do Córrego da Loura,1ª Sb do  Córrego da Loura,S,Via Pavimentada
9280,84115,1SB DO COTO,1ª Subida do Cotó,1Sb do Coto,S,Via Pavimentada
9640,87793,1SB DO JOAQUIM,1ª Subida do Joaquim,1Sb do Joaquim,S,Via Pavimentada
7007,59420,1SB DO SARGENTO,1ª Subida do Sargento,1Sb do Sargento,X,Não definida
10461,100960,1SB DO TOINHO,1ª Subida do Toinho,1Sb do Toinho,S,Via Pavimentada
11175,116106,1SB GONCALVES,1ª Subida Gonçalves,1Sb Gonçalves,S,Via Pavimentada
11232,116858,1TR VERTENTES DO LERIO,1ª Tavessa Vertentes do  Lério,1ª Trv. Vertentes do  Lério,N,Via Não Pavimentada
9715,88684,1TR ADALBERTO ELIAS DA COSTA,1ª Travessa Adalberto Elias da Costa,1Tr Adalberto Elias da Costa,N,Via Não Pavimentada
9284,84166,1TR AFONSO OLINDENSE,1ª Travessa Afonso Olindense,1Tr Afonso Olindense,N,Via Não Pavimentada
8923,79944,1TR AGUIA BRANCA,1ª Travessa Águia Branca,1Tr Aguia Branca,S,Via Pavimentada
8217,71625,1TR ALEXANDRE DE GUSMAO,1ª Travessa Alexandre de Gusmão,1ª Tr.  Alexandre de Gusmão,S,Via Pavimentada
8318,72796,1TR ALFREDO GAMA,1ª Travessa Alfredo Gama,1Tr Alfredo Gama,S,Via Pavimentada
11579,124648,1TR ALICE GOMES,1ª Travessa Alice Gomes,1Tr. Alice Gomes,N,Via Não Pavimentada
11557,121436,1TR ALTO BOM JESUS,1ª Travessa Alto Bom Jesus,1Tr Alto Bom Jesus,X,Não definida
10318,98809,1TR ALTO BRASIL,1ª Travessa Alto Brasil,1Tr Alto Brasil,X,Não definida
9136,82376,1TR ALTO DA BELA VISTA,1ª Travessa Alto da Bela Vista,1Tr Alto da Bela Vista,S,Via Pavimentada
2217,15156,1TR ALTO DA BICA,1ª Travessa Alto da Bica,1Tr Alto da Bica,X,Não definida
8293,72524,1TR ALTO DA BOA ESPERANCA,1ª Travessa Alto da Boa Esperança,1Tr Alto da Boa Esperanca,S,Via Pavimentada
8637,76295,1TR ALTO DO EUCALIPTO,1ª Travessa Alto do Eucalipto,1Tr Alto do Eucalipto,S,Via Pavimentada
11181,116165,1TR ALTO JEQUIRI,1ª Travessa Alto Jequiri,1Tr Alto Jequiri,X,Não definida
8235,71803,1TR ALTO JOSE BONIFACIO,1ª Travessa Alto José Bonifácio,1Tr Alto José Bonifacio,P,Via Parcialmente Pavimentada
