code,label,area,neighborhood,lat,lon,year,interviews_count,women_percent,collision_report_percent,low_income_percent,distance_time_avg
unknown_2021,N/A,Área 2 - Área Intermediária,N/A,-8.05351,-34.92892,2021,51,23.5,27.5,0,27.8
unknown_2021,N/A,Área 3 - Área Periférica,N/A,-8.0313,-34.95573,2021,51,23.5,11.8,0,31.7
unknown_2021,N/A,Área 1 - Área Central,N/A,-8.05263,-34.88374,2021,50,18,14,0,23.9
unknown_2024,N/A,Área 1 - Área Central,N/A,-8.05263,-34.88374,2024,50,34,4,0,20.9
unknown_2021,N/A,Área 2 - Área Intermediária,N/A,-8.06046,-34.92576,2021,50,18,14,0,33.5
unknown_2024,N/A,Área 3 - Área Periférica,N/A,-8.02676,-34.91773,2024,50,28,16,0,21.2
unknown_2024,N/A,Área 3 - Área Periférica,N/A,-8.06046,-34.92576,2024,50,38,12,0,23.5
1177_2018,1177,Área 2 - Área Intermediária,1177,-8.03216,-34.88138,2018,50,16,44,0,24.7
unknown_2021,N/A,Área 3 - Área Periférica,N/A,-8.11574,-34.89552,2021,50,22,26,0,39.3
unknown_2024,N/A,Área 1 - Área Central,N/A,-8.06392,-34.87848,2024,50,22,52,0,34.6
unknown_2024,N/A,Área 2 - Área Intermediária,N/A,-8.03876,-34.90176,2024,50,18,20,0,23.5
unknown_2021,N/A,Área 2 - Área Intermediária,N/A,-8.03216,-34.88138,2021,50,26,24,0,21.4
unknown_2024,N/A,Área 3 - Área Periférica,N/A,-8.0313,-34.95573,2024,50,36,16,0,24.2
unknown_2021,N/A,Área 1 - Área Central,N/A,-8.03876,-34.90176,2021,50,14,18,0,29.6
750_2018,750,Área 3 - Área Periférica,750,-8.05351,-34.92892,2018,50,20,14,0,22.6
unknown_2024,N/A,Área 2 - Área Intermediária,N/A,-8.04425,-34.91665,2024,50,24,16,0,27.4
unknown_2021,N/A,Área 2 - Área Intermediária,N/A,-8.07701,-34.90919,2021,50,24,28,0,30.1
unknown_2021,N/A,Área 1 - Área Central,N/A,-8.05508,-34.88226,2021,50,18,22,0,24.7
unknown_2021,N/A,Área 3 - Área Periférica,N/A,-8.10793,-34.92706,2021,50,14,16,0,46.2
unknown_2024,N/A,Área 3 - Área Periférica,N/A,-8.05351,-34.92892,2024,50,32,20,0,21
unknown_2024,N/A,Área 1 - Área Central,N/A,-8.04448,-34.87489,2024,50,26,52,0,54.3
unknown_2018,N/A,Área 1 - Área Central,N/A,-8.03876,-34.90176,2018,50,16,26,0,25.6
unknown_2021,N/A,Área 3 - Área Periférica,N/A,-8.09803,-34.91224,2021,50,16,16,0,35
1020_2018,1020,Área 3 - Área Periférica,1020,-8.02793,-34.89293,2018,50,16,30,0,24.4
unknown_2024,N/A,Área 2 - Área Intermediária,N/A,-8.02793,-34.89293,2024,50,30,30,0,24.6
unknown_2024,N/A,Área 1 - Área Central,N/A,-8.03216,-34.88138,2024,50,36,16,0,24.5
unknown_2024,N/A,Área 2 - Área Intermediária,N/A,-8.07701,-34.90919,2024,50,30,18,0,21.9
unknown_2021,N/A,Área 1 - Área Central,N/A,-8.05661,-34.89772,2021,50,18,22,0,30
unknown_2018,N/A,Área 2 - Área Intermediária,N/A,-8.02676,-34.91773,2018,50,20,36,0,26.7
923_2018,923,Área 2 - Área Intermediária,923,-8.04756,-34.87696,2018,49,6.1,30.6,0,24.8
unknown_2024,N/A,Área 3 - Área Periférica,N/A,-8.10793,-34.92706,2024,49,26.5,51,0,33.9
unknown_2021,N/A,Área 3 - Área Periférica,N/A,-8.02793,-34.89293,2021,49,24.5,12.2,0,25.9
unknown_2021,N/A,Área 2 - Área Intermediária,N/A,-8.02676,-34.91773,2021,49,10.2,26.5,0,39.7
unknown_2021,N/A,Área 2 - Área Intermediária,N/A,-8.05045,-34.92105,2021,49,20.4,14.3,0,28.5
unknown_2024,N/A,Área 1 - Área Central,N/A,-8.05664,-34.89807,2024,49,18.4,26.5,0,29.4
unknown_2018,N/A,Área 3 - Área Periférica,N/A,-8.09803,-34.91224,2018,49,20.4,34.7,0,21.6
unknown_2024,N/A,Área 2 - Área Intermediária,N/A,-8.11574,-34.89552,2024,48,29.2,16.7,0,32.2
unknown_2018,N/A,Área 2 - Área Intermediária,N/A,-8.05263,-34.88374,2018,48,29.2,33.3,0,24.9
3003_2018,3003,Área 1 - Área Central,3003,-8.11574,-34.89552,2018,48,22.9,25,0,32.1
unknown_2018,N/A,Área 3 - Área Periférica,N/A,-8.07701,-34.90919,2018,39,30.8,25.6,0,17.2
