neighborhood,area,interviews_count,women_percent,collision_report_percent,low_income_percent
N/A,Área 2 - Área Intermediária,111,27,22.5,0
N/A,Área 3 - Área Periférica,101,29.7,13.9,0
N/A,Área 1 - Área Central,100,15,22,0
N/A,Área 1 - Área Central,100,26,9,0
N/A,Área 3 - Área Periférica,99,18.2,25.3,0
N/A,Área 3 - Área Periférica,99,20.2,33.3,0
N/A,Área 2 - Área Intermediária,99,15.2,31.3,0
N/A,Área 2 - Área Intermediária,51,23.5,27.5,0
1177,Área 2 - Área Intermediária,50,16,44,0
750,Área 3 - Área Periférica,50,20,14,0
N/A,Área 1 - Área Central,50,26,52,0
N/A,Área 3 - Área Periférica,50,22,26,0
N/A,Área 2 - Área Intermediária,50,24,16,0
N/A,Área 3 - Área Periférica,50,38,12,0
N/A,Área 1 - Área Central,50,18,22,0
N/A,Área 2 - Área Intermediária,50,26,24,0
1020,Área 3 - Área Periférica,50,16,30,0
N/A,Área 2 - Área Intermediária,50,30,30,0
N/A,Área 1 - Área Central,50,36,16,0
N/A,Área 1 - Área Central,50,22,52,0
N/A,Área 2 - Área Intermediária,50,18,14,0
N/A,Área 3 - Área Periférica,50,32,20,0
N/A,Área 3 - Área Periférica,50,28,16,0
N/A,Área 2 - Área Intermediária,50,18,20,0
N/A,Área 1 - Área Central,50,18,22,0
N/A,Área 2 - Área Intermediária,49,20.4,14.3,0
N/A,Área 3 - Área Periférica,49,24.5,12.2,0
N/A,Área 1 - Área Central,49,18.4,26.5,0
923,Área 2 - Área Intermediária,49,6.1,30.6,0
3003,Área 1 - Área Central,48,22.9,25,0
N/A,Área 2 - Área Intermediária,48,29.2,33.3,0
N/A,Área 2 - Área Intermediária,48,29.2,16.7,0
N/A,Área 3 - Área Periférica,39,30.8,25.6,0
