id,data.age,data.job,data.gender,data.season,data.system,data.frequency,data.schooling,data.collisions,data.color_race,data.days_usage.total,data.days_usage.school,data.days_usage.leisure,data.days_usage.working,data.days_usage.shopping,data.years_using,data.age_category,data.age_standard,data.biggest_need,data.biggest_issue,data.distance_time,data.time_category,data.time_original,data.wage_standard,data.covid19_impact,data.frequency_what,data.income_original,data.pandemic_impact,data.theft_occurrence,data.transport_quality,data.household_quantity,data.combination_quality,data.motivation_to_start,data.neighborhood_living,data.neighborhood_origin,data.combination_category,data.neighborhood_destiny,data.harassment_occurrence,data.transport_combination.yes_no,data.transport_combination.transportation,data.motivation_to_continue,metadata.id,metadata.area,metadata.city,metadata.date,metadata.hour,metadata.street,metadata.weekday,metadata.location.type,metadata.location.coordinates,metadata.schedule,metadata.bike_type,metadata.sheet_index,metadata.survey_year,metadata.neighborhood,metadata.original_date,metadata.researcher_code,metadata.datetime_original,metadata.questionnaire_number,coordinates,created_at,updated_at
4491,12,vendedor(a),Feminino,,,,Ensino Médio (Segundo Grau),Não,,3,0,0,5,0,entre 1 e 2 anos,até 14 anos,até 1 Salário Mínimo,É mais rápido e prático,Falta de segurança no trânsito,10,até 10 minutos,Entre 1 e 2 anos,1400,,Mais segurança/educação no trânsito,até 1 salário mínimo,,,,0, ,É mais rápido e prático,,, ,,,false,,É mais rápido e prático,1,Área 2 - Área Intermediária,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Rua Comendador Morais,sexta-feira,Point,"-8.08882,-34.88169",,Privada,1,2015,Brasília Teimosa,,30786,,,0101000020E6100000E99AC937DB7041C02176A6D0792D20C0,2026-07-22T03:36:42.941Z,2026-07-22T03:36:42.941Z
4492,14,encarregado de almoxarife,Masculino,,,,Ensino Médio (Segundo Grau),Não,,7,0,0,6,0,menos de 6 meses,até 14 anos,de 1 a 2 Salários Mínimos,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,10,até 10 minutos,Menos de 6 meses,2000,,Mais arborização/sobreamento,de 1 a 2 salários mínimos,,,,0, ,É mais rápido e prático,,, ,,,false,,É mais rápido e prático,2,Área 3 - Área Periférica,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Estrada do Arraial x Rua Padre Lemos,quinta-feira,Point,"-8.04448,-34.87489",,Privada,2,2015,Casa Amarela,,30786,,,0101000020E610000079CC4065FC6F41C0F4A62215C61620C0,2026-07-22T03:36:42.960Z,2026-07-22T03:36:42.960Z
4493,15,cozinheiro(a),Masculino,,,,Ensino Médio (Segundo Grau),Não,,5,0,0,6,1,menos de 6 meses,de 15 a 24 anos,de 1 a 2 Salários Mínimos,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,10,até 10 minutos,Menos de 6 meses,2000,,Mais segurança/educação no trânsito,de 1 a 2 salários mínimos,,,,0, ,É mais rápido e prático,,, ,,,false,,É mais rápido e prático,3,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Praça Maciel Pinheiro,sexta-feira,Point,"-8.06263,-34.88528",,Privada,3,2015,Boa Vista,,30786,,,0101000020E6100000C5E6E3DA507141C0397F130A112020C0,2026-07-22T03:36:42.963Z,2026-07-22T03:36:42.963Z
4494,15,agente aeroportuario,Feminino,0,,,Ensino Médio (Segundo Grau),Não,,5,0,2,6,0,entre 6 meses e 1 ano,de 15 a 24 anos,de 1 a 2 Salários Mínimos,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,10,até 10 minutos,Entre 6 meses e 1 ano,2000,,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",de 1 a 2 salários mínimos,,,,0,Ônibus/Metrô/Trem/BRT,É mais rápido e prático,,,Ônibus/Metrô/Trem/BRT,,,false,,É mais rápido e prático,4,Área 2 - Área Intermediária,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Agamenon Magalhães,quarta-feira,Point,"-8.06022,-34.89798",,Privada,4,2015,Derby,,30786,,,0101000020E6100000253B3602F17241C05721E527D51E20C0,2026-07-22T03:36:42.967Z,2026-07-22T03:36:42.967Z
4495,15,costureiro(a),Masculino,0,,,"Ensino Fundamental (primário e ginásio, até a oitava série)",Não,,7,0,0,4,0,entre 2 e 5 anos,de 15 a 24 anos,de 1 a 2 Salários Mínimos,É mais barato,Falta de respeito dos condutores dos motorizados,10,até 10 minutos,Entre 2 e 5 anos,2000,,Mais segurança/educação no trânsito,de 1 a 2 salários mínimos,,,,0,Ônibus/Metrô/Trem/BRT,É mais rápido e prático,,,Ônibus/Metrô/Trem/BRT,,,false,,É mais barato,5,Área 2 - Área Intermediária,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Rua Pedro Alves,segunda-feira,Point,"-8.0362,-34.89234",,Privada,5,2015,Encruzilhada,,30786,,,0101000020E6100000D1747632387241C0FB3A70CE881220C0,2026-07-22T03:36:42.971Z,2026-07-22T03:36:42.971Z
4496,15,tecnico(a) de informatica,Masculino,0,,,Ensino Superior (Faculdade),Sim,,5,0,2,2,0,entre 2 e 5 anos,de 15 a 24 anos,de 2 a 5 Salários Mínimos,É mais saudável,Falta de respeito dos condutores dos motorizados,10,até 10 minutos,Entre 2 e 5 anos,3500,,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",de 2 a 3 salários mínimos,,,,0,Carro/Moto,É mais rápido e prático,,,Carro/Moto,,,false,,É mais saudável,6,Área 3 - Área Periférica,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Rua Carlos Gomes,quarta-feira,Point,"-8.05897,-34.91198",,Privada,6,2015,Prado,,30786,,,0101000020E6100000944DB9C2BB7441C0E7E3DA50311E20C0,2026-07-22T03:36:42.974Z,2026-07-22T03:36:42.974Z
4497,15,autonomo(a),Masculino,0,,,Ensino Superior (Faculdade),Não,,7,0,7,7,4,entre 6 meses e 1 ano,de 15 a 24 anos,de 2 a 5 Salários Mínimos,É mais rápido e prático,Falta de segurança no trânsito,10,até 10 minutos,Entre 6 meses e 1 ano,3500,,Mais segurança/educação no trânsito,de 2 a 3 salários mínimos,,,,0, ,É mais rápido e prático,,, ,,,false,,É mais rápido e prático,7,Área 3 - Área Periférica,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Estrada do Arraial x Rua Padre Lemos,quinta-feira,Point,"-8.04448,-34.87489",,Privada,7,2015,Casa Amarela,,30786,,,0101000020E610000079CC4065FC6F41C0F4A62215C61620C0,2026-07-22T03:36:42.977Z,2026-07-22T03:36:42.977Z
4498,16,cenografo(a),Masculino,0,,,Pós-Graduação,Não,,7,0,2,7,5,entre 6 meses e 1 ano,de 15 a 24 anos,de 2 a 5 Salários Mínimos,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,10,até 10 minutos,Entre 6 meses e 1 ano,3500,,Mais segurança/educação no trânsito,de 3 a 5 salários mínimos,,,,0, ,É mais saudável,,, ,,,false,,É mais rápido e prático,8,Área 3 - Área Periférica,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Estrada do Arraial x Rua Padre Lemos,quinta-feira,Point,"-8.04448,-34.87489",,Privada,8,2015,Casa Amarela,,30786,,,0101000020E610000079CC4065FC6F41C0F4A62215C61620C0,2026-07-22T03:36:42.980Z,2026-07-22T03:36:42.980Z
4499,16,bombeiro hidraulico,Masculino,0,,,"Ensino Fundamental (primário e ginásio, até a oitava série)",Sim,,5,0,0,2,0,mais de 5 anos,de 15 a 24 anos,até 1 Salário Mínimo,É mais saudável,Falta de respeito dos condutores dos motorizados,10,até 10 minutos,Mais de 5 anos,0,,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",Não sabe/Não respondeu,,,,0, ,É mais rápido e prático,,, ,,,false,,É mais saudável,9,Área 2 - Área Intermediária,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Rua Pedro Alves,segunda-feira,Point,"-8.0362,-34.89234",,Privada,9,2015,Encruzilhada,,30786,,,0101000020E6100000D1747632387241C0FB3A70CE881220C0,2026-07-22T03:36:42.984Z,2026-07-22T03:36:42.984Z
4500,16,cobrador(a) de onibus,Masculino,0,,,Ensino Médio (Segundo Grau),Não,,5,0,0,5,1,entre 1 e 2 anos,de 15 a 24 anos,até 1 Salário Mínimo,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,10,até 10 minutos,Entre 1 e 2 anos,0,,Mais arborização/sobreamento,Não sabe/Não respondeu,,,,0, ,É mais rápido e prático,,, ,,,false,,É mais rápido e prático,10,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Rua Manuel Pinheiro,sexta-feira,Point,"-8.05188,-34.88732",,Privada,10,2015,Boa Vista,,30786,,,0101000020E61000001A8BA6B3937141C00AA2EE03901A20C0,2026-07-22T03:36:42.986Z,2026-07-22T03:36:42.986Z
