Ano da Pesquisa,Data_Hora,N_Quest,Cod_Pesq,Data,Dia_Semana,Horario,Zona,Bairro,Logradouro,Genero,Idade,Idade_Cat,Escolaridade,Ocupacao,Renda,Renda_2024,Raca,Bairro_Residencia,Qt_Domicilio,Covid19,Tempo_Cat,Tempo,Bike,Qt_Tempo,Qt_Tempo_2024,Ocorrencia,Ocorrencia_Furto,Ocorrencia_Assedio,Qt_Dia,Trabalho,Escola,Compras,Lazer,Estacao,Combina,Ql_Combina,Ou_Meio,Ql_Meio,Sistema,Bairro_Origem,Bairro_Destino,Pandemia,Frequencia,Ql_Motivo_Inicio,Ql_Problemas,Ql_Motivo,Oq_Frequencia,Ql_combina_cat,latitude,coordinates
2015,,,,,sexta-feira,,Área 2 - Área Intermediária,Brasília Teimosa,Rua Comendador Morais,Feminino,12,até 14 anos,Ensino Médio,vendedor(a),até 1 salário mínimo,até 1 salário mínimo,,,,,até 10 minutos,10,Privada,Entre 1 e 2 anos,Entre 1 e 2 anos,Não,,,3,5,,,,,Não, ,,,,,,,,É mais rápido e prático,Falta de segurança no trânsito,É mais rápido e prático,Mais segurança/educação no trânsito, ,"-8,08882","-34,88169"
2015,,,,,quinta-feira,,Área 3 - Área Periférica,Casa Amarela,Estrada do Arraial x Rua Padre Lemos,Masculino,14,até 14 anos,Ensino Médio,encarregado de almoxarife,de 1 a 2 salários mínimos,de 1 a 2 salários mínimos,,,,,até 10 minutos,10,Privada,Menos de 6 meses,Menos de 6 meses,Não,,,7,6,,,,,Não, ,,,,,,,,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,É mais rápido e prático,Mais arborização/sobreamento, ,"-8,04448","-34,87489"
2015,,,,,sexta-feira,,Área 1 - Área Central,Boa Vista,Praça Maciel Pinheiro,Masculino,15,de 15 a 24 anos,Ensino Médio,cozinheiro(a),de 1 a 2 salários mínimos,de 1 a 2 salários mínimos,,,,,até 10 minutos,10,Privada,Menos de 6 meses,Menos de 6 meses,Não,,,5,6,,1,,,Não, ,,,,,,,,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,É mais rápido e prático,Mais segurança/educação no trânsito, ,"-8,06263","-34,88528"
2015,,,,,quarta-feira,,Área 2 - Área Intermediária,Derby,Avenida Agamenon Magalhães,Feminino,15,de 15 a 24 anos,Ensino Médio,agente aeroportuario,de 1 a 2 salários mínimos,de 1 a 2 salários mínimos,,,,,até 10 minutos,10,Privada,Entre 6 meses e 1 ano,Entre 6 meses e 1 ano,Não,,,5,6,0,0,2,0,Sim,Ônibus/Metrô/Trem/BRT,,,,,,,,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,É mais rápido e prático,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",Ônibus/Metrô/Trem/BRT,"-8,06022","-34,89798"
2015,,,,,segunda-feira,,Área 2 - Área Intermediária,Encruzilhada,Rua Pedro Alves,Masculino,15,de 15 a 24 anos,Ensino Fundamental,costureiro(a),de 1 a 2 salários mínimos,de 1 a 2 salários mínimos,,,,,até 10 minutos,10,Privada,Entre 2 e 5 anos,Entre 2 e 5 anos,Não,,,7,4,0,0,0,0,Sim,Ônibus/Metrô/Trem/BRT,,,,,,,,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,É mais barato,Mais segurança/educação no trânsito,Ônibus/Metrô/Trem/BRT,"-8,03620","-34,89234"
2015,,,,,quarta-feira,,Área 3 - Área Periférica,Prado,Rua Carlos Gomes,Masculino,15,de 15 a 24 anos,Ensino Superior,tecnico(a) de informatica,de 2 a 3 salários mínimos,de 2 a 5 salários mínimos,,,,,até 10 minutos,10,Privada,Entre 2 e 5 anos,Entre 2 e 5 anos,Sim,,,5,2,0,0,2,0,Sim,Carro/Moto,,,,,,,,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,É mais saudável,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",Carro/Moto,"-8,05897","-34,91198"
2015,,,,,quinta-feira,,Área 3 - Área Periférica,Casa Amarela,Estrada do Arraial x Rua Padre Lemos,Masculino,15,de 15 a 24 anos,Ensino Superior,autonomo(a),de 2 a 3 salários mínimos,de 2 a 5 salários mínimos,,,,,até 10 minutos,10,Privada,Entre 6 meses e 1 ano,Entre 6 meses e 1 ano,Não,,,7,7,0,4,7,0,Não, ,,,,,,,,É mais rápido e prático,Falta de segurança no trânsito,É mais rápido e prático,Mais segurança/educação no trânsito, ,"-8,04448","-34,87489"
2015,,,,,quinta-feira,,Área 3 - Área Periférica,Casa Amarela,Estrada do Arraial x Rua Padre Lemos,Masculino,16,de 15 a 24 anos,Pós-Graduação,cenografo(a),de 3 a 5 salários mínimos,de 2 a 5 salários mínimos,,,,,até 10 minutos,10,Privada,Entre 6 meses e 1 ano,Entre 6 meses e 1 ano,Não,,,7,7,0,5,2,0,Não, ,,,,,,,,É mais saudável,Falta de respeito dos condutores dos motorizados,É mais rápido e prático,Mais segurança/educação no trânsito, ,"-8,04448","-34,87489"
2015,,,,,segunda-feira,,Área 2 - Área Intermediária,Encruzilhada,Rua Pedro Alves,Masculino,16,de 15 a 24 anos,Ensino Fundamental,bombeiro hidraulico,Não sabe/Não respondeu,Não sabe/Não respondeu,,,,,até 10 minutos,10,Privada,Mais de 5 anos,Mais de 5 anos,Sim,,,5,2,0,0,0,0,Não, ,,,,,,,,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,É mais saudável,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)", ,"-8,03620","-34,89234"
2015,,,,,sexta-feira,,Área 1 - Área Central,Boa Vista,Rua Manuel Pinheiro,Masculino,16,de 15 a 24 anos,Ensino Médio,cobrador(a) de onibus,Não sabe/Não respondeu,Não sabe/Não respondeu,,,,,até 10 minutos,10,Privada,Entre 1 e 2 anos,Entre 1 e 2 anos,Não,,,5,5,0,1,0,0,Não, ,,,,,,,,É mais rápido e prático,Falta de respeito dos condutores dos motorizados,É mais rápido e prático,Mais arborização/sobreamento, ,"-8,05188","-34,88732"
