abreviatura,chave_normalizada,expansao,categoria,ambigua,prioridade,origem
Dep.,DEP,Deputado,cargo_politico,nao,comum,adicionada
Dep.ª,DEP,Deputada,cargo_politico,nao,comum,adicionada
Gov.,GOV,Governador,cargo_politico,nao,comum,lista fornecida
Gov.ª,GOV,Governadora,cargo_politico,nao,comum,adicionada
Min.,MIN,Ministro,cargo_politico,nao,comum,lista fornecida
Min.ª,MIN,Ministra,cargo_politico,nao,comum,adicionada
Pref.,PREF,Prefeito,cargo_politico,nao,comum,lista fornecida
Pref.ª,PREF,Prefeita,cargo_politico,nao,comum,adicionada
Pres.,PRES,Presidente,cargo_politico,nao,comum,lista fornecida
Sen.,SEN,Senador,cargo_politico,nao,comum,adicionada
Sen.ª,SEN,Senadora,cargo_politico,nao,comum,adicionada
Ver.,VER,Vereador,cargo_politico,nao,comum,adicionada
Ver.ª,VER,Vereadora,cargo_politico,nao,comum,adicionada
Ac.,AC,Acesso,tipo_logradouro,nao,comum,adicionada
Al,AL,Alameda,tipo_logradouro,nao,comum,variante comum
Al.,AL,Alameda,tipo_logradouro,nao,comum,lista fornecida
Av,AV,Avenida,tipo_logradouro,nao,comum,variante comum
Av.,AV,Avenida,tipo_logradouro,nao,comum,lista fornecida
Aven.,AVEN,Avenida,tipo_logradouro,nao,comum,lista fornecida
B.,B,Beco,tipo_logradouro,nao,comum,lista fornecida
Bco.,BCO,Beco,tipo_logradouro,nao,comum,adicionada
C.,C,Calçada,tipo_logradouro,nao,comum,lista fornecida
Calç.,CALC,Calçada,tipo_logradouro,nao,comum,lista fornecida
Conj.,CONJ,Conjunto,tipo_logradouro,nao,comum,adicionada
Esc.,ESC,Escadas,tipo_logradouro,sim,comum,lista fornecida
Esc.,ESC,Escadinhas,tipo_logradouro,sim,comum,lista fornecida
Est.,EST,Estrada,tipo_logradouro,nao,comum,lista fornecida
Estr.,ESTR,Estrada,tipo_logradouro,nao,comum,lista fornecida
Jd.,JD,Jardim,tipo_logradouro,nao,comum,adicionada
L.,L,Largo,tipo_logradouro,nao,comum,lista fornecida
Lgo.,LGO,Largo,tipo_logradouro,nao,comum,adicionada
Lot.,LOT,Loteamento,tipo_logradouro,nao,comum,adicionada
Marg.,MARG,Marginal,tipo_logradouro,nao,comum,adicionada
P.,P,Praça,tipo_logradouro,sim,comum,lista fornecida
Pç.,PC,Praça,tipo_logradouro,nao,comum,adicionada
Pça.,PCA,Praça,tipo_logradouro,nao,comum,adicionada
Pq.,PQ,Parque,tipo_logradouro,nao,comum,adicionada
Psg.,PSG,Passagem,tipo_logradouro,nao,comum,adicionada
Pss.,PSS,Passagem,tipo_logradouro,nao,comum,adicionada
Qd.,QD,Quadra,tipo_logradouro,nao,comum,adicionada
R,R,Rua,tipo_logradouro,nao,comum,variante comum
R.,R,Rua,tipo_logradouro,nao,comum,lista fornecida
Rdv.,RDV,Rodovia,tipo_logradouro,nao,comum,adicionada
Rod.,ROD,Rodovia,tipo_logradouro,nao,comum,lista fornecida
Srv.,SRV,Servidão,tipo_logradouro,nao,comum,lista fornecida
T.,T,Travessa,tipo_logradouro,nao,comum,lista fornecida
Trav.,TRAV,Travessa,tipo_logradouro,nao,comum,lista fornecida
Tun.,TUN,Túnel,tipo_logradouro,nao,comum,adicionada
Tv.,TV,Travessa,tipo_logradouro,nao,comum,adicionada
Vd.,VD,Viaduto,tipo_logradouro,nao,comum,adicionada
Vl.,VL,Vila,tipo_logradouro,nao,comum,adicionada
Bar.,BAR,Barão,titulo_honorifico,nao,comum,lista fornecida
Cde.,CDE,Conde,titulo_honorifico,nao,comum,lista fornecida
Cdessa.,CDESSA,Condessa,titulo_honorifico,nao,comum,lista fornecida
Com.,COM,Comendador,titulo_honorifico,nao,comum,variante comum
Comend.,COMEND,Comendador,titulo_honorifico,nao,comum,lista fornecida
V.de,VDE,Visconde,titulo_honorifico,nao,comum,lista fornecida
Vde.,VDE,Visconde,titulo_honorifico,nao,comum,adicionada
V.dessa,VDESSA,Viscondessa,titulo_honorifico,nao,comum,lista fornecida
Alm.,ALM,Almirante,titulo_militar,nao,comum,lista fornecida
Alm.-Esqdra,ALMESQDRA,Almirante-de-Esquadra,titulo_militar,nao,comum,lista fornecida
Brig.,BRIG,Brigadeiro,titulo_militar,nao,comum,lista fornecida
C.-Alm.,CALM,Contra-Almirante,titulo_militar,nao,comum,lista fornecida
Cap.,CAP,Capitão,titulo_militar,nao,comum,lista fornecida
Cap. Corv.,CAPCORV,Capitão-de-Corveta,titulo_militar,nao,comum,lista fornecida
Cap. Fr.,CAPFR,Capitão-de-Fragata,titulo_militar,nao,comum,lista fornecida
Cap.-Ten.,CAPTEN,Capitão-Tenente,titulo_militar,nao,comum,lista fornecida
Cb.,CB,Cabo,titulo_militar,nao,comum,lista fornecida
Cel.,CEL,Coronel,titulo_militar,nao,comum,lista fornecida
Gal.,GAL,General,titulo_militar,nao,comum,lista fornecida
Gen.,GEN,General,titulo_militar,nao,comum,adicionada
Maj.,MAJ,Major,titulo_militar,nao,comum,lista fornecida
