base_legal,artigo,inciso_alinea_paragrafo,gravidade,descricao,classificacao,observacoes
Art. 162 Inc. I,Art. 162,Inc. I,gravíssima,"Dirigir sem possuir CNH, Permissão para Dirigir ou Autorização para Conduzir Ciclomotor.",Administrativas/documentais,Multa três vezes; retenção do veículo até apresentação de condutor habilitado.
Art. 162 Inc. II,Art. 162,Inc. II,gravíssima,"Dirigir com CNH, Permissão para Dirigir ou ACC cassada ou com suspensão do direito de dirigir.",Administrativas/documentais,Multa três vezes; recolhimento do documento e retenção do veículo.
Art. 162 Inc. III,Art. 162,Inc. III,gravíssima,Dirigir com CNH ou Permissão de categoria diferente da do veículo conduzido.,Administrativas/documentais,Multa duas vezes; retenção do veículo.
Art. 162 Inc. V,Art. 162,Inc. V,gravíssima,Dirigir com CNH vencida há mais de 30 dias.,Administrativas/documentais,Retenção do veículo até apresentação de condutor habilitado.
Art. 162 Inc. VI,Art. 162,Inc. VI,gravíssima,"Dirigir sem usar lentes corretoras, aparelho auxiliar, prótese física ou adaptação veicular exigida na habilitação.",Segurança viária,Retenção do veículo até sanar a irregularidade ou apresentar condutor habilitado.
Art. 162 Inc. VII,Art. 162,Inc. VII,gravíssima,Dirigir sem possuir os cursos especializados ou específicos obrigatórios.,Administrativas/documentais,Retenção do veículo até apresentação de condutor habilitado.
Art. 163,Art. 163,,variável,Entregar a direção do veículo a pessoa nas condições previstas no art. 162.,Administrativas/documentais,Gravidade e penalidade seguem o inciso correspondente do art. 162.
Art. 164,Art. 164,,variável,Permitir que pessoa nas condições do art. 162 tome posse do veículo e passe a conduzi-lo na via.,Administrativas/documentais,Gravidade e penalidade seguem o inciso correspondente do art. 162.
Art. 165,Art. 165,,gravíssima,Dirigir sob influência de álcool ou de substância psicoativa que determine dependência.,Segurança viária,Multa dez vezes e suspensão do direito de dirigir por 12 meses.
Art. 165-A,Art. 165-A,,gravíssima,"Recusar teste, exame clínico, perícia ou outro procedimento para certificar influência de álcool ou substância psicoativa.",Segurança viária,Multa dez vezes e suspensão do direito de dirigir por 12 meses.
Art. 165-B,Art. 165-B,,gravíssima,Dirigir veículo sem realizar o exame toxicológico previsto no art. 148-A.,Administrativas/documentais,Multa cinco vezes; reincidência pode gerar multa dez vezes e suspensão.
