post_code	street_code	street_name	score	raw_address
A IP2	56898	Avenida da Recuperação	1.000	Avenida Da Recuperação
A001779	120790	Subida Visconde de Garrett	1.000	Subida Visconde
A003576	2089	Rua Astronauta Aldrin	0.667	Rua Austronalta Aldrin
A003576D	2089	Rua Astronauta Aldrin	0.667	Rua Austronalta Aldrin
A003984	98663	Rua Consolação	1.000	R Consolacao
A007424	98620	Rua Oliva	1.000	R Oliva
A007425	10529	Avenida Beberibe	1.000	Avenida Beberibe
A007432	18651	Rua Bonina	1.000	R. Bonina
A007435	100005	Rua Estrela do Sul	0.500	R. Luceia Chao De Estrela
A007436	18651	Rua Bonina	1.000	R. Bonina
A007438	18651	Rua Bonina	1.000	R. Bonina
A007439	18651	Rua Bonina	1.000	R. Bonina
A008037	99511	Rua Passarela	1.000	R Passarela
A008044	39586	Rua Coronel Luciano Melo	1.000	Rua Coronel Luciano Melo
A008046	39586	Rua Coronel Luciano Melo	1.000	Rua Coronel Luciano Melo
A008054	98663	Rua Consolação	1.000	R Consolacao
A008105	99511	Rua Passarela	1.000	R Passarela
A008180	99511	Rua Passarela	1.000	R Passarela
A008186	99511	Rua Passarela	1.000	R Passarela
A008204	99511	Rua Passarela	1.000	R Passarela
A008254D	18643	Rua Guacu	1.000	R. Guacu
A008260	18643	Rua Guacu	1.000	R. Guacu
A008265	99600	Rua Carapó	1.000	R. Carapo
A008272	18643	Rua Guacu	1.000	R. Guacu
A008293	98663	Rua Consolação	1.000	R Consolacao
A008295	98663	Rua Consolação	1.000	R Consolacao
A009152	26107	Rua Garibalde	1.000	R. Garibalde
A009152D	26107	Rua Garibalde	1.000	R. Garibalde
A009153	26107	Rua Garibalde	1.000	R. Garibalde
A009157	26107	Rua Garibalde	1.000	R. Garibalde
A009248	18198	Rua dos Craveiros	1.000	R. Dos Craveiros
A009249	18198	Rua dos Craveiros	1.000	R. Dos Craveiros
A009447	33391	Rua João Barreto de Acioly Lins	0.500	R. Dos Peixinhos - Campina Do Barreto
A009449	33391	Rua João Barreto de Acioly Lins	0.500	R. Dos Peixinhos - Campina Do Barreto
A009450	50466	Rua dos Peixinhos	1.000	R. Dos Peixinhos
A009451	33391	Rua João Barreto de Acioly Lins	0.500	R. Dos Peixinhos - Campina Do Barreto
