semaforo	street_code	street_name	score	raw_location	location_index
1	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
2	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
2	61220	Rua Tomé Gibson	0.667	Rua Thomé Gibson	2
3	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
3	25640	Rua Franca Pereira	1.000	Rua França Pereira	2
4	11720	Avenida Boa Viagem	1.000	Av. Boa Viagem	1
4	56260	Rua Barão de Souza Leão	1.000	Rua Barão de Souza Leão	2
5	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
5	8460	Rua Artur Muniz	1.000	Rua Artur Muniz	2
6	1465	Avenida Conselheiro Aguiar	1.000	Av. Conselheiro Aguiar	1
6	5690	Rua Antônio Falcão	1.000	Rua Antônio Falcão	2
7	43451	Avenida Marechal Mascarenhas de Moraes	0.667	Av. Mascarenhas de Morais	1
7	32468	Rua Jamaica	1.000	Rua Jamaica	2
8	15903	Avenida Caxangá	1.000	Av. Caxangá	1
8	11916	Rua Bom Pastor	1.000	Rua Bom Pastor	2
9	18481	Avenida Cruz Cabuga	1.000	Av.Cruz Cabugá	1
10	49352	Avenida Parnamirim	1.000	Av. Parnamirim	2
11	52221	Rua Conselheiro Portela	1.000	Rua Conselheiro Portela	1
12	65242	Rua Barão da Vitória	1.000	Rua Barão da Vitória	1
12	36277	Rua Floriano Peixoto	1.000	Rua Floriano Peixoto	2
13	11584	Rua do Sol	1.000	Rua do Sol	1
13	120022	Rua Nova	1.000	Rua Nova	2
14	11584	Rua do Sol	1.000	Rua do Sol	1
14	28010	Avenida Guararapes	1.000	Av. Guararapes	2
15	19054	Avenida Dantas Barreto	1.000	Av. Dantas Barreto	1
15	28010	Avenida Guararapes	1.000	Av. Guararapes	2
16	56871	Avenida Recife	1.000	Av. Recife	1
16	46191	Rua São Nicolau	1.000	Rua São Nicolau	2
17	46310	Rua Nossa Senhora do Carmo	0.750	Av. Nossa Senhora do Carmo	1
17	15911	Rua Duque de Caxias	1.000	Rua Duque de Caxias	2
18	50393	Rua Imperador Dom Pedro II	1.000	Rua do Imperador	1
18	117714	Rua Treze de Março	1.000	Rua 1º de Março	2
19	57630	Avenida Rio Branco	1.000	Av. Rio Branco	1
19	6564	Cais do Apolo	1.000	Cais do Apolo	2
20	47406	Avenida Marquês de Olinda	0.667	Av. Marquez de Olinda	1
20	19429	Rua Madre de Deus	1.000	Rua Madre de Deus	2
21	29238	Rua da Hora	1.000	Rua da Hora	1
22	31810	Rua Princesa Isabel	1.000	Rua Princesa Isabel	1
22	99295	Rua Bela Aurora	1.000	Rua da Aurora	2
23	11738	Avenida Conde da Boa Vista	1.000	Av. Conde da Boa Vista	1
23	29335	Rua do Hospício	1.000	Rua do Hospício	2
24	11738	Avenida Conde da Boa Vista	1.000	Av. Conde da Boa Vista	1
24	26565	Rua Gervásio Pires	1.000	Rua Gervásio Pires	2
25	11738	Avenida Conde da Boa Vista	1.000	Av. Conde da Boa Vista	1
25	56073	Rua da Soledade	1.000	Rua da Soledade	2
26	10650	Estrada de Belém	1.000	Estrada de Belém	1
26	47171	Rua Odorico Mendes	1.000	Rua Odorico Mendes	2
27	11738	Avenida Conde da Boa Vista	1.000	Av. Conde da Boa Vista	1
27	12165	Rua Dom Bosco	1.000	Rua Dom Bosco	2
28	41459	Avenida Manoel Borba	1.000	Av. Manoel Borba	1
28	12165	Rua Dom Bosco	1.000	Rua Dom Bosco	2
29	41459	Avenida Manoel Borba	1.000	Av. Manoel Borba	1
29	35190	Rua José de Alencar	1.000	Rua José de Alencar	2
